Name,Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),No. of Trades
Tadawul All Share Index (TASI),01-06-2007,-,-,-,7967.7,285588495,8334398587.25,215407
Tadawul All Share Index (TASI),01-07-2007,-,-,-,7753.96,300304335,10617833767.25,280749
Tadawul All Share Index (TASI),01-08-2007,-,-,-,7732.97,278246718,10170032064.75,264917
Tadawul All Share Index (TASI),01-09-2007,-,-,-,7729.91,362418343,12992700575.75,335953
Tadawul All Share Index (TASI),01-10-2007,-,-,-,7586.61,331038714,13504199195,361168
Tadawul All Share Index (TASI),01-13-2007,-,-,-,7230.09,197714970,5820874366.75,176436
Tadawul All Share Index (TASI),01-14-2007,-,-,-,7069.21,276223492,7902771357.5,226412
Tadawul All Share Index (TASI),01-15-2007,-,-,-,7250.49,371202593,11112644961.25,297460
Tadawul All Share Index (TASI),01-16-2007,-,-,-,7123.88,234979305,7199556549.5,210603
Tadawul All Share Index (TASI),01-17-2007,-,-,-,7153.87,368561041,11349045885.5,294457
Tadawul All Share Index (TASI),01-20-2007,-,-,-,7146.14,400976858,8456719887.25,475541
Tadawul All Share Index (TASI),01-21-2007,-,-,-,7191.15,313585632,7397611890.5,260453
Tadawul All Share Index (TASI),01-22-2007,-,-,-,7268.27,356473090,9968926946.25,308294
Tadawul All Share Index (TASI),01-23-2007,-,-,-,7141.73,299120774,7863650648,242128
Tadawul All Share Index (TASI),01-24-2007,-,-,-,6936.33,297332127,7704555114.25,247060
Tadawul All Share Index (TASI),01-27-2007,-,-,-,6911.58,270526028,7138496365.25,224331
Tadawul All Share Index (TASI),01-28-2007,-,-,-,6982.21,343891858,9451142036.75,256819
Tadawul All Share Index (TASI),01-29-2007,-,-,-,6905.56,317658107,9196965409.5,270568
Tadawul All Share Index (TASI),01-30-2007,-,-,-,6956.58,238252186,7990709045.25,226967
Tadawul All Share Index (TASI),01-31-2007,-,-,-,7055.69,293298816,8910352094.75,249095
Tadawul All Share Index (TASI),02-03-2007,-,-,-,7239.77,427802230,13140450108.25,406165
Tadawul All Share Index (TASI),02-04-2007,-,-,-,7173.47,338036753,10668433764.75,304213
Tadawul All Share Index (TASI),02-05-2007,-,-,-,7128.76,301336254,10302136077.75,291829
Tadawul All Share Index (TASI),02-06-2007,-,-,-,7259.35,284235161,9722995642.75,258695
Tadawul All Share Index (TASI),02-07-2007,-,-,-,7326.88,352382938,11657713171.5,306425
Tadawul All Share Index (TASI),02-10-2007,-,-,-,7350.68,323081752,9514391746,253407
Tadawul All Share Index (TASI),02-11-2007,-,-,-,7418.38,334878519,10201207523.5,268925
Tadawul All Share Index (TASI),02-12-2007,-,-,-,7479.59,267974738,9334076986,248514
Tadawul All Share Index (TASI),02-13-2007,-,-,-,7625.27,260883207,9419854298,236523
Tadawul All Share Index (TASI),02-14-2007,-,-,-,7850.45,383249633,10625506971.75,264075
Tadawul All Share Index (TASI),02-17-2007,-,-,-,8036.91,429515784,13874583934.25,327662
