Exchange Date,Close,Open,Low,High,Volume,Turnover - SAR,Approx VWAP,Mid
20-01-20,12.62,12.68,12.62,12.76,179653,2277888.72,12.68,12.61
19-01-20,12.7,12.92,12.64,12.92,351716,4474438.68,12.72,12.71
16-01-20,12.84,12.74,12.7,13,180306,2299131.7,12.75,12.77
15-01-20,12.8,12.96,12.8,13.02,123068,1595821.2,12.97,12.85
14-01-20,12.94,13.16,12.92,13.22,417420,5440312.44,13.03,12.93
13-01-20,13.32,13.4,13.3,13.54,400981,5360021.14,13.37,13.31
12-01-20,13.76,13.96,13.5,13.96,168107,2303929.7,13.71,13.68
09-01-20,13,13.1,12.9,13.1,123986,1611701.18,13,12.95
08-01-20,12.6,12.7,12.6,12.82,34961,445604.98,12.75,12.7
07-01-20,13.2,13.34,13.2,13.66,150733,2028689.08,13.46,13.25
06-01-20,13.34,12.54,12.54,13.7,89451,1185209.12,13.25,13.28
05-01-20,12.72,12.7,12.7,12.8,40001,508547.22,12.71,12.76
02-01-20,12.8,12.68,12.68,12.8,27726,355903.14,12.84,12.83
01-01-20,12.66,12.5,12.5,12.66,16027129,180163592.1,11.24,12.67
31-12-19,12.48,12.46,12.46,12.48,25847,322413.36,12.47,12.5
30-12-19,12.4,12.46,12.4,12.46,56043,695751,12.41,12.46
29-12-19,12.48,12.4,12.4,12.48,10385,129304.4,12.43,12.49
26-12-19,12.4,12.4,12.4,12.4,15737,195231.44,12.41,12.43
25-12-19,12.44,12.34,12.32,12.44,122262,1511090.38,12.36,12.46
24-12-19,12.34,12.16,12.16,12.4,102943,1270701.8,12.34,12.32
23-12-19,12.26,12,11.96,12.26,30375,367439.7,12.1,12.16
22-12-19,12,11.7,11.7,12,25122,299896.68,11.81,12.14
19-12-19,12.3,12.34,12.3,12.4,68173,844007.84,12.38,12.32
18-12-19,12.3,12.2,12.2,12.36,35480,434105.74,12.23,12.33
17-12-19,12.12,11.8,11.76,12.14,125023,1498396.1,11.98,12.13
16-12-19,12.02,12.02,12.02,12.06,252749,3040174.64,12.03,11.99
15-12-19,12.1,11.7,11.7,12.1,80860,962849.46,11.91,12.13
12-12-19,11.74,11.5,11.5,11.74,141240,1650433.64,11.69,11.73
11-12-19,11.6,11.28,11.28,11.6,86925,989676.44,11.38,11.61
10-12-19,11.26,11.12,11.1,11.26,40293,449465.46,11.15,11.21
09-12-19,11.18,11.2,11.18,11.2,36562,409290.2,11.19,11.19
08-12-19,11.1,11.12,11,11.12,27083,300623.96,11.1,11.16
05-12-19,11.16,11.1,11.1,11.16,42020,466913.14,11.11,11.14
04-12-19,11,11,11,11,67777,745530.96,11,11.01
03-12-19,11,11,11,11,9291,102441.18,11.01,10.99
02-12-19,10.9,,,,2440,26805.06,,11.03
01-12-19,10.9,,,,361,3935.62,,10.92
28-11-19,10.9,10.82,10.82,10.9,14968,162661.76,10.87,10.87
27-11-19,10.76,10.92,10.76,10.92,35919,389831.22,10.85,10.88
26-11-19,10.96,11.02,10.96,11.02,44582,489762.52,10.99,10.99
25-11-19,11,11,11,11,3151,34662.08,11,11.05
24-11-19,11,11.04,11,11.04,74489,819626.18,11,11.04
21-11-19,11.08,11.08,11.08,11.1,36141,400879.14,11.09,11.12
20-11-19,11.12,11,11,11.2,53473,594336.1,11.11,11.15
19-11-19,11,10.94,10.94,11,30693,337269.34,10.99,11.01
18-11-19,11,10.8,10.8,11.06,74198,808637.92,10.9,11.01
