Sector,Name,Date,Open,High,Low,Close,Vol
Food & Beverages,Al Gassim Investment Holding Co.,02/01/2002,2.1,2.1,2.1,2.08,21846
Food & Beverages,Al Gassim Investment Holding Co.,06/01/2002,2.1,2.1,2.1,2.08,17478
Food & Beverages,Al Gassim Investment Holding Co.,07/01/2002,2.1,0,0,2.08,2736
Food & Beverages,Al Gassim Investment Holding Co.,08/01/2002,2.1,0,0,2.08,612
Food & Beverages,Al Gassim Investment Holding Co.,09/01/2002,2.1,2.1,2.1,2.08,43698
Food & Beverages,Al Gassim Investment Holding Co.,12/01/2002,2.1,0,0,2.08,66
Food & Beverages,Al Gassim Investment Holding Co.,13/01/2002,2.1,2.1,2.1,2.08,43824
Food & Beverages,Al Gassim Investment Holding Co.,14/01/2002,2.1,0,0,2.08,1104
Food & Beverages,Al Gassim Investment Holding Co.,15/01/2002,2.1,2.1,2.1,2.08,14178
Food & Beverages,Al Gassim Investment Holding Co.,16/01/2002,2.1,0,0,2.08,7644
Food & Beverages,Al Gassim Investment Holding Co.,19/01/2002,2.1,0,0,2.08,438
Food & Beverages,Al Gassim Investment Holding Co.,20/01/2002,2.1,2.1,2.1,2.08,8742
Food & Beverages,Al Gassim Investment Holding Co.,21/01/2002,2.1,0,0,2.08,2376
Food & Beverages,Al Gassim Investment Holding Co.,22/01/2002,2.1,0,0,2.08,150
Food & Beverages,Al Gassim Investment Holding Co.,23/01/2002,2.1,0,0,2.08,348
Food & Beverages,Al Gassim Investment Holding Co.,24/01/2002,2.1,0,0,2.08,60
Food & Beverages,Al Gassim Investment Holding Co.,26/01/2002,2.1,0,0,2.08,4188
Food & Beverages,Al Gassim Investment Holding Co.,27/01/2002,2.1,2.1,2.1,2.08,15396
Food & Beverages,Al Gassim Investment Holding Co.,28/01/2002,2.1,0,0,2.08,6864
Food & Beverages,Al Gassim Investment Holding Co.,29/01/2002,2.1,2.1,2.1,2.08,14754
Food & Beverages,Al Gassim Investment Holding Co.,30/01/2002,2.1,0,0,2.08,4854
Food & Beverages,Al Gassim Investment Holding Co.,03/02/2002,2.1,0,0,2.08,4464
Food & Beverages,Al Gassim Investment Holding Co.,04/02/2002,2.1,0,0,2.08,3996
Food & Beverages,Al Gassim Investment Holding Co.,05/02/2002,2.1,0,0,2.08,432
Food & Beverages,Al Gassim Investment Holding Co.,06/02/2002,2.1,0,0,2.08,8742
Food & Beverages,Al Gassim Investment Holding Co.,09/02/2002,2.1,0,0,2.08,264
Food & Beverages,Al Gassim Investment Holding Co.,10/02/2002,2.1,2.1,2.1,2.08,22590
Food & Beverages,Al Gassim Investment Holding Co.,11/02/2002,2.1,0,0,2.08,6798
Food & Beverages,Al Gassim Investment Holding Co.,12/02/2002,2.1,0,0,2.08,240
Food & Beverages,Al Gassim Investment Holding Co.,13/02/2002,2.1,2.1,2.1,2.08,21558
Food & Beverages,Al Gassim Investment Holding Co.,16/02/2002,2.1,0,0,2.08,19434
Food & Beverages,Al Gassim Investment Holding Co.,17/02/2002,2.1,0,0,2.08,438
Food & Beverages,Al Gassim Investment Holding Co.,19/02/2002,2.1,2.1,2.1,2.08,30588
Food & Beverages,Al Gassim Investment Holding Co.,26/02/2002,2.1,0,0,2.08,666
Food & Beverages,Al Gassim Investment Holding Co.,27/02/2002,2.1,0,0,2.08,90
Food & Beverages,Al Gassim Investment Holding Co.,03/03/2002,2.1,0,0,2.08,918
Food & Beverages,Al Gassim Investment Holding Co.,05/03/2002,2.1,0,0,2.08,6612
Food & Beverages,Al Gassim Investment Holding Co.,06/03/2002,2.1,0,0,2.08,9114
Food & Beverages,Al Gassim Investment Holding Co.,09/03/2002,2.1,0,0,2.08,1110
Food & Beverages,Al Gassim Investment Holding Co.,11/03/2002,2.1,0,0,2.08,810
Food & Beverages,Al Gassim Investment Holding Co.,12/03/2002,2.1,0,0,2.08,6900
Food & Beverages,Al Gassim Investment Holding Co.,13/03/2002,2.1,2.1,2.1,2.08,14424
Food & Beverages,Al Gassim Investment Holding Co.,16/03/2002,2.1,0,0,2.08,606
Food & Beverages,Al Gassim Investment Holding Co.,17/03/2002,2.1,0,0,2.08,10980
Food & Beverages,Al Gassim Investment Holding Co.,18/03/2002,2.1,0,0,2.08,846
Food & Beverages,Al Gassim Investment Holding Co.,19/03/2002,2.1,2.1,2.1,2.08,56664
Food & Beverages,Al Gassim Investment Holding Co.,20/03/2002,2.1,2.1,2.1,2.08,66012
Food & Beverages,Al Gassim Investment Holding Co.,21/03/2002,0,0,0,2.08,5742
Food & Beverages,Al Gassim Investment Holding Co.,23/03/2002,2.1,2.1,2.1,2.08,35418
Food & Beverages,Al Gassim Investment Holding Co.,24/03/2002,2.1,2.1,2.1,2.08,36048
Food & Beverages,Al Gassim Investment Holding Co.,25/03/2002,2.1,2.1,2.1,2.08,30588
Food & Beverages,Al Gassim Investment Holding Co.,26/03/2002,2.1,2.5,2.1,2.5,607170
Food & Beverages,Al Gassim Investment Holding Co.,27/03/2002,2.5,2.5,2.5,2.5,781878
Food & Beverages,Al Gassim Investment Holding Co.,28/03/2002,2.9,2.9,2.5,2.5,685278
Food & Beverages,Al Gassim Investment Holding Co.,30/03/2002,2.5,2.5,2.5,2.5,254040
Food & Beverages,Al Gassim Investment Holding Co.,31/03/2002,2.5,2.5,2.1,2.08,198036
Food & Beverages,Al Gassim Investment Holding Co.,01/04/2002,2.5,2.5,2.5,2.5,57234
Food & Beverages,Al Gassim Investment Holding Co.,02/04/2002,2.5,2.5,2.5,2.5,688164
Food & Beverages,Al Gassim Investment Holding Co.,03/04/2002,2.9,2.9,2.5,2.92,1226910
Food & Beverages,Al Gassim Investment Holding Co.,04/04/2002,3.35,3.35,2.9,3.33,832356
Food & Beverages,Al Gassim Investment Holding Co.,06/04/2002,3.35,3.35,3.35,3.33,506172
Food & Beverages,Al Gassim Investment Holding Co.,07/04/2002,3.75,3.75,3.75,3.75,640908
Food & Beverages,Al Gassim Investment Holding Co.,08/04/2002,4.15,4.15,3.35,3.33,1989852
