Sector,Name,Date,Open,High,Low,Close,Vol
TASI,TASI,31/12/2001,2434.1001,2437.6001,2423.71997,2430.11011,1515116
TASI,TASI,01/01/2002,2430.11011,2441.29004,2422.87012,2439.59009,1077937
TASI,TASI,02/01/2002,2439.59009,2448.37012,2437.88989,2441.63989,1172053
TASI,TASI,03/01/2002,2441.63989,2451.88989,2441.63989,2449.06006,831364
TASI,TASI,05/01/2002,2449.06006,2469.18994,2449.06006,2464.07007,2994486
TASI,TASI,06/01/2002,2464.07007,2469.45996,2464.07007,2465.87012,2946782
TASI,TASI,07/01/2002,2465.87012,2470.62012,2460.67993,2462.27002,2924790
TASI,TASI,08/01/2002,2462.27002,2469.87012,2460.38989,2464.69995,2422733
TASI,TASI,09/01/2002,2464.69995,2465.43994,2461.36011,2462.43994,1128746
TASI,TASI,10/01/2002,2462.43994,2468.62012,2460.43994,2468.62012,1038128
TASI,TASI,12/01/2002,2468.62012,2468.91992,2460.05005,2461.12988,1749991
TASI,TASI,13/01/2002,2461.12988,2461.63989,2458.02002,2461.16992,3027937
TASI,TASI,14/01/2002,2461.16992,2462.62012,2456.78003,2459.68994,2077328
TASI,TASI,15/01/2002,2459.68994,2461.21997,2455.84009,2456.5,1773106
TASI,TASI,16/01/2002,2456.5,2456.59009,2440.98999,2444.31006,1818329
TASI,TASI,17/01/2002,2444.31006,2452.18994,2444.22998,2450.03003,451499
TASI,TASI,19/01/2002,2450.03003,2450.03003,2445.44995,2449.08008,1146984
TASI,TASI,20/01/2002,2449.08008,2449.08008,2434.13989,2437.30005,2216957
TASI,TASI,21/01/2002,2437.30005,2454.16992,2437.30005,2446.96997,2904392
TASI,TASI,22/01/2002,2446.96997,2457.78003,2444.90991,2448.47998,2267909
TASI,TASI,23/01/2002,2448.47998,2455.88989,2448.30005,2449.18994,1320905
TASI,TASI,24/01/2002,2449.18994,2461.77002,2448.69995,2461.75,985683
TASI,TASI,26/01/2002,2461.75,2478.5,2450.96997,2457.45996,2078577
TASI,TASI,27/01/2002,2457.45996,2458.78003,2446.54004,2455.1001,2284183
TASI,TASI,28/01/2002,2455.1001,2463.13989,2454.76001,2462.02002,1850134
TASI,TASI,29/01/2002,2462.02002,2466.93994,2459.13989,2461.83008,1945679
TASI,TASI,30/01/2002,2461.83008,2461.83008,2455.56006,2457.65991,1521004
TASI,TASI,31/01/2002,2457.65991,2457.69995,2455.29004,2456.1499,417545
TASI,TASI,02/02/2002,2456.1499,2458.16992,2446.34009,2449.93994,1846724
TASI,TASI,03/02/2002,2449.93994,2453.20996,2445.65991,2451.29004,2267043
TASI,TASI,04/02/2002,2451.29004,2462.11011,2449.69995,2456.65991,2038860
TASI,TASI,05/02/2002,2456.65991,2460.25,2445.11011,2447.41992,2313635
TASI,TASI,06/02/2002,2447.41992,2451.22998,2439.41992,2443.95996,1660766
TASI,TASI,07/02/2002,2443.95996,2443.95996,2433.92993,2437.30005,507782
TASI,TASI,09/02/2002,2437.30005,2443.97998,2434.82007,2441.37012,1216426
TASI,TASI,10/02/2002,2441.37012,2441.37012,2428.57007,2428.81006,1250490
TASI,TASI,11/02/2002,2428.81006,2428.98999,2413.3999,2417.23999,1154644
TASI,TASI,12/02/2002,2417.23999,2421.48999,2415.72998,2420.48999,1039748
TASI,TASI,13/02/2002,2420.48999,2427.8501,2405.80005,2419.41992,2057204
TASI,TASI,14/02/2002,2419.41992,2425.44995,2414.26001,2423.51001,750565
TASI,TASI,16/02/2002,2423.51001,2423.51001,2412.61011,2414.34009,1126697
TASI,TASI,17/02/2002,2414.34009,2414.97998,2406.01001,2406.73999,910808
TASI,TASI,18/02/2002,2406.73999,2418.02002,2406.66992,2417.76001,1125592
TASI,TASI,19/02/2002,2417.76001,2426.92993,2416.54004,2426.62988,776017
TASI,TASI,26/02/2002,2426.62988,2431.22998,2425.47998,2426.58008,613143
TASI,TASI,27/02/2002,2426.58008,2435.59009,2424.79004,2434.47998,1256811
TASI,TASI,28/02/2002,2434.47998,2447.12012,2433.66992,2446.82007,922680
TASI,TASI,02/03/2002,2446.82007,2463.21997,2438.88989,2463.15991,2112715
TASI,TASI,03/03/2002,2463.15991,2463.51001,2427.75,2437.34009,2161573
TASI,TASI,04/03/2002,2437.34009,2442.3501,2434.68994,2439.42993,1541098
TASI,TASI,05/03/2002,2439.42993,2455.80005,2438.92993,2454.92993,2572545
TASI,TASI,06/03/2002,2454.92993,2480.36011,2454.92993,2471.84009,3678892
TASI,TASI,07/03/2002,2471.84009,2489,2471.84009,2488.46997,2965137
TASI,TASI,09/03/2002,2488.46997,2531.37012,2488.46997,2514.73999,4273742
TASI,TASI,10/03/2002,2514.73999,2519.58008,2506.1001,2512.86011,2562976
TASI,TASI,11/03/2002,2512.86011,2532.31006,2510.91992,2530.30005,3865672
TASI,TASI,12/03/2002,2530.30005,2544.98999,2530.30005,2539.26001,4029972
TASI,TASI,13/03/2002,2539.26001,2546.26001,2519.77002,2528.21997,2859121
TASI,TASI,14/03/2002,2528.21997,2537.1001,2528.21997,2534.47998,2478697
TASI,TASI,16/03/2002,2534.47998,2546.12988,2531.44995,2545.93994,5063420
TASI,TASI,17/03/2002,2545.93994,2583.37012,2545.31006,2567.47998,5781256
TASI,TASI,18/03/2002,2567.47998,2588.52002,2562.59009,2564.76001,3344466
TASI,TASI,19/03/2002,2564.76001,2579.45996,2564.76001,2577.03003,4615651
TASI,TASI,20/03/2002,2577.03003,2577.70996,2557.84009,2560.86011,4100926
TASI,TASI,21/03/2002,2560.86011,2561.8501,2554.38989,2557.29004,1967663
TASI,TASI,23/03/2002,2557.29004,2566.37012,2555.94995,2565.87012,3703049
TASI,TASI,24/03/2002,2565.87012,2570.47998,2561.3999,2568.8999,3976897
TASI,TASI,25/03/2002,2568.8999,2583.82007,2568.86011,2576.43994,5511835
TASI,TASI,26/03/2002,2576.43994,2588.06006,2576,2583.32007,7605187
TASI,TASI,27/03/2002,2583.32007,2600.98999,2583.32007,2593.55005,8950754
TASI,TASI,28/03/2002,2593.55005,2604.70996,2593.03003,2594.13989,3217116
TASI,TASI,30/03/2002,2594.13989,2594.17993,2550.26001,2557.96997,6689941
TASI,TASI,31/03/2002,2557.96997,2558.75,2504.23999,2512.76001,4849183
TASI,TASI,01/04/2002,2512.76001,2546.73999,2483.65991,2546.56006,5267224
TASI,TASI,02/04/2002,2546.56006,2564.15991,2533.63989,2535.3501,4355408
TASI,TASI,03/04/2002,2535.3501,2559.18994,2535.3501,2558.54004,3873815
TASI,TASI,04/04/2002,2558.54004,2576.8999,2558.54004,2575.30005,3079435
TASI,TASI,06/04/2002,2575.30005,2607.20996,2575.30005,2603.37012,9429828
