Industry Group,Symbol,Symbol Name,Date,Type,Share Ratio\ Action Description,Previous Share Capital (SAR mn),Previous Issued Shares (mn),New Share Capital (SAR mn),New Issued Shares (mn),Close Price (SAR),Adjusted Close Price (SAR)
Insurance,8140,Al-Ahlia Insurance Co.,09-18-2019,Capital Reduction,NA / Capital Reduction by 23.125 % from SAR 160 million to SAR 123 million (cancelling 1  share  from every  4.324  shares). ,160000000,16000000,123000000,12300000,10.44,13.58
Health Care Equipment & Svc,2230,Saudi Chemical Co.,09-17-2019,Bonus,1:3 / Bonus - 1 free share  for every 3 shares held,632400000,63240000,843200000,84320000,32.65,24.48
Materials,2330,Advanced Petrochemical Co.,09-17-2019,Bonus,1:10 / Bonus - 1 free share  for every 10 shares held,1967940000,196794000,2164734000,216473400,50.8,46.2
Capital Goods,2160,Saudi Arabian Amiantit Co.,09-08-2019,Capital Reduction,NA / Capital Reduction by 70.20 % from SAR 1,155  million to SAR 344.52 million (cancelling 1  share  from every  1.425  shares). ,1155000000,115500000,344517000,34451700,6.77,22.7
Consumer Durables & Apparel,1213,Al Sorayai Trading and Industrial Group,08-28-2019,Capital Reduction,NA / Capital Reduction by 70.89 % from SAR 225 million to SAR 65.5 million (cancelling 3.54 shares from every 5 shares).,225000000,22500000,65500000,6550000,11.86,40.75
Food & Beverages,6001,Halwani Bros. Co.,08-05-2019,Bonus,1:10 / Bonus - 1 free share  for every 10 shares held,285714300,28571430,314285730,31428573,38.35,34.85
Insurance,8170,Al-Etihad Cooperative Insurance Co.,06-19-2019,Bonus,5:11 / Bonus - 5 free share  for every 11 shares held,275000000,27500000,400000000,40000000,22.7,15.6
Banks,1060,Saudi British Bank,06-17-2019,Merger and Acquisition,NA / Merge ,15000000000,1500000000,20547945220,2054794522,41,41
Insurance,8060,Walaa Cooperative Insurance Co.,05-21-2019,Bonus,1:5 / Bonus - 1 free share  for every 5 shares held,440000000,44000000,528000000,52800000,23.6,19.66
Materials,2310,Sahara International Petrochemical Co.,05-20-2019,Merger and Acquisition,NA / Acquisition,3666666660,366666666,7333333320,733333332,20.8,20.8
Real Estate Mgmt & Dev't,4150,Arriyadh Development Co.,05-02-2019,Bonus,1:3 / Bonus - 1 free share  for every 3 shares held,1333333330,133333333,1777777770,177777777,21.86,16.4
Telecommunication Services,7040,Etihad Atheeb Telecommunication Co.,04-24-2019,Capital Reduction,NA / Capital Reduction by 25.81% from SAR 472.5 million to SAR 350.53 million (cancelling 1 share from every 3.8739 shares). ,472500000,47250000,350529000,35052900,5.35,7.21
Consumer Services,1810,Seera Group Holding,04-14-2019,Bonus,2:5 / Bonus - 2 free shares  for every 5 shares held,2096500000,209650000,3000000000,300000000,28.9,20.2
Banks,1140,Bank Albilad,04-09-2019,Bonus,1:4 / Bonus - 1 free share  for every 4 shares held,6000000000,600000000,7500000000,750000000,32.95,26.35
Real Estate Mgmt & Dev't,4090,Taiba Investments Co.,04-09-2019,Merger and Acquisition,NA / Acquisition,1500000000,150000000,1604574830,160457483,29.45,29.45
Banks,1120,Al Rajhi Bank,04-03-2019,Bonus,7:13 / Bonus - 7 free shares for every 13 shares held,16250000000,1625000000,25000000000,2500000000,110.4,71.8
Banks,1080,Arab National Bank,03-27-2019,Bonus,1:2 / Bonus - 1 free share  for every 2 shares held,10000000000,1000000000,15000000000,1500000000,37.1,24.74
Energy,4200,Aldrees Petroleum and Transport Services Co.,03-18-2019,Bonus,1:5 / Bonus - 1 free share for every 5 shares held,500000000,50000000,600000000,60000000,34.5,28.75
Health Care Equipment & Svc,4004,Dallah Healthcare Co.,02-26-2019,Bonus,1:3.69 / Bonus - 1 free share for every 3.69 shares held,590000000,59000000,750000000,75000000,66.5,52.3
Insurance,8310,Amana Cooperative Insurance Co.,01-28-2019,Right Issue,NA / Rights Issue (SAR 10 per share),140000000,14000000,240000000,24000000,22.44,17.26
Insurance,8270,Buruj Cooperative Insurance Co.,01-14-2019,Bonus,1:5 / Bonus - 1 free share  for every 5 shares held,250000000,25000000,300000000,30000000,27.6,23
Food & Beverages,6050,Saudi Fisheries Co.,12-26-2018,Capital Reduction,NA / Capital Reduction by 49.45% from SAR 200 million to SAR 101.1 million (cancelling 1 share from every 2.0222 shares). ,200000000,20000000,101110000,10110000,36,71.2
Retailing,4008,Saudi Company for Hardware,12-17-2018,Bonus,1:2 / Bonus - 1 free share  for every 2 shares held,240000000,24000000,360000000,36000000,105,70
