Date,Open,High,Low,Close,Vol
20160810,12.8,13.55,12.8,12.8,1438023
20160811,12.9,13.9,12.85,13.45,1692172
20160814,13.6,13.85,13.2,13.2,752300
20160815,13.25,14.4,13.1,13.6,1020177
20160816,13.6,14.15,13.1,13.1,743720
20160817,13.25,13.25,12.75,12.75,265122
20160818,12.65,12.85,12.65,12.8,537733
20160810,12.8,13.55,12.8,12.8,1438023
20160811,12.9,13.9,12.85,13.45,1692172
20160814,13.6,13.85,13.2,13.2,752300
20160815,13.25,14.4,13.1,13.6,1020177
20160816,13.6,14.15,13.1,13.1,743720
20160817,13.25,13.25,12.75,12.75,265122
20160818,12.65,12.85,12.65,12.8,537733
20160810,12.8,13.55,12.8,12.8,1438023
20160811,12.9,13.9,12.85,13.45,1692172
20160814,13.6,13.85,13.2,13.2,752300
20160815,13.25,14.4,13.1,13.6,1020177
20160816,13.6,14.15,13.1,13.1,743720
20160817,13.25,13.25,12.75,12.75,265122
20160818,12.65,12.85,12.65,12.8,537733
