Date,Open,High,Low,Close,Vol
20161115,6050,6575,6175,6250,10466064
20161116,6250,6450,6125,6175,3317115
20161117,6175,6225,5925,6000,2840425
20161120,6000,6025,5750,5825,1639524
20161121,5825,5850,5675,5700,1446342
20161122,5700,5800,5625,5725,1767997
20161123,5725,5750,5700,5725,1035787
20161124,5725,5925,5725,5775,1853090
20161127,5775,5825,5775,5775,388662
20161128,5775,5775,5725,5750,576449
20161129,5750,5750,5700,5700,692950
20161130,5700,5750,5700,5725,434288
20161201,5725,5775,5725,5725,475576
20161204,5725,5750,5700,5750,541860
20161205,5750,5775,5725,5750,699167
20161206,5750,5800,5750,5775,517067
20161207,5775,5800,5725,5725,501594
20161208,5725,5750,5700,5725,303910
20161211,5725,5750,5650,5675,966839
20161212,5675,5700,5625,5700,977320
20161213,5700,5700,5625,5625,277025
20161214,5625,5675,5550,5575,303611
20161215,5575,5575,5500,5550,181705
20161218,5550,5625,5550,5575,269124
20161219,5575,5650,5550,5625,416953
20161220,5625,5675,5525,5550,252905
20161221,5550,5575,5550,5550,113633
20161222,5550,5600,5550,5575,191138
20161225,5575,5625,5575,5600,239885
20161226,5600,5600,5550,5575,173459
20161227,5575,5600,5575,5600,137733
20161228,5600,5600,5575,5600,146110
20161229,5600,5600,5525,5550,260161
20170101,5550,5575,5550,5575,136645
20170102,5575,5575,5550,5550,303281
20170103,5550,5575,5550,5550,179488
20170104,5550,5575,5500,5525,241204
20170105,5525,5550,5500,5550,191562
20161115,6050,6575,6175,6250,10466064
20161116,6250,6450,6125,6175,3317115
20161117,6175,6225,5925,6000,2840425
20161120,6000,6025,5750,5825,1639524
20161121,5825,5850,5675,5700,1446342
20161122,5700,5800,5625,5725,1767997
20161123,5725,5750,5700,5725,1035787
20161124,5725,5925,5725,5775,1853090
20161127,5775,5825,5775,5775,388662
20161128,5775,5775,5725,5750,576449
20161129,5750,5750,5700,5700,692950
20161130,5700,5750,5700,5725,434288
20161201,5725,5775,5725,5725,475576
20161204,5725,5750,5700,5750,541860
20161205,5750,5775,5725,5750,699167
20161206,5750,5800,5750,5775,517067
20161207,5775,5800,5725,5725,501594
20161208,5725,5750,5700,5725,303910
20161211,5725,5750,5650,5675,966839
20161212,5675,5700,5625,5700,977320
20161213,5700,5700,5625,5625,277025
20161214,5625,5675,5550,5575,303611
20161215,5575,5575,5500,5550,181705
20161218,5550,5625,5550,5575,269124
20161219,5575,5650,5550,5625,416953
20161220,5625,5675,5525,5550,252905
20161221,5550,5575,5550,5550,113633
20161222,5550,5600,5550,5575,191138
20161225,5575,5625,5575,5600,239885
20161226,5600,5600,5550,5575,173459
20161227,5575,5600,5575,5600,137733
20161228,5600,5600,5575,5600,146110
20161229,5600,5600,5525,5550,260161
20170101,5550,5575,5550,5575,136645
20170102,5575,5575,5550,5550,303281
20170103,5550,5575,5550,5550,179488
20170104,5550,5575,5500,5525,241204
20170105,5525,5550,5500,5550,191562
20161115,6050,6575,6175,6250,10466064
20161116,6250,6450,6125,6175,3317115
20161117,6175,6225,5925,6000,2840425
20161120,6000,6025,5750,5825,1639524
20161121,5825,5850,5675,5700,1446342
20161122,5700,5800,5625,5725,1767997
20161123,5725,5750,5700,5725,1035787
20161124,5725,5925,5725,5775,1853090
20161127,5775,5825,5775,5775,388662
20161128,5775,5775,5725,5750,576449
20161129,5750,5750,5700,5700,692950
20161130,5700,5750,5700,5725,434288
20161201,5725,5775,5725,5725,475576
20161204,5725,5750,5700,5750,541860
20161205,5750,5775,5725,5750,699167
20161206,5750,5800,5750,5775,517067
20161207,5775,5800,5725,5725,501594
20161208,5725,5750,5700,5725,303910
20161211,5725,5750,5650,5675,966839
20161212,5675,5700,5625,5700,977320
20161213,5700,5700,5625,5625,277025
20161214,5625,5675,5550,5575,303611
20161215,5575,5575,5500,5550,181705
20161218,5550,5625,5550,5575,269124
20161219,5575,5650,5550,5625,416953
20161220,5625,5675,5525,5550,252905
20161221,5550,5575,5550,5550,113633
20161222,5550,5600,5550,5575,191138
20161225,5575,5625,5575,5600,239885
20161226,5600,5600,5550,5575,173459
20161227,5575,5600,5575,5600,137733
20161228,5600,5600,5575,5600,146110
20161229,5600,5600,5525,5550,260161
20170101,5550,5575,5550,5575,136645
20170102,5575,5575,5550,5550,303281
20170103,5550,5575,5550,5550,179488
20170104,5550,5575,5500,5525,241204
20170105,5525,5550,5500,5550,191562
