Date,Open,High,Low,Close,Vol
20070107,5147.2998,5147.2998,5147.2998,5147.2998,51757872
20070108,5219.75,5219.75,5219.75,5219.75,67840168
20070109,5338.66992,5338.66992,5338.66992,5338.66992,87316768
20070110,5187.77979,5187.77979,5187.77979,5187.77979,83020456
20070113,4809.12012,4809.12012,4809.12012,4809.12012,41744864
20070114,4649.06006,4649.06006,4649.06006,4649.06006,62783652
20070115,4765.9502,4765.9502,4765.9502,4765.9502,52507420
20070116,4561.37988,4561.37988,4561.37988,4561.37988,57279144
20070117,4690.06982,4690.06982,4690.06982,4690.06982,69764976
20070120,4660.91016,4660.91016,4660.91016,4660.91016,42460848
20070121,4700.83984,4700.83984,4700.83984,4700.83984,32254364
20070122,4694.3501,4694.3501,4694.3501,4694.3501,65192608
20070123,4607.16016,4607.16016,4607.16016,4607.16016,49160204
20070124,4468.3999,4468.3999,4468.3999,4468.3999,68589120
20070127,4599.20996,4599.20996,4599.20996,4599.20996,51227856
20070128,4801.43018,4801.43018,4801.43018,4801.43018,60023668
20070129,4639.52979,4639.52979,4639.52979,4639.52979,77148728
20070130,4628.64014,4628.64014,4628.64014,4628.64014,67691032
20070131,4706.45996,4706.45996,4706.45996,4706.45996,70082304
20070203,4809.25,4809.25,4809.25,4809.25,84058800
20070204,4717.08008,4717.08008,4717.08008,4717.08008,69026968
20070205,4679.8999,4679.8999,4679.8999,4679.8999,67965696
20070206,4703.02979,4703.02979,4703.02979,4703.02979,46738576
20070207,4721.06006,4721.06006,4721.06006,4721.06006,60730712
20070210,4769.24023,4769.24023,4769.24023,4769.24023,44713932
20070211,4752.33008,4752.33008,4752.33008,4752.33008,55467216
20070212,4746.77002,4746.77002,4746.77002,4746.77002,66669224
20070213,4774.2998,4774.2998,4774.2998,4774.2998,50713512
20070214,4787.81982,4787.81982,4787.81982,4787.81982,39023680
20070217,4869.43018,4869.43018,4869.43018,4869.43018,81885624
20070218,4965.75,4965.75,4965.75,4965.75,74387320
20070219,5122.6001,5122.6001,5122.6001,5122.6001,93403320
20070220,4990.72021,4990.72021,4990.72021,4990.72021,61062896
20070221,5075.75,5075.75,5075.75,5075.75,67782240
20070224,5233.24023,5233.24023,5233.24023,5233.24023,74199232
20070225,5209.75,5209.75,5209.75,5209.75,73623016
20070226,5269.2998,5269.2998,5269.2998,5269.2998,88590600
20070227,5282.3501,5282.3501,5282.3501,5282.3501,99050512
20070228,5163.10986,5163.10986,5163.10986,5163.10986,62278396
20070303,5388.83008,5388.83008,5388.83008,5388.83008,66953864
20070304,5543.16016,5543.16016,5543.16016,5543.16016,87138376
20070305,5871.7998,5871.7998,5871.7998,5871.7998,84272128
20070306,5967.3501,5967.3501,5967.3501,5967.3501,93314728
20070307,6053.5498,6053.5498,6053.5498,6053.5498,75013072
20070310,6158.14014,6158.14014,6158.14014,6158.14014,89613392
20070311,5925.06006,5925.06006,5925.06006,5925.06006,71841744
20070312,6099.91016,6099.91016,6099.91016,6099.91016,80241616
20070313,5831.37012,5831.37012,5831.37012,5831.37012,69912080
20070314,5985.25977,5985.25977,5985.25977,5985.25977,98226592
20070317,5957.3501,5957.3501,5957.3501,5957.3501,73011664
20070318,6144.47998,6144.47998,6144.47998,6144.47998,82379352
20070319,6254.6001,6254.6001,6254.6001,6254.6001,76558992
20070320,6344.52979,6344.52979,6344.52979,6344.52979,85048848
20070321,6388.74023,6388.74023,6388.74023,6388.74023,97173056
20070324,6332.20996,6332.20996,6332.20996,6332.20996,89633624
20070325,6265.02979,6265.02979,6265.02979,6265.02979,69626584
20070326,5757.52979,5757.52979,5757.52979,5757.52979,37561156
20070327,5416.37012,5416.37012,5416.37012,5416.37012,56830116
20070328,5256.87988,5256.87988,5256.87988,5256.87988,65854112
20070331,4959.7998,4959.7998,4959.7998,4959.7998,51754948
20070401,5245.1001,5245.1001,5245.1001,5245.1001,65748616
20070402,5044.3501,5044.3501,5044.3501,5044.3501,85120320
20070403,5095.3999,5095.3999,5095.3999,5095.3999,72069432
20070404,5207.58008,5207.58008,5207.58008,5207.58008,89364592
20070407,5609.75,5609.75,5609.75,5609.75,86013328
20070408,5547.35986,5547.35986,5547.35986,5547.35986,115008168
20070409,5549.91016,5549.91016,5549.91016,5549.91016,102286464
20070410,5675.87988,5675.87988,5675.87988,5675.87988,78744248
20070411,5597.43018,5597.43018,5597.43018,5597.43018,71679936
20070414,5360.22021,5360.22021,5360.22021,5360.22021,62521400
20070415,4998.43018,4998.43018,4998.43018,4998.43018,59181952
