Date,Open,High,Low,Close,Vol
20070107,4995.93018,4995.93018,4995.93018,4995.93018,34614120
20070108,4977.60986,4977.60986,4977.60986,4977.60986,30312110
20070109,5021.2998,5021.2998,5021.2998,5021.2998,24506642
20070110,4822.8999,4822.8999,4822.8999,4822.8999,13583931
20070113,4440.14014,4440.14014,4440.14014,4440.14014,8418613
20070114,4493.75,4493.75,4493.75,4493.75,22713556
20070115,4729.3999,4729.3999,4729.3999,4729.3999,27495528
20070116,4611.60986,4611.60986,4611.60986,4611.60986,11950076
20070117,4624.97021,4624.97021,4624.97021,4624.97021,18696248
20070120,4521.3501,4521.3501,4521.3501,4521.3501,11278167
20070121,4549.66992,4549.66992,4549.66992,4549.66992,9033269
20070122,4596.60986,4596.60986,4596.60986,4596.60986,20008046
20070123,4532.9502,4532.9502,4532.9502,4532.9502,13102386
20070124,4357.52002,4357.52002,4357.52002,4357.52002,11756705
20070127,4430.72021,4430.72021,4430.72021,4430.72021,19607876
20070128,4587.27002,4587.27002,4587.27002,4587.27002,23501716
20070129,4551.6499,4551.6499,4551.6499,4551.6499,21795480
20070130,4529.47998,4529.47998,4529.47998,4529.47998,15970822
20070131,4554.77979,4554.77979,4554.77979,4554.77979,14004115
20070203,4783.52979,4783.52979,4783.52979,4783.52979,19551516
20070204,4739.83008,4739.83008,4739.83008,4739.83008,21875036
20070205,4708.85986,4708.85986,4708.85986,4708.85986,22995548
20070206,4834.6001,4834.6001,4834.6001,4834.6001,13438055
20070207,4978.75,4978.75,4978.75,4978.75,23961812
20070210,5064.5,5064.5,5064.5,5064.5,17076104
20070211,5095.83008,5095.83008,5095.83008,5095.83008,13057357
20070212,5161.06982,5161.06982,5161.06982,5161.06982,15905786
20070213,5232.43018,5232.43018,5232.43018,5232.43018,10558589
20070214,5303.33008,5303.33008,5303.33008,5303.33008,12214153
20070217,5400.41016,5400.41016,5400.41016,5400.41016,22971960
20070218,5451.62012,5451.62012,5451.62012,5451.62012,19154104
20070219,5632.49023,5632.49023,5632.49023,5632.49023,25588876
20070220,5635.33008,5635.33008,5635.33008,5635.33008,25269106
20070221,5706.87012,5706.87012,5706.87012,5706.87012,27201008
20070224,5644.04004,5644.04004,5644.04004,5644.04004,21209644
20070225,5809.50977,5809.50977,5809.50977,5809.50977,29321112
20070226,6107.58008,6107.58008,6107.58008,6107.58008,32753916
20070227,5898.49023,5898.49023,5898.49023,5898.49023,36026724
20070228,5735.49023,5735.49023,5735.49023,5735.49023,29942014
20070303,5921.47998,5921.47998,5921.47998,5921.47998,26645552
20070304,5968.43994,5968.43994,5968.43994,5968.43994,39817152
20070305,6183.5,6183.5,6183.5,6183.5,39024464
20070306,6174.66016,6174.66016,6174.66016,6174.66016,41019712
20070307,6306.22998,6306.22998,6306.22998,6306.22998,32948842
20070310,6480.43994,6480.43994,6480.43994,6480.43994,41250624
20070311,6319.68994,6319.68994,6319.68994,6319.68994,28188588
20070312,6540.43994,6540.43994,6540.43994,6540.43994,38870104
20070313,6335.08008,6335.08008,6335.08008,6335.08008,34882872
20070314,6472.18018,6472.18018,6472.18018,6472.18018,35079080
20070317,6566.1499,6566.1499,6566.1499,6566.1499,26007912
20070318,6672.75977,6672.75977,6672.75977,6672.75977,21637936
20070319,6850.2002,6850.2002,6850.2002,6850.2002,31402008
20070320,6950.16992,6950.16992,6950.16992,6950.16992,36140200
20070321,6762.22998,6762.22998,6762.22998,6762.22998,27960220
20070324,6464.16992,6464.16992,6464.16992,6464.16992,21942404
20070325,6515.8999,6515.8999,6515.8999,6515.8999,27465668
20070326,5902.22998,5902.22998,5902.22998,5902.22998,16379092
20070327,5582.95996,5582.95996,5582.95996,5582.95996,16545832
20070328,5399.25,5399.25,5399.25,5399.25,22446248
20070331,5014.58008,5014.58008,5014.58008,5014.58008,14328715
20070401,5378.81982,5378.81982,5378.81982,5378.81982,16554088
20070402,5111.29004,5111.29004,5111.29004,5111.29004,15777569
20070403,5132.16992,5132.16992,5132.16992,5132.16992,17400676
20070404,5251.97998,5251.97998,5251.97998,5251.97998,19250660
20070407,5705.6499,5705.6499,5705.6499,5705.6499,22711040
20070408,5648.6499,5648.6499,5648.6499,5648.6499,28967660
20070409,5577.41016,5577.41016,5577.41016,5577.41016,24486964
20070410,5724.06006,5724.06006,5724.06006,5724.06006,26615448
20070411,5603.66992,5603.66992,5603.66992,5603.66992,13945769
20070414,5396.77979,5396.77979,5396.77979,5396.77979,14080678
20070415,5019.22998,5019.22998,5019.22998,5019.22998,13304978
20070416,5066.5498,5066.5498,5066.5498,5066.5498,11228902
20070417,5031.3999,5031.3999,5031.3999,5031.3999,8495176
20070418,5146.52002,5146.52002,5146.52002,5146.52002,15471929
20070421,5144.56982,5144.56982,5144.56982,5144.56982,19164354
20070422,5064.93994,5064.93994,5064.93994,5064.93994,23505196
20070423,5052.66992,5052.66992,5052.66992,5052.66992,18176804
20070424,4919.75,4919.75,4919.75,4919.75,11888236
20070425,5032.00977,5032.00977,5032.00977,5032.00977,13596191
20070428,5346.4502,5346.4502,5346.4502,5346.4502,20659676
20070429,5156.1499,5156.1499,5156.1499,5156.1499,25258412
20070430,5269.02002,5269.02002,5269.02002,5269.02002,15280335
20070501,5326.64014,5326.64014,5326.64014,5326.64014,18026342
20070502,5300.87988,5300.87988,5300.87988,5300.87988,29219216
20070505,5149.58984,5149.58984,5149.58984,5149.58984,16063858
20070506,5223.77979,5223.77979,5223.77979,5223.77979,10895686
20070507,5283.58984,5283.58984,5283.58984,5283.58984,14707967
20070508,5317,5317,5317,5317,15263264
20070509,5315.87988,5315.87988,5315.87988,5315.87988,16409176
