Date,Open,High,Low,Close,Vol
20170109,4950.31982,4958.49023,4905.2002,4941.64014,38021312
20170110,4941.64014,4941.64014,4894.16992,4905.08008,31151104
20170111,4905.08008,4917.9502,4815.72021,4821.93994,38928052
20170112,4821.93994,4858.08008,4812.37012,4846.72021,28547512
20170115,4846.72021,4851.25977,4819.60986,4835.41016,27182988
20170116,4835.41016,4830.5498,4749.25977,4777.81982,39111380
20170117,4777.81982,4793.7002,4728.18018,4785.70996,35928196
20170118,4785.70996,4822.33008,4773.3501,4797.83008,39249344
20170119,4797.83008,4873.20996,4797.43994,4862.45996,36638432
20170122,4862.45996,4863.0498,4804.24023,4837.7002,38495888
20170123,4837.7002,4953.02979,4837.7002,4943.7002,45526768
20170124,4943.7002,5010.72021,4942.39014,4985.12988,36474016
20170125,4985.12988,5058.1001,4967.08008,5027.43018,31147526
20170126,5027.43018,5064.95996,5023.9502,5034.39014,54676640
20170129,5034.39014,5101.68018,5026.91992,5080.87988,31852136
20170130,5080.87988,5097.81006,5060.06006,5061.62988,30534798
20170131,5061.62988,5061.62988,5010.33984,5023.37012,30175600
20170201,5023.37012,5033.31006,4985.93018,4996.99023,59532928
20170202,4996.99023,5025.81006,4982.62988,4993.5,52368384
20170205,4993.5,5001.37012,4929.43994,4948.66016,33183592
20170206,4948.66016,4951.72998,4907.91992,4935.64014,45638792
20170207,4935.64014,4944.54004,4896.16992,4897.43018,32173600
20170208,4897.43018,4901.06982,4845.04004,4861.87988,38130600
20170209,4861.87988,4871.5498,4836.39014,4843.47998,35197840
20170212,4843.47998,4921.81006,4843.47998,4884.06982,32469060
20170213,4884.06982,4910.7002,4883.43994,4910.7002,24727500
20170214,4910.7002,4910.7002,4879.2998,4882.43018,28408892
20170215,4882.43018,4920.56982,4871.25,4906.68994,29564404
20170216,4906.68994,4952.02002,4906.33008,4945.60986,26357342
20170219,4945.60986,5004.43018,4942.33984,4964.7998,27831600
20170220,4964.7998,4966.6499,4921.16016,4922.89014,16333275
20170221,4922.89014,4933.33008,4886.75977,4903.1001,19084322
20170222,4903.1001,4919.60986,4893.06006,4905,20915764
20170223,4905,4910.16016,4871.91016,4887.25977,20160690
20170226,4887.25977,4909.37012,4876.1499,4889.93018,25042584
20170227,4889.93018,4900.6499,4845.49023,4848.3501,35900396
20170228,4848.3501,4849.14014,4787.64014,4819.35986,34978056
20170301,4819.35986,4842.18994,4803.95996,4815.77002,30623392
20170302,4815.77002,4846.77979,4814.75,4826.16992,32549924
20170305,4826.16992,4826.16992,4787.99023,4796.41992,28817356
20170306,4796.41992,4803.75977,4779.79004,4795.72998,24249808
20170307,4795.72998,4829.49023,4796,4811.1001,38088632
20170308,4811.1001,4811.5,4770.8501,4780.25977,28680828
20170309,4780.25977,4778.60986,4714.35986,4763.8999,43241272
20170312,4763.8999,4779.91992,4724.54004,4739.00977,40055720
20170313,4739.00977,4741.10986,4684.2002,4687.52979,47851484
20170314,4687.52979,4696,4620.18018,4670.31982,41018712
20170315,4670.31982,4740.72998,4671.99023,4731.37012,39537448
20170316,4731.37012,4820.37988,4733.14014,4804.12012,47074584
20170319,4804.12012,4849.58008,4797.99023,4832.58984,31582054
20170320,4832.58984,4832.99023,4773.3999,4786.62988,29375424
