Date,Open,High,Low,Close,Vol
20070107,5622.41992,5622.41992,5622.41992,5622.41992,1179811
20070108,5627.2002,5627.2002,5627.2002,5627.2002,795105
20070109,5662.2998,5662.2998,5662.2998,5662.2998,2563574
20070110,5565.75977,5565.75977,5565.75977,5565.75977,2573392
20070113,5470.85986,5470.85986,5470.85986,5470.85986,3399059
20070114,5645.37988,5645.37988,5645.37988,5645.37988,3315641
20070115,5716.27979,5716.27979,5716.27979,5716.27979,1886390
20070116,5590.50977,5590.50977,5590.50977,5590.50977,1580069
20070117,5749.37012,5749.37012,5749.37012,5749.37012,3993453
20070120,5799.31982,5799.31982,5799.31982,5799.31982,1337636
20070121,5771.8501,5771.8501,5771.8501,5771.8501,954377
20070122,5749.22998,5749.22998,5749.22998,5749.22998,1927067
20070123,5784.50977,5784.50977,5784.50977,5784.50977,3067245
20070124,5784.54004,5784.54004,5784.54004,5784.54004,3587727
20070127,5819.7998,5819.7998,5819.7998,5819.7998,2431779
20070128,5772.6001,5772.6001,5772.6001,5772.6001,1333514
20070129,5653.83008,5653.83008,5653.83008,5653.83008,994548
20070130,5575.74023,5575.74023,5575.74023,5575.74023,1334552
20070131,5585.10986,5585.10986,5585.10986,5585.10986,1352952
20070203,5686.70996,5686.70996,5686.70996,5686.70996,3712164
20070204,5637.54004,5637.54004,5637.54004,5637.54004,1235837
20070205,5624.62012,5624.62012,5624.62012,5624.62012,1333115
20070206,5688.47021,5688.47021,5688.47021,5688.47021,2941748
20070207,5684.24023,5684.24023,5684.24023,5684.24023,3679649
20070210,5735.87012,5735.87012,5735.87012,5735.87012,3216197
20070211,5740.66992,5740.66992,5740.66992,5740.66992,2431813
20070212,5742.74023,5742.74023,5742.74023,5742.74023,1814478
20070213,5765.24023,5765.24023,5765.24023,5765.24023,1294239
20070214,5847.81982,5847.81982,5847.81982,5847.81982,3096349
20070217,5883.18994,5883.18994,5883.18994,5883.18994,3465961
20070218,5984.02979,5984.02979,5984.02979,5984.02979,4191439
20070219,6163.6499,6163.6499,6163.6499,6163.6499,6330743
20070220,6076.41992,6076.41992,6076.41992,6076.41992,2788485
20070221,6109.62012,6109.62012,6109.62012,6109.62012,3155918
20070224,6076.29004,6076.29004,6076.29004,6076.29004,2350726
20070225,6049.83008,6049.83008,6049.83008,6049.83008,2837318
20070226,6078.18994,6078.18994,6078.18994,6078.18994,3659447
20070227,6077.62988,6077.62988,6077.62988,6077.62988,5976267
20070228,6113.99023,6113.99023,6113.99023,6113.99023,5111913
20070303,6152.70996,6152.70996,6152.70996,6152.70996,6374376
20070304,6241.27979,6241.27979,6241.27979,6241.27979,6433556
20070305,6277.41992,6277.41992,6277.41992,6277.41992,3834648
20070306,6331.68994,6331.68994,6331.68994,6331.68994,5744968
