Date,Open,High,Low,Close,Vol
20170109,4946.45996,4977.9502,4870.83008,4932.62012,21404310
20170110,4932.62012,4939.45996,4881.99023,4899.12012,19408952
20170111,4899.12012,4900.7002,4813.79004,4821.66016,11553086
20170112,4821.66016,4853.72998,4745.6499,4846.95996,10324472
20170115,4846.95996,4895.06982,4783.97021,4850.50977,10255581
20170116,4850.50977,4853.87988,4750.22021,4778.18994,9852549
20170117,4778.18994,4812.31006,4707.97998,4796.54004,9473647
20170118,4796.54004,4819.43018,4670.52979,4701.22998,14799865
20170119,4701.22998,4746.72021,4678.27979,4711.77979,13704303
20170122,4711.77979,4792.2002,4698.33008,4784.5,22285310
20170123,4784.5,4878.75,4785.0498,4862.4502,27470186
20170124,4862.4502,4902.08008,4851.56006,4874.97021,21592848
20170125,4874.97021,4906.4502,4846.66992,4847.41992,25937808
20170126,4847.41992,4886.7998,4802.68018,4845.20996,19973822
20170129,4845.20996,4905.70996,4845.77002,4877.52979,27114652
20170130,4877.52979,4887.8501,4805.43994,4806.58984,25339430
20170131,4806.58984,4805.47998,4749.27979,4790.56982,15169547
20170201,4790.56982,4900.6001,4791.12988,4876.43994,19007112
20170202,4876.43994,4926.70996,4863.75977,4906.49023,21772932
20170205,4906.49023,4932.66992,4851.52002,4863.99023,15114504
20170206,4863.99023,4879.10986,4795.62988,4878.10986,12719511
20170207,4878.10986,4887.72998,4826.2998,4839.91992,12310968
20170208,4839.91992,4839.91992,4723.41016,4740.10986,11923030
20170209,4740.10986,4759.68018,4720.85986,4731.41016,10587090
20170212,4731.41016,4806.08984,4731.41016,4787.35986,11395569
20170213,4787.35986,4844.9502,4787.4502,4820.37012,12411499
20170214,4820.37012,4820.58008,4759.06006,4759.81006,11716622
20170215,4759.81006,4798.35986,4752.60986,4789.91992,9620806
20170216,4789.91992,4878.45996,4789.27002,4854.18994,13199458
20170219,4854.18994,4951.56982,4853.08008,4922.12988,10324820
20170220,4922.12988,4972.29004,4880.81006,4895.52979,15486059
20170221,4895.52979,4909.43994,4813.00977,4894.9502,11603578
20170222,4894.9502,5177.02002,4894.74023,5162.77979,19760740
20170223,5162.77979,5388.31006,5162.22998,5206.41992,24317666
20170226,5206.41992,5209.06006,5116.35986,5171.6001,18666432
20170227,5171.6001,5171.97998,4955.93018,4960.81006,24886432
20170228,4960.81006,4964.41992,4868.64014,4955.24023,17092940
20170301,4955.24023,4993.83984,4896.97021,4927.43018,11693826
20170302,4927.43018,4998.87012,4928.5498,4954.83008,10640944
20170305,4954.83008,4958.81006,4890.37012,4925.81006,8241916
20170306,4925.81006,4934.93994,4867.52979,4902.25977,6656359
20170307,4902.25977,4925.5,4888.60986,4892.6499,5680847
20170308,4892.6499,4903.08984,4832.02002,4838.49023,4873475
20170309,4838.49023,4837.37988,4703.12988,4778.20996,12551154
20170312,4778.20996,4781.35986,4707.12988,4709.00977,8363281
20170313,4709.00977,4741.37012,4635.47021,4645.87988,8445322
20170314,4645.87988,4658.1001,4552.87012,4632.22021,13850704
20170315,4632.22021,4689.18994,4624.4502,4662.47998,16289504
20170316,4662.47998,4707.79004,4651.08008,4671.3501,16781360
20170319,4671.3501,4782.8501,4635.75,4733.66016,11685041
20170320,4733.66016,4814.91016,4727.22021,4760.35986,13512964
20170321,4760.35986,4906.97998,4760.35986,4845,8742447
20170322,4845,4843.89014,4662.91992,4689.72021,12578775
20170323,4689.72021,4781.49023,4689.72021,4725.35986,8200393
20170326,4725.35986,4784.79004,4715.60986,4723.64014,7607913
20170327,4723.64014,4725.5498,4641.66992,4655.3999,7301895
20170328,4655.3999,4725.25977,4655.3999,4716.6499,6148556
20170329,4716.6499,4839.31982,4716.6499,4837.75977,8055499
20170330,4837.75977,4945.37988,4837.75977,4930.16016,10073049
20170402,4930.16016,5012.22021,4931.87012,4960.62012,7697206
20170403,4960.62012,4960.62012,4877.2998,4893.87988,5682942
20170404,4893.87988,4919.43994,4827.79004,4911.02979,7982729
20170405,4911.02979,4972.47021,4911.81006,4962.81006,6671572
20170406,4962.81006,4985.70996,4948.97021,4955.2998,7139586
20170409,4955.2998,4970.06006,4904.72998,4915.43018,5544345
20170410,4915.43018,4918.00977,4878.47021,4899.47998,5522908
20170411,4899.47998,4903.08984,4813.43018,4829.74023,5405278
20170412,4829.74023,4874.62012,4815.12012,4844.06982,6477166
20170413,4844.06982,4851.97021,4799.12012,4820.66992,6340755
20170416,4820.66992,4820.1001,4723.39014,4789.0498,8004762
20170417,4789.0498,4814.72021,4761.3999,4805.25,5683035
20170418,4805.25,4825.08984,4704.41016,4713.18994,7480823
20170419,4713.18994,4728.60986,4693.16016,4716,4440502
20170420,4716,4716,4641.68018,4658.62012,6841992
20170423,4658.62012,4804.33008,4660.31982,4759.47021,9748210
20170424,4759.47021,4759.47021,4728.12988,4748.35986,4474892
20170425,4748.35986,4748.93018,4624.77002,4655.79004,6557008
20170426,4655.79004,4666.97021,4603.77979,4634.52979,7179294
20170427,4634.52979,4699.27002,4600.06982,4691.0498,8284633
20170430,4691.0498,4825.43994,4691.3999,4813.75977,9095071
20170501,4813.75977,4862.87988,4792.14014,4801.91016,10426054
20170502,4801.91016,4823.77979,4788.52979,4812.81006,7375134
20170503,4812.81006,4815.50977,4727.06006,4727.06006,5019851
20170504,4727.06006,4740.25977,4679.5498,4691.22021,4057355
20170507,4691.22021,4690.85986,4620.04004,4645.27979,2925203
20170508,4645.27979,4654.93018,4609.25977,4652.0498,3031403
20170509,4652.0498,4679.2998,4612.43018,4668.77979,5201279
20170510,4668.77979,4679.06006,4646.1001,4671.45996,9813297
20170511,4671.45996,4670.89014,4399.77002,4431.31006,10398392
20170514,4431.31006,4432.4502,4299.87012,4313.0498,5247362
20170515,4313.0498,4386.7998,4308.27979,4371.79004,6614102
20170516,4371.79004,4427.18994,4371.79004,4379.08984,10764769
20170517,4379.08984,4391.3501,4348.81006,4351.16016,9864174
20170518,4351.16016,4380.3999,4331.2998,4341.74023,10523066
20170521,4341.74023,4414.81006,4345.16016,4381.31006,9353224
20170522,4381.31006,4395.39014,4344,4355,8389971
20170523,4355,4354.43018,4251.99023,4291.06006,7791853
20170524,4291.06006,4295.43018,4215.56006,4226.37012,5480864
20170525,4226.37012,4232.74023,4185.89014,4185.89014,3683882
20170528,4185.89014,4186.45996,3995.26001,4004.32007,5237953
20170529,4004.32007,4104.4502,3966.32007,4085.97998,3326812
20170530,4085.97998,4211.4502,4085.18994,4152.7002,4232960
20170531,4152.7002,4178.62988,4134.12012,4142.83984,2765823
20170601,4142.83984,4188.72021,4133.87012,4136.87988,2449661
20170604,4136.87988,4180.5,4118.22021,4179.24023,2559639
20170605,4179.24023,4190.7002,4115.12988,4144.12988,7156475
20170606,4144.12988,4148.81982,4103.6001,4110.75977,3116724
20170607,4110.75977,4150.22998,4099.37012,4143.14014,2949587
20170608,4143.14014,4143.14014,4060.8501,4066.40991,2640380
20170611,4066.40991,4066.40991,3921.8999,3967.90991,4570165
20170612,3967.90991,3971.82007,3913.30005,3958.21997,2664020
20170613,3958.21997,3970.6499,3937.13989,3969.06006,2032666
20170614,3969.06006,3971.78003,3936.12988,3952.48999,2477522
20170615,3952.48999,3952.56006,3851.07007,3851.07007,2512950
20170618,3851.07007,3886.95996,3830.77002,3886.95996,2137441
20170619,3886.95996,4026.95996,3878.8999,4012.45996,4690644
20170620,4012.45996,4118.35986,4013.38989,4060.05005,4376928
20170621,4060.05005,4292.47998,4061.18994,4203.54004,9207975
20170622,4203.54004,4225.06982,4118.62012,4139.54004,9262209
20170702,4139.54004,4210.5498,4110.41992,4148.99023,6682900
20170703,4148.99023,4209.27979,4147.5498,4201.22021,4838012
20170704,4201.22021,4213.87988,4161.02979,4161.02979,4758573
20170705,4161.02979,4176.6499,4146.66992,4172.06006,4352556
20170706,4172.06006,4175.6001,4154.52002,4155.35986,4840969
20170709,4155.35986,4184.8501,4141.3999,4143.16016,3861934
20170710,4143.16016,4175.12012,4136.12012,4142.68994,2876523
20170711,4142.68994,4143.3999,4113.2998,4117.18018,3170048
20170712,4117.18018,4168.91992,4117.18018,4157.7998,4110068
20170713,4157.7998,4180.7002,4147.49023,4150.3501,3364636
20170716,4150.3501,4181.91016,4150.3501,4174.75977,3500846
20170717,4174.75977,4180.89014,4166.66016,4173.1001,4916179
20170718,4173.1001,4176.27979,4139.7998,4146.2998,1953377
20170719,4146.2998,4147.75,4122.27002,4135.6499,2268926
20170720,4135.6499,4155.47998,4135.6499,4147.47998,2772225
20170723,4147.47998,4150.2998,4133.6001,4147.91016,2201270
20170724,4147.91016,4149.3999,4133.37012,4136.7002,1945604
20170725,4136.7002,4136.93994,4116.77002,4117.9502,1883789
20170726,4117.9502,4126.81006,4099.2002,4100.87012,1521332
20170727,4100.87012,4109.2998,4075.87012,4085.19995,1805041
20170730,4085.19995,4086.09009,4027.55005,4029.41992,2579997
20170731,4029.41992,4030.59009,4006.94995,4016.6499,2633571
20170801,4016.6499,4110.93018,4016.6499,4090.13989,12362045
20170802,4090.13989,4119.5,4081.6499,4089.6499,6004726
20170803,4089.6499,4101.25,4077.81006,4087,3643361
20170806,4087,4185,4078.5,4156.50977,13594627
20170807,4156.50977,4174.41992,4144.54004,4155.49023,8508976
20170808,4155.49023,4216.83984,4154.16992,4214.06006,7725759
20170809,4214.06006,4265.81982,4202.66016,4265.81982,10927049
20170810,4265.81982,4352.02002,4265.81982,4328.02002,24898368
20170813,4328.02002,4383.5,4332.41992,4372,21993160
20170814,4372,4389.50977,4346.93018,4357.56982,9900893
20170815,4357.56982,4380.66992,4302.35986,4307.35986,14382907
20170816,4307.35986,4336.77002,4307.35986,4333.25977,6542908
20170817,4333.25977,4369.18018,4333.25977,4354.49023,8090263
20170820,4354.49023,4404.77979,4355.04004,4380.62012,9322378
20170821,4380.62012,4384.20996,4341.66016,4345.08984,5823469
20170822,4345.08984,4356.45996,4336.99023,4342.27002,7006309
20170823,4342.27002,4360.08008,4337.47021,4341.41992,7298604
20170824,4341.41992,4347.24023,4305.66992,4306.04004,3937834
20170827,4306.04004,4329.66992,4302.41016,4302.77979,4312468
20170828,4302.77979,4325.6499,4290.41016,4325.6499,3487557
20170829,4325.6499,4372.70996,4325.6499,4348.24023,12325072
20170906,4348.24023,4382.66992,4349.31982,4378.12012,5472294
20170907,4378.12012,4394.16992,4370.60986,4388.06982,4222069
20170910,4388.06982,4396.62012,4375.6499,4382.06006,4462053
20170911,4382.06006,4394.83984,4377.22998,4381.16016,4514521
20170912,4381.16016,4396.00977,4360.16016,4361.25977,3631168
20170913,4361.25977,4375.64014,4351.2002,4367.41992,3794244
20170914,4367.41992,4370.93018,4346.99023,4364.25977,3391579
20170917,4364.25977,4409.45996,4365.91016,4409.45996,5167863
20170918,4409.45996,4423.18994,4399.93018,4407.06982,6887816
20170919,4407.06982,4419.9502,4361.50977,4378.2002,4965304
20170920,4378.2002,4378.31006,4357.12988,4371.6499,3037119
20170921,4371.6499,4385,4362.66992,4373.83984,3127202
20170925,4373.83984,4379.04004,4329.43994,4362.66016,3119111
20170926,4362.66016,4399.60986,4361.81982,4376.54004,2921804
20170927,4376.54004,4381.8999,4353.75,4355.62012,2116933
20170928,4355.62012,4388.35986,4352.3999,4382.68994,3324938
20171001,4382.68994,4382.68994,4335.58008,4353.83008,1964394
20171002,4353.83008,4372.97021,4344.52002,4361.12012,3184311
20171003,4361.12012,4371.58984,4350.7002,4354.58984,2190406
20171004,4354.58984,4357.06982,4333.10986,4334.97998,2632878
20171005,4334.97998,4363.81006,4334.9502,4351.87988,2055659
20171008,4351.87988,4362.56982,4307.43018,4315.52979,3201237
