Date,Open,High,Low,Close,Vol
20170109,4940.37988,4955.68994,4854.12012,4932.64014,919153
20170110,4932.64014,4932.64014,4848.45996,4864.60986,1645938
20170111,4864.60986,4870,4736.68018,4810.1001,659336
20170112,4810.1001,4829.56006,4761.25,4806.50977,661025
20170115,4806.50977,4818.79004,4729.5,4783.74023,536736
20170116,4783.74023,4785.52979,4645.31982,4699.27002,671680
20170117,4699.27002,4816.16016,4605.83984,4791.87012,1011970
20170118,4791.87012,4811.33008,4707.97021,4790.08008,1540807
20170119,4790.08008,4825.97021,4690.2998,4825.97021,2822737
20170122,4825.97021,4852.89014,4445.08984,4530.79004,1985488
20170123,4530.79004,4628.77002,4527.2002,4628.77002,1201013
20170124,4628.77002,4674.02979,4574.52979,4674.02979,935939
20170125,4674.02979,4675.83008,4607.50977,4618,535755
20170126,4618,4663.54004,4607.50977,4630.27979,1012273
20170129,4630.27979,4659.9502,4479.85986,4539.47998,677691
20170130,4539.47998,4550.25,4473.24023,4487.04004,1559755
20170131,4487.04004,4497.52979,4413.06006,4479.85986,839336
20170201,4479.85986,4485.25,4436.10986,4457.37012,1936462
20170202,4457.37012,4473.24023,4441.5,4441.5,796212
20170205,4441.5,4457.37012,4325.8501,4327.64014,551258
20170206,4327.64014,4327.64014,4208.68994,4249.12012,773179
20170207,4249.12012,4282.37988,4199.99023,4256.02002,619621
20170208,4256.02002,4256.02002,4155.68994,4166.4502,620102
20170209,4166.4502,4273.68994,4166.4502,4262.91992,3449607
20170212,4262.91992,4371.39014,4262.91992,4371.39014,1284616
20170213,4371.39014,4467.58008,4369.6001,4455.2998,501061
20170214,4455.2998,4457.08984,4369.6001,4385.47021,1021642
20170215,4385.47021,4413.62012,4385.47021,4408.24023,875722
20170216,4408.24023,4483.4502,4408.24023,4458.89014,338898
20170219,4458.89014,4458.89014,4395.95996,4425.62988,396268
20170220,4425.62988,4432.52979,4397.47021,4409.75,376112
20170221,4409.75,4441.22021,4320.47021,4441.22021,593748
20170222,4441.22021,4444.81006,4406.16992,4430.72998,479353
20170223,4430.72998,4430.72998,4379.81006,4395.68018,508471
20170226,4395.68018,4414.85986,4330.66992,4388.5,321985
20170227,4388.5,4407.68018,4310.66016,4326.25,652119
20170228,4326.25,4368.2002,4273.25,4359.50977,880355
20170301,4359.50977,4394.56006,4331.3501,4390.97021,851738
20170302,4390.97021,4437.62988,4375.37988,4407.3999,2353070
20170305,4407.3999,4414.58008,4351.08984,4361.58008,562271
20170306,4361.58008,4391.25,4322.93994,4391.25,414712
20170307,4391.25,4450.47021,4380.75977,4439.97998,8641231
20170308,4439.97998,4455.8501,4388.22021,4391.81006,5637061
20170309,4391.81006,4388.22021,4260.00977,4280.99023,2336377
20170312,4280.99023,4334.93994,4270.22021,4313.97021,850464
20170313,4313.97021,4321.14014,4260.97021,4262.75977,1279634
20170314,4262.75977,4292.99023,4178.58008,4292.99023,2327727
