Date,Open,High,Low,Close,Vol
20170109,4967.02002,4989.87988,4840,4931.1001,4581625
20170110,4931.1001,4944.04004,4839.1001,4869.95996,3713420
20170111,4869.95996,4876.16016,4797.8999,4819.7002,3367355
20170112,4819.7002,4870,4752.77979,4799.06006,2639473
20170115,4799.06006,4832.77002,4763.29004,4804.56006,1680155
20170116,4804.56006,4807.41016,4602.06006,4637.27002,3918579
20170117,4637.27002,4745.02002,4509.68994,4737.74023,3970073
20170118,4737.74023,4796.52979,4686.95996,4750.20996,4521013
20170119,4750.20996,4854.85986,4750.74023,4845.72998,3498961
20170122,4845.72998,4862.7998,4727.93018,4851.66992,4530126
20170123,4851.66992,4901.62012,4861.62012,4892.5498,3786667
20170124,4892.5498,4913.31982,4868.37012,4903.12988,3175980
20170125,4903.12988,4942.72021,4874.2998,4884.5,4101936
20170126,4884.5,4897.66992,4838.04004,4879.72021,3138652
20170129,4879.72021,4955.2998,4870.70996,4931.4502,2675170
20170130,4931.4502,4949.39014,4848.10986,4854.81982,2470176
20170131,4854.81982,4840.27002,4790.25,4809.72021,1843138
20170201,4809.72021,4836.68994,4797.58984,4823.72021,3579016
20170202,4823.72021,4849.87012,4765.27002,4765.54004,2919059
20170205,4765.54004,4802.62012,4736.41016,4744.87012,1826074
20170206,4744.87012,4784.72021,4725.60986,4779.33984,2148772
20170207,4779.33984,4788.00977,4745.41992,4755.77002,1483999
20170208,4755.77002,4755.77002,4596,4654.16992,4846661
20170209,4654.16992,4661.4502,4598.95996,4628.60986,3235505
20170212,4628.60986,4727.20996,4643.16992,4723.9502,4369147
20170213,4723.9502,4741.70996,4694.06982,4708.91016,2961358
20170214,4708.91016,4723.27979,4636.25977,4676.79004,3135788
20170215,4676.79004,4707.14014,4654.64014,4707.14014,1613364
20170216,4707.14014,4754.41992,4707.14014,4740.35986,2562174
20170219,4740.35986,4759.1499,4697.27002,4698.06982,2414325
20170220,4698.06982,4708.16016,4613.25977,4623.50977,3657133
20170221,4623.50977,4628.93994,4565.14014,4609.87988,4025695
20170222,4609.87988,4666,4551.37988,4551.37988,3486533
20170223,4551.37988,4576.29004,4518.87012,4562.77979,2735854
20170226,4562.77979,4563.72998,4498.6499,4536.75977,3910479
20170227,4536.75977,4537.70996,4378.47998,4385.2998,3510219
20170228,4385.2998,4448.72021,4318.31982,4448.72021,4507697
20170301,4448.72021,4452.1001,4371.37012,4398.39014,2761893
20170302,4398.39014,4655.95996,4395.41992,4630.72998,10399192
20170305,4630.72998,4569.8501,4465.04004,4472.2002,13394948
20170306,4472.2002,4481.60986,4388.14014,4453.68994,6279138
