Date,Open,High,Low,Close,Vol
20170109,5133.10986,5267.7998,5078.56982,5167.35986,15200843
20170110,5167.35986,5282.37988,5055.4502,5103.8999,13053955
20170111,5103.8999,5193.33984,4951.83008,4970.77002,8649566
20170112,4970.77002,5031.56982,4814.79004,4908.08008,11667951
20170115,4908.08008,4974.37988,4896.99023,4922.2002,8141771
20170116,4922.2002,4949.08008,4764.97021,4834.72021,7748544
20170117,4834.72021,4932.02979,4663.97021,4931.47021,9180238
20170118,4931.47021,4949.2002,4736.3999,4747.22021,8889837
20170119,4747.22021,4896.25,4671.56006,4891.6001,7882295
20170122,4891.6001,4999.1001,4866.56006,4949.97998,9776243
20170123,4949.97998,5058.37012,4949.97998,5007.52979,8782369
20170124,5007.52979,5041.52979,4994.4502,5004.79004,5381160
20170125,5004.79004,5105.56006,4986.87012,5037.95996,8264116
20170126,5037.95996,5125.2002,4987.75,5003.3999,9286479
20170129,5003.3999,5078.52979,4966.16992,5024.02002,14323497
20170130,5024.02002,5044.24023,4893.5,4900.91992,10786488
20170131,4900.91992,4900.91992,4786.87012,4860.74023,7825557
20170201,4860.74023,4935.91016,4851.95996,4929.75977,7252996
20170202,4929.75977,4958.45996,4901.3999,4922.68018,7595370
20170205,4922.68018,4957.5,4848.00977,4858.43018,3959716
20170206,4858.43018,4958.16992,4784.50977,4953.95996,7692910
20170207,4953.95996,4973.8999,4909.50977,4946.08984,8063916
20170208,4946.08984,4973.2002,4848.12012,4854.12012,8775184
20170209,4854.12012,4903.27979,4802.3501,4879.41016,4854611
20170212,4879.41016,4983.0498,4888.12988,4980.0498,6261036
20170213,4980.0498,5025.77979,4958.25,5014.50977,7690394
20170214,5014.50977,5032.22998,4958.29004,4988.72021,8663000
20170215,4988.72021,5036.87988,4967.56982,5029.22998,4267772
20170216,5029.22998,5052.50977,5010.43994,5011.22021,3623234
20170219,5011.22021,5054.6001,4997.08984,5010.81006,4309698
20170220,5010.81006,5046.87012,4975.6499,4983.2998,8083436
20170221,4983.2998,5035.18994,4934.83008,5026.81982,8789509
20170222,5026.81982,5085.93994,5016.93994,5045.31982,8290482
20170223,5045.31982,5161.52979,5034.7002,5128.33008,9849163
20170226,5128.33008,5153.77979,5088.06006,5088.06006,4790330
20170227,5088.06006,5100.35986,4919.50977,4928.81006,6733404
20170228,4928.81006,5030.4502,4907.41992,5026.39014,4367134
20170301,5026.39014,5048.31006,4965.6499,5017.1499,2729403
20170302,5017.1499,5095.35986,5012.79004,5081.16992,4239041
20170305,5081.16992,5104.25977,5035.97998,5044.99023,3088608
20170306,5044.99023,5054.41016,4958.81006,5012.37988,2976331
20170307,5012.37988,5092.02002,5007.72998,5057.68018,3145635
20170308,5057.68018,5087.18994,5013.7998,5019.5,2383177
20170309,5019.5,5015.14014,4860.56982,4901.93994,4238388
20170312,4901.93994,4901.93994,4799.25977,4816.12012,2072567
20170313,4816.12012,4837.62988,4683.22998,4693.74023,2061092
20170314,4693.74023,4697.56006,4576.58008,4682.16016,3272817
20170315,4682.16016,4819.58984,4682.16016,4755.22021,5293381
20170316,4755.22021,4879.27979,4755.22021,4860.66992,6878201
20170319,4860.66992,4898.33008,4834.29004,4856.37012,4208304
20170320,4856.37012,4874.12988,4798.58984,4798.58984,3568198
20170321,4798.58984,4862.68018,4791.74023,4792.68018,3590192
20170322,4792.68018,4788.31982,4693.43018,4705.58008,2422279
20170323,4705.58008,4809.70996,4705.58008,4779.9502,3885249
20170326,4779.9502,4826.56982,4765.75,4782.8999,1782495
20170327,4782.8999,4782.8999,4738.10986,4738.10986,1525274
20170328,4738.10986,4811.22021,4746.83008,4805.77979,1559511
20170329,4805.77979,4854.97021,4805.77979,4838.06982,2595202
20170330,4838.06982,4851.85986,4817.91992,4843.43018,1929829
20170402,4843.43018,4878.91016,4828.77002,4837.77979,2171646
20170403,4837.77979,4857.58984,4793.62988,4801.14014,2056307
20170404,4801.14014,4841.06982,4781.33008,4828.85986,966516
20170405,4828.85986,4862.27979,4828.72021,4836.62988,1221300
20170406,4836.62988,4928.50977,4818.25977,4864.68994,4884912
20170409,4864.68994,4905.49023,4827.97021,4832.62012,3087178
20170410,4832.62012,4863.56982,4822.91016,4839.7002,1858652
20170411,4839.7002,4858.95996,4795.27002,4807.12012,1637208
20170412,4807.12012,4826.1001,4767.87988,4795.18994,1798294
20170413,4795.18994,4795.18994,4745.06982,4751.12988,1220485
20170416,4751.12988,4751.12988,4663.74023,4679.52002,1837552
20170417,4679.52002,4702.04004,4667.37988,4687.1001,891896
20170418,4687.1001,4702.25977,4634.16016,4634.6001,1205932
20170419,4634.6001,4638.95996,4575.2002,4621.02979,1069536
20170420,4621.02979,4621.02979,4554.08984,4560.68018,1305242
20170423,4560.68018,4655.00977,4544.68994,4546.00977,2495117
20170424,4546.00977,4595.3999,4547.02979,4586.39014,1670481
20170425,4586.39014,4598.25977,4546.39014,4569.66992,1451011
20170426,4569.66992,4649.06982,4565.02002,4623.87012,1943307
20170427,4623.87012,4635.87012,4611.58984,4616.81006,1494230
20170430,4616.81006,4662.16016,4616.81006,4659.79004,1404309
20170501,4659.79004,4694.08984,4628.72998,4633.37988,3064503
20170502,4633.37988,4637.93018,4587.27002,4598.62988,2258972
20170503,4598.62988,4600.12988,4530.31982,4530.31982,1962859
20170504,4530.31982,4543.64014,4474.3999,4489.68994,1912873
20170507,4489.68994,4493.47021,4397.10986,4412.31982,1476704
20170508,4412.31982,4449.93994,4405.91992,4447.7002,931699
20170509,4447.7002,4487.5,4440.62988,4472.47998,713617
20170510,4472.47998,4487.64014,4437.02979,4447.83008,1393802
20170511,4447.83008,4470.93018,4391.81982,4391.81982,1598248
20170514,4391.81982,4389.25977,4325.25977,4325.56006,1469007
20170515,4325.56006,4401.77979,4324.06006,4368.02979,1237263
20170516,4368.02979,4490.41016,4368.02979,4490.41016,4134731
20170517,4490.41016,4535.68018,4476.12012,4535.68018,5665623
20170518,4535.68018,4629.02002,4482.58984,4561.37012,6291762
20170521,4561.37012,4628.27979,4565.72998,4568.31006,3948656
20170522,4568.31006,4605.3999,4569.31982,4601.83008,4189923
20170523,4601.83008,4597.47021,4497.6499,4535.54004,3922248
20170524,4535.54004,4577.25977,4467.02002,4476.31982,5029360
20170525,4476.31982,4525.77979,4393.9502,4399.25,4468023
20170528,4399.25,4437.41992,4218.50977,4237.58984,2117167
20170529,4237.58984,4329.83984,4224.29004,4306.8501,2184668
20170530,4306.8501,4360.0498,4292.81006,4312.04004,1820937
20170531,4312.04004,4350.52979,4287.85986,4310.4502,1325486
20170601,4310.4502,4333.1001,4287.85986,4294.93018,1257846
20170604,4294.93018,4345.64014,4285.77979,4341.83984,916633
20170605,4341.83984,4350.24023,4268.7002,4325.31006,1123876
20170606,4325.31006,4342.66016,4307.97021,4311.68994,846488
20170607,4311.68994,4337.87988,4298.08008,4336.02002,443587
20170608,4336.02002,4336.02002,4258.27002,4270.91992,761231
20170611,4270.91992,4266.91992,4194.81006,4194.81006,1032389
20170612,4194.81006,4231.16016,4185.16016,4202.83008,786675
20170613,4202.83008,4227.66992,4199.06006,4216.83984,608742
20170614,4216.83984,4231.81982,4200.02002,4202.62988,433843
