Date,Open,High,Low,Close,Vol
20170109,4944.58008,5042.75,4869.91016,4921.8999,2984020
20170110,4921.8999,4947.74023,4860.27979,4894.04004,3355280
20170111,4894.04004,4913.31982,4830.24023,4844.91016,2313486
20170112,4844.91016,4916.66992,4802.29004,4815.31006,1085547
20170115,4815.31006,4901.7998,4817.72021,4888.77979,1661569
20170116,4888.77979,4947.58984,4827.66992,4830.08008,7462890
20170117,4830.08008,4896.08008,4791.56006,4883.06006,4717591
20170118,4883.06006,4897.74023,4814.43994,4814.43994,2570108
20170119,4814.43994,4816.8501,4716.83984,4760.16016,2511856
20170122,4760.16016,4849.58008,4701.39014,4834.87012,2211858
20170123,4834.87012,4875.0498,4825.93018,4830.02979,2884958
20170124,4830.02979,4911.14014,4827.62012,4908.72998,1475428
20170125,4908.72998,4928.25,4877.49023,4915.99023,2501161
20170126,4915.99023,4974.87988,4863.72998,4915.95996,1357666
20170129,4915.95996,5012.43994,4856.27979,4992,2895998
20170130,4992,5035.27979,4939.02002,4973.41016,1531788
20170131,4973.41016,4982.60986,4900,4976.81982,1139323
20170201,4976.81982,4984.10986,4927.72021,4951.3501,1747696
20170202,4951.3501,4980.50977,4876.74023,4876.74023,2434572
20170205,4876.74023,4926.58984,4819.72021,4857.25,1104287
20170206,4857.25,4864.47998,4818.02979,4862.06982,882791
20170207,4862.06982,4909.22998,4841.6001,4905.12988,1280642
20170208,4905.12988,4912.35986,4817.04004,4836.52979,1698466
20170209,4836.52979,4879.1499,4817.97998,4858.68994,1213630
20170212,4858.68994,5072.08008,4863.50977,4926.52979,1873051
20170213,4926.52979,4987.87012,4899.58984,4920.77979,906646
20170214,4920.77979,4928.22021,4852.18018,4890.66992,868487
20170215,4890.66992,4925.83984,4868.52002,4913.58008,686483
20170216,4913.58008,5064.87988,4909.47998,5001.14014,1901489
20170219,5001.14014,5008.58008,4950.56982,4989.81006,1204576
20170220,4989.81006,4989.81006,4900.77979,4917.14014,759500
20170221,4917.14014,4917.14014,4846.85986,4899.06006,662762
20170222,4899.06006,4927.72021,4864.91016,4877.18018,854909
20170223,4877.18018,4920.60986,4851.16992,4892.83008,1119809
20170226,4892.83008,4920.33008,4879.58984,4901.52979,1251294
20170227,4901.52979,4914.54004,4830.70996,4830.70996,1023652
20170228,4830.70996,4848.5498,4757.1001,4821.6001,900642
20170301,4821.6001,4841.12988,4764.33008,4807.66992,1113051
20170302,4807.66992,4858.27002,4789.6499,4831.2998,1503124
20170305,4831.2998,4831.2998,4771.58984,4783.85986,674486
20170306,4783.85986,4783.85986,4732.56982,4772.52979,513845
