Date,Open,High,Low,Close,Vol
20170109,4928.3501,4931.91992,4801.1499,4863.49023,3283062
20170110,4863.49023,4911.93994,4801.60986,4851.45996,3116969
20170111,4851.45996,4862.64014,4809.79004,4826.5498,3374678
20170112,4826.5498,4869.58008,4814.49023,4865.4502,2574884
20170115,4865.4502,4943.14014,4866.02002,4936.22021,3259018
20170116,4936.22021,4939.22021,4686.85986,4733.89014,5309403
20170117,4733.89014,4732.2002,4437.12988,4550.24023,4006524
20170118,4550.24023,4551.22998,4437.83008,4445.5498,3751563
20170119,4445.5498,4565.6499,4443.85986,4559.9502,10589796
20170122,4559.9502,4634.68018,4511.29004,4626.62012,10472053
20170123,4626.62012,4675.31982,4613.56006,4648.54004,6510867
20170124,4648.54004,4716.87012,4647.97998,4690.83984,7665077
20170125,4690.83984,4714.43018,4611.18994,4614.18994,5104851
20170126,4614.18994,4659.68018,4566.79004,4586.89014,3574727
20170129,4586.89014,4625.02002,4557.18994,4585.12012,3544790
20170130,4585.12012,4643.25,4574.52002,4587.93018,2864550
20170131,4587.93018,4595.85986,4559.43994,4560.89014,2768694
20170201,4560.89014,4584.4502,4520.20996,4530.16992,2753466
20170202,4530.16992,4562.02979,4525.14014,4540.89014,3046882
20170205,4540.89014,4556.06006,4421.49023,4425.64014,5754830
20170206,4425.64014,4484.08984,4425.08008,4476.93994,2325830
20170207,4476.93994,4521.6499,4433.24023,4479.91016,4693098
20170208,4479.91016,4478.22021,4393.95996,4396.64014,4381693
20170209,4396.64014,4425.68994,4352.5,4419.52979,3520712
20170212,4419.52979,4520.27979,4421.22021,4511.00977,8277696
20170213,4511.00977,4609.3501,4490.56982,4605.77979,15929304
20170214,4605.77979,4605.77979,4546.41992,4549.99023,6600341
20170215,4549.99023,4618.43994,4549.99023,4599.45996,7369437
20170216,4599.45996,4635.10986,4588.64014,4597.24023,4188805
20170219,4597.24023,4613.10986,4555.43994,4559.00977,3222789
20170220,4559.00977,4563.93018,4512.97021,4516.33008,3271637
20170221,4516.33008,4558.50977,4487.12012,4554.93994,5291104
20170222,4554.93994,4588.10986,4505.10986,4514.0498,6516389
20170223,4514.0498,4541.2998,4494.1499,4535.70996,4012755
20170226,4535.70996,4571.91992,4508.8999,4515.91992,3740093
20170227,4515.91992,4533.54004,4460.33008,4469.37988,7334482
20170228,4469.37988,4495.1001,4421.8999,4483.58984,4621766
20170301,4483.58984,4509.22998,4450.74023,4482.75977,9828298
20170302,4482.75977,4553.37012,4482.75977,4547.54004,7818311
20170305,4547.54004,4559.37988,4518.41992,4528.18018,5357702
20170306,4528.18018,4532.31006,4463.33984,4496.93994,5916622
20170307,4496.93994,4536.45996,4495.93994,4521.8501,2739347
20170308,4521.8501,4524.99023,4493.18018,4515.31982,3513082
20170309,4515.31982,4510.81982,4388.50977,4431.2998,7301371
20170312,4431.2998,4430.18018,4322.83984,4333.33984,4564320
20170313,4333.33984,4335.97021,4212.52979,4219.72021,6591052
20170314,4219.72021,4228.77002,4113.12988,4228.77002,5335872
20170315,4228.77002,4289.31982,4227.58008,4284.58008,4218145
20170316,4284.58008,4365.16016,4285.7002,4362.8999,5607689
20170319,4362.8999,4431.10986,4338.45996,4418.08008,4410204
20170320,4418.08008,4422.77979,4373.00977,4385.5498,2318938
20170321,4385.5498,4410.41992,4357.08984,4361.91016,2283482
20170322,4361.91016,4360.22021,4249.74023,4266.52002,3290890
20170323,4266.52002,4330,4266.52002,4293.20996,7230248
20170326,4293.20996,4323.49023,4280.60986,4296.58984,3240574
20170327,4296.58984,4296.58984,4265.14014,4288.4502,2246316
20170328,4288.4502,4320.47998,4278.91992,4303.7998,1875847
20170329,4303.7998,4323.45996,4297.8999,4322.20996,5748068
20170330,4322.20996,4368.5498,4310.91992,4343.52979,4991693
20170402,4343.52979,4381.56006,4337.56006,4354.22998,5264744
20170403,4354.22998,4355.35986,4308.99023,4320.27002,2204684
20170404,4320.27002,4345.02002,4297.1001,4323.72998,2746143
20170405,4323.72998,4387.27979,4324.8501,4363.58008,3914272
20170406,4363.58008,4382.02002,4348.1001,4351.66992,6483222
20170409,4351.66992,4364.31006,4319.7002,4322.08008,2585616
20170410,4322.08008,4352.02979,4314.7998,4333.22998,3233234
20170411,4333.22998,4352.77979,4300.00977,4301.75977,4120954
20170412,4301.75977,4394.43018,4301.75977,4394.43018,10431946
20170413,4394.43018,4461.02979,4384.47021,4407.06006,7389812
20170416,4407.06006,4449.2002,4355.43018,4449.2002,6734693
20170417,4449.2002,4482.49023,4437.91992,4446.14014,6928456
20170418,4446.14014,4462.7002,4332.12988,4339.83984,4625943
20170419,4339.83984,4364.12012,4320.18018,4352.31006,4421259
20170420,4352.31006,4356.4502,4283.99023,4327.37012,4790133
20170423,4327.37012,4405.1499,4329.62012,4371.29004,4811226
20170424,4371.29004,4424.47998,4362.50977,4424.47998,4177634
20170425,4424.47998,4428.0498,4358.27979,4378.4502,2965285
20170426,4378.4502,4382.58008,4362.91016,4373.56982,2890653
20170427,4373.56982,4410.52002,4354.56982,4393.33984,5051264
20170430,4393.33984,4499.10986,4391.6499,4490.1499,16436704
20170501,4490.1499,4507.37012,4472.22998,4501.97998,13335231
20170502,4501.97998,4574.97021,4482.87988,4567.81982,11707672
20170503,4567.81982,4570.16016,4517.93994,4521.50977,6707214
20170504,4521.50977,4565.3501,4493.56006,4536.39014,9906943
20170507,4536.39014,4536.95996,4427.70996,4476.8501,6851128
20170508,4476.8501,4488.25,4425.2002,4482.72021,5952649
20170509,4482.72021,4498.52002,4449.31006,4487.24023,9295895
20170510,4487.24023,4492.68994,4464.75,4488.5498,6556512
20170511,4488.5498,4502.22021,4414.31982,4424.3501,7153090
20170514,4424.3501,4423.22021,4278.24023,4301.60986,1735232
20170515,4301.60986,4300.49023,4213.66016,4266.14014,15450497
20170516,4266.14014,4339.25977,4256.35986,4327.97998,5755384
20170517,4327.97998,4344.87988,4305.06982,4336.1001,2839622
