Date,Open,High,Low,Close,Vol
20070107,5000,5000,5000,5000,11087068
20070108,4995.45996,4995.45996,4995.45996,4995.45996,4237564
20070109,5080.35986,5080.35986,5080.35986,5080.35986,13212754
20070110,4986.39014,4986.39014,4986.39014,4986.39014,8947907
20070113,4789.37012,4789.37012,4789.37012,4789.37012,4361262
20070114,4793.91016,4793.91016,4793.91016,4793.91016,5937462
20070115,4901.49023,4901.49023,4901.49023,4901.49023,7569538
20070116,4883.33984,4883.33984,4883.33984,4883.33984,3044587
20070117,4896.9502,4896.9502,4896.9502,4896.9502,6010807
20070120,4852.87988,4852.87988,4852.87988,4852.87988,11447266
20070121,4983.1499,4983.1499,4983.1499,4983.1499,9486244
20070122,4992.22021,4992.22021,4992.22021,4992.22021,15378958
20070123,4925.47021,4925.47021,4925.47021,4925.47021,11619827
20070124,4817.87988,4817.87988,4817.87988,4817.87988,10887436
20070127,4804.27002,4804.27002,4804.27002,4804.27002,6893267
20070128,4790.66992,4790.66992,4790.66992,4790.66992,14275421
20070129,4754.37012,4754.37012,4754.37012,4754.37012,7287975
20070130,4575.5,4575.5,4575.5,4575.5,6189871
20070131,4754.37012,4754.37012,4754.37012,4754.37012,6198462
20070203,4683.08008,4683.08008,4683.08008,4683.08008,11661531
20070204,4701.22998,4701.22998,4701.22998,4701.22998,8000147
20070205,4674.00977,4674.00977,4674.00977,4674.00977,7688597
20070206,4758.91016,4758.91016,4758.91016,4758.91016,3417372
20070207,4758.91016,4758.91016,4758.91016,4758.91016,4568265
20070210,4763.4502,4763.4502,4763.4502,4763.4502,20599204
20070211,4839.27002,4839.27002,4839.27002,4839.27002,17060072
20070212,4660.3999,4660.3999,4660.3999,4660.3999,4656053
20070213,4749.83984,4749.83984,4749.83984,4749.83984,6218173
20070214,4928.70996,4928.70996,4928.70996,4928.70996,41416560
20070217,4937.77979,4937.77979,4937.77979,4937.77979,25817854
20070218,4951.39014,4951.39014,4951.39014,4951.39014,32204892
20070219,5040.83008,5040.83008,5040.83008,5040.83008,31145068
20070220,4937.77979,4937.77979,4937.77979,4937.77979,11402701
20070221,5125.72998,5125.72998,5125.72998,5125.72998,62264056
20070224,5125.72998,5125.72998,5125.72998,5125.72998,23587232
20070225,5134.7998,5134.7998,5134.7998,5134.7998,40298176
20070226,5134.7998,5134.7998,5134.7998,5134.7998,11356378
20070227,5219.7002,5219.7002,5219.7002,5219.7002,27643426
20070228,5125.72998,5125.72998,5125.72998,5125.72998,10276205
20070303,5416.72021,5416.72021,5416.72021,5416.72021,40151260
20070304,5265.06982,5265.06982,5265.06982,5265.06982,46965060
20070305,5462.08008,5462.08008,5462.08008,5462.08008,34300060
20070306,5877.50977,5877.50977,5877.50977,5877.50977,106546864
20070307,5703.16992,5703.16992,5703.16992,5703.16992,54511064
20070310,5819.83008,5819.83008,5819.83008,5819.83008,39617104
20070311,5546.97998,5546.97998,5546.97998,5546.97998,16774586
20070312,5574.2002,5574.2002,5574.2002,5574.2002,17509200
20070313,5359.04004,5359.04004,5359.04004,5359.04004,12141728
20070314,5386.25977,5386.25977,5386.25977,5386.25977,24605540
20070317,5381.72021,5381.72021,5381.72021,5381.72021,15986423
20070318,5507.4502,5507.4502,5507.4502,5507.4502,24831480
20070319,5605.95996,5605.95996,5605.95996,5605.95996,33093182
20070320,5516.52002,5516.52002,5516.52002,5516.52002,16090349
20070321,5422.5498,5422.5498,5422.5498,5422.5498,14684619
20070324,5390.79004,5390.79004,5390.79004,5390.79004,10286072
20070325,5725.85986,5725.85986,5725.85986,5725.85986,38973100
20070326,5233.31006,5233.31006,5233.31006,5233.31006,44099760
20070327,5018.1499,5018.1499,5018.1499,5018.1499,20184132
20070328,4928.70996,4928.70996,4928.70996,4928.70996,10148793
20070331,4713.54004,4713.54004,4713.54004,4713.54004,11703480
20070401,4830.20996,4830.20996,4830.20996,4830.20996,11511903
20070402,4718.08008,4718.08008,4718.08008,4718.08008,8007592
20070403,4727.16016,4727.16016,4727.16016,4727.16016,11252562
20070404,4812.06006,4812.06006,4812.06006,4812.06006,17200908
20070407,5201.56006,5201.56006,5201.56006,5201.56006,25996032
20070408,4839.29004,4839.29004,4839.29004,4839.29004,24356970
20070409,4825.66992,4825.66992,4825.66992,4825.66992,6965814
20070410,4928.72021,4928.72021,4928.72021,4928.72021,12024134
20070411,4919.64014,4919.64014,4919.64014,4919.64014,7931204
20070414,4812.06006,4812.06006,4812.06006,4812.06006,12395976
20070415,4681.77979,4681.77979,4681.77979,4681.77979,5425367
20070416,4766.66992,4766.66992,4766.66992,4766.66992,4085304
20070417,4672.7002,4672.7002,4672.7002,4672.7002,2931187
20070418,4860.64014,4860.64014,4860.64014,4860.64014,14673935
20070421,4766.66992,4766.66992,4766.66992,4766.66992,13943316
20070422,4592.33984,4592.33984,4592.33984,4592.33984,10210954
20070423,4592.33984,4592.33984,4592.33984,4592.33984,7239364
20070424,4502.91016,4502.91016,4502.91016,4502.91016,5742623
20070425,4596.87988,4596.87988,4596.87988,4596.87988,2319847
20070428,4713.54004,4713.54004,4713.54004,4713.54004,9161413
20070429,4601.41992,4601.41992,4601.41992,4601.41992,9399305
20070430,4610.5,4610.5,4610.5,4610.5,4512420
20070501,4704.47021,4704.47021,4704.47021,4704.47021,5369357
20070502,4615.02979,4615.02979,4615.02979,4615.02979,6666153
20070505,4507.4502,4507.4502,4507.4502,4507.4502,4781040
20070506,4596.87988,4596.87988,4596.87988,4596.87988,1919348
20070507,4516.52002,4516.52002,4516.52002,4516.52002,4083542
20070508,4610.5,4610.5,4610.5,4610.5,3549332
20070509,4521.06006,4521.06006,4521.06006,4521.06006,2663914
20070512,4516.52002,4516.52002,4516.52002,4516.52002,2898533
20070513,4610.5,4610.5,4610.5,4610.5,16319777
20070514,4610.5,4610.5,4610.5,4610.5,7114646
20070515,4628.6499,4628.6499,4628.6499,4628.6499,7863593
20070516,4610.5,4610.5,4610.5,4610.5,5011662
20070519,4619.56982,4619.56982,4619.56982,4619.56982,4672471
20070520,4624.10986,4624.10986,4624.10986,4624.10986,4461714
20070521,4624.10986,4624.10986,4624.10986,4624.10986,3555792
20070522,4642.27002,4642.27002,4642.27002,4642.27002,7110692
20070523,4624.10986,4624.10986,4624.10986,4624.10986,5145088
20070526,4633.18994,4633.18994,4633.18994,4633.18994,4764450
20070527,4534.68018,4534.68018,4534.68018,4534.68018,2249578
20070528,4530.14014,4530.14014,4530.14014,4530.14014,2060530
20070529,4596.87988,4596.87988,4596.87988,4596.87988,5186106
20070530,4525.6001,4525.6001,4525.6001,4525.6001,3230116
20070602,4418.00977,4418.00977,4418.00977,4418.00977,4951082
20070603,4422.5498,4422.5498,4422.5498,4422.5498,2514932
20070604,4413.47998,4413.47998,4413.47998,4413.47998,2391110
20070605,4413.47998,4413.47998,4413.47998,4413.47998,1484704
20070606,4413.47998,4413.47998,4413.47998,4413.47998,1504840
20070609,4422.5498,4422.5498,4422.5498,4422.5498,2288131
20070610,4422.5498,4422.5498,4422.5498,4422.5498,1826126
20070611,4404.3999,4404.3999,4404.3999,4404.3999,5575988
20070612,4310.43018,4310.43018,4310.43018,4310.43018,2034115
20070613,4310.43018,4310.43018,4310.43018,4310.43018,1841886
20070616,4287.72998,4287.72998,4287.72998,4287.72998,3251257
20070617,4287.72998,4287.72998,4287.72998,4287.72998,3771551
20070618,4278.66016,4278.66016,4278.66016,4278.66016,2646245
20070619,4278.66016,4278.66016,4278.66016,4278.66016,2155938
20070620,4278.66016,4278.66016,4278.66016,4278.66016,1845299
20070623,4283.2002,4283.2002,4283.2002,4283.2002,2553174
20070624,4377.16992,4377.16992,4377.16992,4377.16992,1876389
20070625,4283.2002,4283.2002,4283.2002,4283.2002,1566245
20070626,4363.5498,4363.5498,4363.5498,4363.5498,1959910
20070627,4274.12012,4274.12012,4274.12012,4274.12012,1699761
20070630,4359.00977,4359.00977,4359.00977,4359.00977,1667984
20070701,4354.49023,4354.49023,4354.49023,4354.49023,1198308
