Date,Open,High,Low,Close,Vol
20170109,4980.5,4982.83008,4885.18994,4906.00977,23032880
20170110,4906.00977,4906.6499,4832.93994,4845.31006,26468576
20170111,4845.31006,4852.14014,4776.58008,4778.77979,23336268
20170112,4778.77979,4818.75977,4769.75977,4796.22021,12712818
20170115,4796.22021,4820.16992,4774.24023,4797.93994,7082183
20170116,4797.93994,4799.75977,4695.87988,4707.95996,7390631
20170117,4707.95996,4738.56982,4637.22998,4722.47021,7824687
20170118,4722.47021,4716,4669.6001,4679.39014,6856020
20170119,4679.39014,4679.39014,4636.31982,4651.9502,5081862
20170122,4651.9502,4681.89014,4498.47998,4619.52979,9412704
20170123,4619.52979,4721.58008,4619.52979,4721.58008,6444066
20170124,4721.58008,4826.3999,4713.62988,4816.58008,10402260
20170125,4816.58008,4836.56982,4769.81006,4790.8501,6072969
20170126,4790.8501,4825.5,4785.29004,4825.08984,8310824
20170129,4825.08984,4844.58984,4789.12012,4844.47998,5199579
20170130,4844.47998,4847.56006,4794.00977,4795.62012,6159346
20170131,4795.62012,4811.7998,4773.8999,4807.4502,4595984
20170201,4807.4502,4810.33008,4781.62988,4804.97998,4636443
20170202,4804.97998,4812.62012,4791.68018,4799.20996,6552153
20170205,4799.20996,4805.06006,4753.5,4770.1499,5106426
20170206,4770.1499,4782.72998,4747.33984,4777.4502,7904023
20170207,4777.4502,4779.6499,4732.58008,4749.08984,8143330
20170208,4749.08984,4749.6001,4691.8501,4743.25,6959379
20170209,4743.25,4751.81982,4705.2002,4746.81982,3661703
20170212,4746.81982,4796.91016,4746.54004,4792.37012,6034082
20170213,4792.37012,4861.02979,4758.41992,4814.2002,10706628
20170214,4814.2002,4859.62988,4807.02002,4843.41016,12114084
20170215,4843.41016,4854.62012,4836.0498,4845.37012,8177238
20170216,4845.37012,4865.91992,4822.16016,4854.8501,5091700
20170219,4854.8501,4903.70996,4863.83008,4877.62988,5986149
20170220,4877.62988,4892.18994,4845.75977,4855.6499,15960617
20170221,4855.6499,4855.87988,4806.9502,4831.24023,17016556
20170222,4831.24023,4849.72998,4796.06982,4796.81006,12024875
20170223,4796.81006,4822.3501,4769.27979,4776.8501,9085717
20170226,4776.8501,4802.95996,4775.8501,4796.35986,8253507
20170227,4796.35986,4803.0498,4755.49023,4768.41992,9166217
20170228,4768.41992,4768.41992,4729.18018,4750.27002,7660279
20170301,4750.27002,4793.33008,4750.1499,4772.08984,8642050
