Date,Open,High,Low,Close,Vol
20170109,5000.68994,5004.85986,4909.1499,4935.5,1573356
20170110,4935.5,4946.2002,4893.2998,4900.29004,1202413
20170111,4900.29004,4912.6499,4794.8501,4797.75,1318943
20170112,4797.75,4848.06006,4794.97998,4837.58008,1462972
20170115,4837.58008,4862.66016,4836,4860.68018,812782
20170116,4860.68018,4862.66016,4763.47998,4770.79004,933162
20170117,4770.79004,4770.22998,4701.3999,4754.2002,1951672
20170118,4754.2002,4882.18994,4743.56006,4814.66016,1932083
20170119,4814.66016,4941.45996,4856.18018,4922.60986,1829971
20170122,4922.60986,4962.2998,4892.10986,4955.27002,1414502
20170123,4955.27002,5038.81006,4955.27002,5010.31982,1644788
20170124,5010.31982,5172.18994,5008.77002,5150.27979,1471319
20170125,5150.27979,5176.56006,5143.49023,5172.77979,1412954
20170126,5172.77979,5381.75977,5172.77979,5243.58008,1680016
20170129,5243.58008,5290.02979,5209.60986,5238.10986,1330701
20170130,5238.10986,5238.10986,5169,5170.18994,1116983
20170131,5170.18994,5165.1001,5099.95996,5101.66016,1127264
20170201,5101.66016,5233.8501,5059.81982,5230.31006,4287042
20170202,5230.31006,5240.62988,5198.52979,5206.62988,4541017
20170205,5206.62988,5244.08008,5199.31982,5209.97021,1810935
20170206,5209.97021,5218.2998,5158.75977,5186.00977,876810
20170207,5186.00977,5190.74023,5129.7998,5136.5498,553718
20170208,5136.5498,5170.0498,5103.6001,5156.24023,1379263
20170209,5156.24023,5170.24023,5115.06982,5119.83008,989950
20170212,5119.83008,5277.33008,5119.83008,5277.12988,3886868
20170213,5277.12988,5280.8999,5198.68018,5266.27979,2024304
20170214,5266.27979,5286.62012,5205.37988,5231.91016,1478053
20170215,5231.91016,5283.04004,5214.27979,5259.22021,895339
20170216,5259.22021,5282.31982,5236.8999,5236.8999,943695
20170219,5236.8999,5347.72021,5236.8999,5312.93994,4503604
20170220,5312.93994,5336.93994,5243.83984,5249.91992,8103559
20170221,5249.91992,5329.41992,5165.02002,5203.2998,2835061
20170222,5203.2998,5252.3999,5188.16016,5189.16016,2949458
20170223,5189.16016,5201.43018,5164.81982,5175.56982,1365355
20170226,5175.56982,5188.35986,5152.64014,5155.60986,945522
20170227,5155.60986,5168.43994,5064.83984,5067.37988,1911821
20170228,5067.37988,5167.04004,5056.50977,5159.56982,1513035
20170301,5159.56982,5170.43018,5095.91992,5133.85986,1822408
20170302,5133.85986,5187.1499,5133.85986,5142.00977,2080073
20170305,5142.00977,5163.35986,5121.0498,5121.0498,3206369
20170306,5121.0498,5145.06006,5087.31006,5142.81006,4725939
20170307,5142.81006,5208.27002,5142.81006,5203.43018,1022016
20170308,5203.43018,5203.43018,5130.18018,5165.27002,1162873
20170309,5165.27002,5165.27002,5085.83984,5141.66992,2169871
20170312,5141.66992,5161.49023,5097.91992,5119.52979,900842
20170313,5119.52979,5189.97021,5112.58008,5120.43994,1384910
20170314,5120.43994,5133.58984,5020.8501,5114.66016,896837
20170315,5114.66016,5127.31982,5068.8999,5075.18018,2392885
20170316,5075.18018,5226.79004,5075.18018,5162.52979,2437733
20170319,5162.52979,5166.1001,5118.06006,5121.6001,1052136
20170320,5121.6001,5183.2002,5110.95996,5162.12012,872434
20170321,5162.12012,5233.02979,5160.93018,5233.02979,2750480
20170322,5233.02979,5235.56982,5157.02002,5157.56982,1561105
20170323,5157.56982,5298.77002,5157.56982,5204.45996,1510547
20170326,5204.45996,5259.16992,5204.45996,5240.64014,1651159
20170327,5240.64014,5283.7002,5217.2998,5224.81982,2332959
20170328,5224.81982,5349.68018,5223.87012,5287.27979,1532992
20170329,5287.27979,5433.83984,5287.27979,5404.97998,1044729
20170330,5404.97998,5496.5498,5404.97998,5442.62988,1546298
20170402,5442.62988,5451.27002,5330.29004,5330.29004,1126319
20170403,5330.29004,5385.52002,5346.68994,5348.00977,782046
20170404,5348.00977,5358.93994,5311.5,5316.79004,988910
20170405,5316.79004,5363.68018,5316.79004,5330.87988,1717297
20170406,5330.87988,5348.58008,5323.93018,5331.7002,1169997
20170409,5331.7002,5339.41992,5275.87012,5282.6001,1691526
20170410,5282.6001,5373.27979,5280.29004,5366.22998,3658836
20170411,5366.22998,5387.27979,5300.6001,5310.56006,2991975
20170412,5310.56006,5383.1001,5309,5331.47021,2471355
20170413,5331.47021,5400.2002,5323.58984,5366.60986,1648665
20170416,5366.60986,5367.6001,5279.35986,5329.27979,910548
20170417,5329.27979,5336.56006,5315.70996,5317.68994,781149
20170418,5317.68994,5328.08008,5278.58008,5278.58008,593542
20170419,5278.58008,5278.58008,5221.3501,5262.66016,595454
20170420,5262.66016,5266.24023,5146.41992,5158.14014,974156
20170423,5158.14014,5420.72021,5210.74023,5416.75,2209064
20170424,5416.75,5419.2998,5356.0498,5384.3999,983271
20170425,5384.3999,5386.9502,5281.66016,5318.31006,853336
20170426,5318.31006,5329.93018,5235.77979,5259.52979,1239651
20170427,5259.52979,5279.91992,5251.22021,5255.16016,988297
20170430,5255.16016,5287.70996,5250.62012,5255.18994,1056894
20170501,5255.18994,5300.29004,5257.91016,5259.1001,772046
20170502,5259.1001,5260.08984,5196.66992,5196.66992,524484
20170503,5196.66992,5218.2002,5196.66992,5204.31982,1400787
20170504,5204.31982,5204.31982,5092.37988,5110.3999,815654
20170507,5110.3999,5133.45996,5085.04004,5092.58984,625987
20170508,5092.58984,5097.31982,5011.95996,5072.10986,456016
20170509,5072.10986,5144.22998,5066.81982,5109.52979,508323
20170510,5109.52979,5125.56982,5106.54004,5123.37988,520442
20170511,5123.37988,5123.37988,5083.83008,5086.20996,757786
20170514,5086.20996,5144.75,5078.14014,5119.68018,2432622
20170515,5119.68018,5171.72021,5117.68994,5156.4502,2826224
20170516,5156.4502,5180.8999,5143.37988,5177.33008,1317835
20170517,5177.33008,5237.91016,5155.41992,5232.81006,1452408
20170518,5232.81006,5240.97998,5194.33008,5194.33008,2661262
20170521,5194.33008,5258.70996,5194.33008,5248.9502,824753
20170522,5248.9502,5262.6499,5166.00977,5195.1499,470199
20170523,5195.1499,5197.7002,5100.81006,5171.43994,422967
20170524,5171.43994,5195.83984,5151.95996,5164.33008,720447
20170525,5164.33008,5163.27979,5123.29004,5125.83984,355426
20170528,5125.83984,5125.83984,5035.02002,5059.22021,507419
20170529,5059.22021,5122.02979,5033.12988,5114.52002,1122509
20170530,5114.52002,5213.16992,5114.52002,5169.81006,1266750
20170531,5169.81006,5176.56006,5114.35986,5116.3501,631072
20170601,5116.3501,5146.83984,5073.0498,5073.0498,1315117
20170604,5073.0498,5093.31982,5047.97021,5092.43018,2391754
20170605,5092.43018,5092.02002,5012.54004,5090.75,1179515
20170606,5090.75,5091.93994,5053.35986,5057.33008,642001
20170607,5057.33008,5131.77979,5056.14014,5119.02979,400187
20170608,5119.02979,5119.02979,5065.10986,5070.39014,415002
20170611,5070.39014,5071.2998,4994.25,5023.20996,546902
20170612,5023.20996,5036.39014,4981.97998,5018.97021,588477
20170613,5018.97021,5103.83008,5018.97021,5103.83008,468798
20170614,5103.83008,5110.9502,5022.18018,5093.74023,489657
20170615,5093.74023,5094.93994,4996.58008,4998.87988,373294
20170618,4998.87988,5006.31006,4981.62012,5001.74023,373676
20170619,5001.74023,5197.6499,4994.77979,5191.72021,612594
20170620,5191.72021,5220.27979,5066.41992,5082.8999,716585
20170621,5082.8999,5421.0498,5093.18994,5374.20996,1106703
20170622,5374.20996,5514.72998,5374.20996,5455.27979,652657
20170702,5455.27979,5510.95996,5279.97021,5456.91016,970566
20170703,5456.91016,5467.93018,5384,5416.47998,1090709
20170704,5416.47998,5474.6499,5377.08984,5407,2160358
20170705,5407,5426.83984,5395.45996,5426.43994,854508
20170706,5426.43994,5457.91016,5402.39014,5431.91016,406659
20170709,5431.91016,5533.68994,5431.91016,5529.06006,1927355
20170710,5529.06006,5553.3501,5475.56006,5551.47021,1693359
20170711,5551.47021,5593.27002,5513.62012,5558.3501,1093421
20170712,5558.3501,5764.91016,5540.87012,5696.7998,1286958
20170713,5696.7998,5854.52979,5696.7998,5760.50977,1448119
20170716,5760.50977,5880.87012,5758.10986,5854.5,2084411
20170717,5854.5,5864.87012,5744.33008,5759.87012,1143756
20170718,5759.87012,5766.41016,5728.02002,5744.79004,558772
20170719,5744.79004,5755.56006,5620.62012,5656.41016,457327
20170720,5656.41016,5792.18018,5656.41016,5787.58984,883695
20170723,5787.58984,5811.91992,5738.60986,5758.25977,1419371
20170724,5758.25977,5761.41992,5635.47021,5675.39014,1091284
20170725,5675.39014,5691.83008,5637.77002,5637.77002,604544
20170726,5637.77002,5659.14014,5577.97021,5644.68018,1102749
20170727,5644.68018,5651.43018,5570.43018,5628.1499,699273
20170730,5628.1499,5654.83984,5570.81006,5606.66992,481308
20170731,5606.66992,5677.5,5606.66992,5674.91016,2655928
20170801,5674.91016,5682.29004,5627.3501,5627.3501,987178
20170802,5627.3501,5666.47998,5618.47021,5631.12012,931405
20170803,5631.12012,5837.81982,5631.12012,5837.37988,768924
20170806,5837.37988,5911.72021,5829.3999,5867.6001,1565044
20170807,5867.6001,5934.93018,5856.50977,5903.87988,1994006
20170808,5903.87988,5914.56982,5852.41016,5856.16016,4527926
20170809,5856.16016,5856.16016,5802.62988,5814.45996,3361475
20170810,5814.45996,5843.00977,5788.18994,5795.16016,2535157
20170813,5795.16016,5883.6001,5777.60986,5844.6001,1507893
20170814,5844.6001,5859.56006,5701.99023,5773.22998,1140654
20170815,5773.22998,5837.89014,5763.95996,5775.52002,1263698
20170816,5775.52002,5848.08984,5762.83984,5762.83984,529526
20170817,5762.83984,5828.0498,5761.6499,5791.5,1018339
20170820,5791.5,5870.5,5791.5,5870.5,819500
20170821,5870.5,5915.02002,5865.04004,5912.74023,623659
20170822,5912.74023,5917.12988,5893.0498,5912.87012,838621
20170823,5912.87012,5923.99023,5846.27002,5846.87012,666239
20170824,5846.87012,5835.7002,5803.02979,5803.43018,718143
20170827,5803.43018,5850.62012,5776.20996,5797.1001,368449
20170828,5797.1001,5797.1001,5765.4502,5790.47998,596241
20170829,5790.47998,5794.27002,5728.35986,5732.41016,1380669
20170906,5732.41016,5816.6499,5732.41016,5765.27002,736678
20170907,5765.27002,5767.14014,5738.70996,5752.72998,801603
20170910,5752.72998,5772.33984,5752.72998,5757.31982,960780
20170911,5757.31982,5775.97021,5745.2002,5751.91016,550676
20170912,5751.91016,5762.8999,5735.8501,5740.16016,809788
20170913,5740.16016,5745.62012,5729.22998,5730.18994,367055
20170914,5730.18994,5813.47998,5727.04004,5813.47998,402422
20170917,5813.47998,5883.52002,5769.89014,5771.29004,393436
20170918,5771.29004,5782.83984,5754.43994,5768.74023,590889
20170919,5768.74023,5803.81982,5718.77979,5726.6001,1059777
20170920,5726.6001,5743.08008,5718.8999,5723.29004,829007
20170921,5723.29004,5754.3999,5723.29004,5750.81982,480892
20170925,5750.81982,5752.49023,5633.1001,5707.60986,403961
20170926,5707.60986,5771.5498,5685.6001,5701.27002,464900
20170927,5701.27002,5722.27979,5650.43994,5721.2002,686384
20170928,5721.2002,5726.22998,5687.4502,5693.3999,461734
20171001,5693.3999,5709.93018,5643.16992,5690.00977,378891
20171002,5690.00977,5761.33984,5687.06006,5761.14014,374417
20171003,5761.14014,5679.3501,5617,5654.29004,511740
20171004,5654.29004,5731.41016,5648.97998,5727.47998,403226
20171005,5727.47998,5727.47998,5654.45996,5658.89014,782542
20171008,5658.89014,5670.66016,5621.2998,5632.24023,1118554
20171009,5632.24023,5644.33984,5615.97998,5626.74023,828191
20171010,5626.74023,5635.22998,5578.20996,5578.20996,719985
20171011,5578.20996,5611.9502,5487.0498,5507.68994,583126
20171012,5507.68994,5537.62988,5473.24023,5537.02979,784380
20171015,5537.02979,5547.49023,5486.00977,5495.93018,457349
20171016,5495.93018,5497.91016,5468.47998,5487.43994,518663
20171017,5487.43994,5496.72998,5450.41992,5461.10986,660376
20171018,5461.10986,5476.27002,5382.75977,5415.79004,839644
20171019,5415.79004,5445.89014,5413.91016,5415.70996,267581
20171022,5415.70996,5491.81982,5413.04004,5461.24023,255174
20171023,5461.24023,5465.06982,5365.89014,5387.22998,275281
20171024,5387.22998,5455.52979,5375.14014,5455.52979,332925
20171025,5455.52979,5528.47021,5444.56982,5499.06006,274443
20171026,5499.06006,5499.06006,5443.31006,5471.93018,227342
20171029,5471.93018,5501.08984,5432.29004,5497.52979,212697
20171030,5497.52979,5557.25977,5491.31006,5540.54004,363986
20171031,5540.54004,5540.54004,5533.33984,5533.4502,199215
20171101,5533.4502,5575.47998,5443.18018,5457.49023,301436
20171102,5457.49023,5577.41016,5446.14014,5567.18994,566790
20171105,5567.18994,5567.18994,5448.60986,5510.02979,366340
20171106,5510.02979,5512.22021,5418.5,5483.10986,315148
20171107,5483.10986,5521.50977,5404.64014,5489.9502,959580
20171108,5489.9502,5489.9502,5337.33984,5406.60986,404226
20171109,5406.60986,5406.60986,5323.97998,5339.00977,1014865
20171112,5339.00977,5407.00977,5346.56006,5383.39014,493400
20171113,5383.39014,5394.20996,5353.3999,5394.20996,298476
20171114,5394.20996,5434.2998,5391.99023,5424.58008,769839
20171115,5424.58008,5461.06006,5424.58008,5429.2002,929032
20171116,5429.2002,5452.72998,5406.56006,5412.2002,3612567
20171119,5412.2002,5469.33008,5403.91016,5446.70996,1966613
20171120,5446.70996,5462.39014,5326.66016,5367.5,1566449
20171121,5367.5,5487.9502,5355.81982,5464.49023,732135
20171122,5464.49023,5478.58008,5410.58008,5416.60986,429339
20171123,5416.60986,5446.18018,5407.45996,5444.79004,856020
20171126,5444.79004,5476.2002,5420.25977,5420.25977,816084
20171127,5420.25977,5522.93018,5420.25977,5517.56982,3402505
20171128,5517.56982,5526.74023,5455.72021,5515.35986,1126010
20171129,5515.35986,5600.89014,5468.0498,5582.52002,1924778
20171130,5582.52002,5637.2002,5572.45996,5637.2002,777600
20171203,5637.2002,5749.02002,5637.2002,5724.16016,1578071
20171204,5724.16016,5771.25977,5720.37012,5744.74023,1403714
20171205,5744.74023,5744.74023,5638.50977,5658.45996,796415
20171206,5658.45996,5663.52979,5612.81006,5612.81006,615049
20171207,5612.81006,5645.8999,5597.50977,5607.1499,507803
20171210,5607.1499,5647.58984,5579.22998,5619,1300340
20171211,5619,5654.33008,5619,5629.50977,3632550
20171212,5629.50977,5632.2998,5575.75,5584.33008,680400
20171213,5584.33008,5587.31006,5529.39014,5531.39014,1188909
20171214,5531.39014,5509.5498,5436.74023,5476.83984,3784953
20171217,5476.83984,5524.52002,5476.83984,5499.77979,3263068
20171218,5499.77979,5512.70996,5491.1001,5496.31006,1273762
20171219,5496.31006,5527.68018,5451.06006,5457.22998,1458753
20171220,5457.22998,5504.22021,5455.62988,5487.43018,1847246
20171221,5487.43018,5503.49023,5480,5487.22998,1373500
20171224,5487.22998,5522.33984,5481.2002,5519.5498,543931
20171225,5519.5498,5520.75,5482.58984,5499.75,1695318
20171226,5499.75,5547.41016,5483.52979,5539.8999,717534
20171227,5539.8999,5650.66016,5534.75977,5589.25977,741043
20171228,5589.25977,5646.22021,5580.04004,5646.22021,540971
20171231,5646.22021,5649.00977,5579.66992,5610.27002,716645
20180101,5610.27002,5610.27002,5505.33984,5511.16992,526733
20180102,5511.16992,5588.00977,5511.16992,5544.14014,371732
20180103,5544.14014,5546.12988,5522.58008,5532.3501,514471
20180104,5532.3501,5595.93994,5528.9502,5589.00977,1473712
20180107,5589.00977,5655.41992,5589.00977,5597.83984,885848
20180108,5597.83984,5643.99023,5587.56006,5619.29004,494434
20180109,5619.29004,5668.16016,5610.91016,5637.79004,349942
20180110,5637.79004,5656.56982,5577.50977,5646.27002,762774
20180111,5646.27002,5663.93018,5614.83008,5649.2998,550919
20180114,5649.2998,5654.33008,5603.20996,5607.12012,613041
20180115,5607.12012,5680.02002,5605.12988,5618.3501,740353
20180116,5618.3501,5684.72021,5618.3501,5683.5,918337
20180117,5683.5,5689.47021,5566.60986,5588.99023,1344313
20180118,5588.99023,5625.22021,5579.37988,5584.1499,1166163
20180121,5584.1499,5598.62012,5558.97021,5564.7002,1426162
20180122,5564.7002,5597.68994,5558.54004,5577.33984,761688
20180123,5577.33984,5578.12988,5545.52979,5563.72998,374402
20180124,5563.72998,5567.6001,5539.18994,5543.31006,555260
20180125,5543.31006,5565.81006,5542.5498,5561.97021,324476
20180128,5561.97021,5572.3501,5531.83008,5572.12012,429382
20180129,5572.12012,5584.75,5570.1001,5577.95996,1765690
20180130,5577.95996,5605.93994,5573.77979,5575.31006,2161102
20180131,5575.31006,5594.6499,5568.52002,5579.2002,732802
20180201,5579.2002,5599.77979,5572.91992,5578.3999,1073995
20180204,5578.3999,5580.52979,5546.6001,5548.72998,448740
20180205,5548.72998,5585.14014,5528.72998,5529.22021,922024
20180206,5529.22021,5858.8999,5602.77002,5616.14014,1209469
20180207,5616.14014,5918.02002,5598.37012,5832.91016,1332870
20180208,5832.91016,6039.18018,5819.5498,5854.5498,847618
20180211,5854.5498,5858.93994,5768.18018,5808.62012,452381
20180212,5808.62012,5859.43018,5782.7998,5819.27979,665316
20180213,5819.27979,6197.43994,5819.27979,6027.1499,450221
20180214,6027.1499,6164.25977,6000.58008,6000.58008,615639
20180215,6000.58008,6168.70996,6014.58984,6083.43994,1834397
20180218,6083.43994,6250.93994,6060.81982,6209.18994,767898
20180219,6209.18994,6398.54004,6209.18994,6325.81006,1716522
20180220,6325.81006,6401.43994,6313.41992,6365.50977,2883846
20180221,6365.50977,6403.22021,6315.41016,6315.41016,1603151
20180222,6315.41016,6320.31006,6233.41016,6269.77002,1506377
20180225,6269.77002,6312.16992,6269.77002,6288.56982,1528728
20180226,6288.56982,6358.8501,6273.33008,6276.68018,1291296
20180227,6276.68018,6336.47998,6273.04004,6307.50977,552798
20180228,6307.50977,6538.50977,6232.50977,6443.99023,576831
20180301,6443.99023,6688.75,6436.37988,6581.37012,654181
20180304,6581.37012,6752.5,6581.37012,6638.3999,1431535
20180305,6638.3999,6918.52002,6578.81982,6918.52002,1035802
20180306,6918.52002,7145.52002,6782.95996,6870.58984,1563774
20180307,6870.58984,6967.39014,6784.18018,6944.7998,708583
20180308,6944.7998,6963.41992,6818.68018,6840.2998,715492
20180311,6840.2998,6916.22021,6741.77979,6805.04004,599193
20180312,6805.04004,6874.29004,6615.04004,6783.70996,963613
20180313,6783.70996,6937.97021,6801.79004,6918.85986,2400868
20180314,6918.85986,6978.1001,6885.41016,6963.2002,2125622
20180315,6963.2002,6977.62012,6809.41016,6851.04004,2043595
20180318,6851.04004,6909.22021,6752.81006,6754.75977,753666
20180319,6754.75977,6827.56006,6726.08008,6790.81982,543280
20180320,6790.81982,6954.49023,6796.02979,6863.49023,852206
