Date,Open,High,Low,Close,Vol
20170109,4963.56006,4961.77002,4873.97998,4890.02002,235286
20170110,4890.02002,4895.58008,4831.83008,4847,543699
20170111,4847,4854.77979,4770.60986,4780.33008,532348
20170112,4780.33008,4836.7998,4774.02979,4836.7998,417660
20170115,4836.7998,4850.02002,4813.12012,4816.33984,347845
20170116,4816.33984,4816.33984,4731.25,4785.97021,331824
20170117,4785.97021,4856.27002,4759.02002,4856.27002,292751
20170118,4856.27002,4937.7998,4800.81006,4856.08008,760433
20170119,4856.08008,4911.95996,4823.58984,4843.8501,564731
20170122,4843.8501,4843.8501,4654.22998,4670.93018,1672720
20170123,4670.93018,4703.06982,4636.10986,4677.70996,1912355
20170124,4677.70996,4800.25977,4682.72998,4770.37012,1488110
20170125,4770.37012,4841.43018,4762.12988,4829.24023,859589
20170126,4829.24023,4850.12012,4777.5,4780.91016,897077
20170129,4780.91016,4818.93994,4762.41016,4815.70996,739212
20170130,4815.70996,4822.00977,4764.33008,4767.56006,747864
20170131,4767.56006,4770.62012,4728.64014,4732.8501,830874
20170201,4732.8501,4766.60986,4726.87988,4749.68018,644660
20170202,4749.68018,4770.16016,4733.8999,4766.02979,1022432
20170205,4766.02979,4783.64014,4710.6001,4710.77002,710351
20170206,4710.77002,4723.89014,4690.75,4701.43994,514860
20170207,4701.43994,4710.79004,4656.0498,4659.56982,299984
20170208,4659.56982,4659.56982,4573.58008,4576.58984,472427
20170209,4576.58984,4581.4502,4550.52002,4560.83008,734544
20170212,4560.83008,4638.83008,4560.83008,4635.58984,860786
20170213,4635.58984,4697.66992,4646.18018,4691.20996,881326
20170214,4691.20996,4697.66992,4661.0498,4667.08008,796028
20170215,4667.08008,4752.25,4654.47998,4746.16992,467110
20170216,4746.16992,4764.72021,4712.20996,4715.4502,736089
20170219,4715.4502,4783.62988,4715.43994,4778.56982,506000
20170220,4778.56982,4778.56982,4694.81006,4713.1001,745355
20170221,4713.1001,4714.5498,4667.89014,4687.62988,247876
20170222,4687.62988,4707,4647.79004,4655.70996,708066
20170223,4655.70996,4717.41992,4641.83008,4662.5498,783418
20170226,4662.5498,4725.06982,4662.5498,4697.31982,428701
20170227,4697.31982,4700.22021,4668.9502,4673.7998,528736
20170228,4673.7998,4681.02979,4633.58008,4672.02979,411180
20170301,4672.02979,4725.18018,4674.31006,4686.41016,276825
20170302,4686.41016,4732.62012,4688.91992,4730.72021,389613
20170305,4730.72021,4740.43018,4694.77002,4694.77002,324423
20170306,4694.77002,4729.99023,4681.60986,4723.41016,608694
20170307,4723.41016,4796.7002,4720.3501,4788.37988,2292039
20170308,4788.37988,4825.62988,4779.81982,4802.68018,1084657
20170309,4802.68018,4950.7002,4779.75977,4790.52002,713632
20170312,4790.52002,4790.52002,4692.06982,4695.9502,475743
20170313,4695.9502,4767.64014,4670.93994,4721.83008,671686
20170314,4721.83008,4705.02979,4643.7998,4694.64014,642490
20170315,4694.64014,4718.1001,4694.64014,4706.91016,1032385
20170316,4706.91016,4848.87012,4706.91016,4805.49023,1869852
20170319,4805.49023,4830,4788.3501,4798.18994,561580
20170320,4798.18994,4815.47021,4773.04004,4789.66992,496304
20170321,4789.66992,4866.85986,4792.33008,4837.74023,1582867
20170322,4837.74023,4825.2002,4738.3999,4752.22998,650286
20170323,4752.22998,4795.60986,4749.12012,4769.4502,446588
20170326,4769.4502,4849.43994,4769.4502,4821.79004,1469633
20170327,4821.79004,4896.72021,4795.08984,4891.87012,1657735
20170328,4891.87012,4925.64014,4867.60986,4877.35986,1857967
20170329,4877.35986,4945.50977,4876.5,4888.37012,1138696
20170330,4888.37012,4907.37988,4869.83984,4887.68994,841842
20170402,4887.68994,4902.25977,4853.31006,4867.85986,769471
20170403,4867.85986,4914.72021,4877.3999,4880.62988,847471
20170404,4880.62988,4926.89014,4861.18994,4909.24023,642925
20170405,4909.24023,4941.72021,4904.56982,4933.50977,1071575
20170406,4933.50977,5013.70996,4925.41992,4998.77979,2765983
20170409,4998.77979,5033.10986,4993.12988,5002.31982,1854974
20170410,5002.31982,5070.93018,4992.95996,5015.04004,888202
20170411,5015.04004,5093.60986,5011.81006,5044.18994,1682160
20170412,5044.18994,5090.95996,5044.18994,5074.1499,701629
20170413,5074.1499,5146.27979,5066.62988,5093.16992,601289
20170416,5093.16992,5135.47021,5043.9502,5061.70996,848278
20170417,5061.70996,5084.56982,5046.81982,5074.18018,476499
20170418,5074.18018,5074.3501,4993.49023,4996.37012,708652
20170419,4996.37012,5003.83984,4960.5498,4976.22998,583234
20170420,4976.22998,4971.39014,4917.35986,4928.66992,444260
20170423,4928.66992,5002.12988,4918.00977,4947.1499,581830
20170424,4947.1499,4955.56982,4893.16016,4955.56982,475193
20170425,4955.56982,4955.56982,4910.50977,4921.91992,254977
20170426,4921.91992,4931.0498,4871.54004,4884.9502,311927
20170427,4884.9502,4912.6499,4858.66016,4899.22998,375672
20170430,4899.22998,5074.22021,4928.72998,5048.93994,933229
20170501,5048.93994,5134.45996,5048.93994,5101.91016,1332376
20170502,5101.91016,5123.93994,5044.91016,5051.08008,921976
20170503,5051.08008,5051.08008,4980.95996,4996,515228
20170504,4996,5008.52979,4950.62988,4984.8501,469366
20170507,4984.8501,4991.33984,4935.08984,4935.08984,738668
20170508,4935.08984,5012.79004,4948.24023,5012.79004,649028
20170509,5012.79004,5062.33008,4998.79004,5051.04004,931058
20170510,5051.04004,5058.79004,5026.72021,5033.18994,281829
20170511,5033.18994,5032.16016,4903.7002,4933.16016,1125692
20170514,4933.16016,4933.16016,4871.54004,4879.93018,840183
20170515,4879.93018,4902.27979,4878.22998,4880.83008,412747
20170516,4880.83008,4931.70996,4878.08984,4930.41016,626038
20170517,4930.41016,4972.04004,4900.52002,4972.04004,605570
20170518,4972.04004,4972.04004,4908.97998,4919.56006,525541
20170521,4919.56006,4960.70996,4890.06006,4938.7002,678868
20170522,4938.7002,4951.95996,4918.35986,4918.35986,652757
20170523,4918.35986,4899.7002,4846.58984,4863.2002,1018922
20170524,4863.2002,4867.1001,4764.83984,4764.83984,609129
20170525,4764.83984,4822.1001,4756.58984,4808.37012,737192
20170528,4808.37012,4828.83008,4742.91992,4787.3501,923061
20170529,4787.3501,4854.93994,4766.6499,4847.27979,608207
20170530,4847.27979,4872.58008,4844.85986,4844.85986,467697
20170531,4844.85986,4874.85986,4844.85986,4873.25,400533
20170601,4873.25,4904.0498,4857.2998,4872.31982,262492
20170604,4872.31982,4872.31982,4818,4818,455186
20170605,4818,4860.31982,4798.1001,4855.3501,750321
20170606,4855.3501,4891.68018,4792.18018,4888.58008,642213
20170607,4888.58008,4913.3501,4882.56006,4908.75977,489580
20170608,4908.75977,4920.79004,4841.33008,4848.3999,545173
20170611,4848.3999,4822.33008,4745.97021,4771.75,407384
20170612,4771.75,4803.41016,4749.25,4778.83008,284145
20170613,4778.83008,4818.49023,4778.83008,4805.83008,919247
20170614,4805.83008,4816.5498,4783.3501,4786.50977,815900
20170615,4786.50977,4790.91992,4742.33984,4751.47998,661253
20170618,4751.47998,4757.27979,4720.31982,4755.97998,827577
20170619,4755.97998,4791.06006,4742.52002,4755.12988,635751
20170620,4755.12988,4792.93018,4704.27002,4722.72998,960236
20170621,4722.72998,4964.31982,4722.72998,4951.64014,1978825
20170622,4951.64014,5140.41992,4915.91016,5079.62012,1638239
20170702,5079.62012,5165.02002,5085.12012,5097.58984,690688
20170703,5097.58984,5097.58984,4965.75977,4986.06006,463442
20170704,4986.06006,4992.52979,4877.99023,4887.35986,298353
20170705,4887.35986,4894.5,4809.43994,4828.66016,821764
20170706,4828.66016,4838.04004,4800.93018,4831.18994,218945
20170709,4831.18994,4915.49023,4831.18994,4915.49023,405207
20170710,4915.49023,5010.56982,4888.02002,5005.68018,866033
20170711,5005.68018,5049.75977,5001.54004,5040.12012,689394
20170712,5040.12012,5086.37012,5027.83008,5060.97998,758396
20170713,5060.97998,5060.97998,5017.85986,5023.52002,467336
20170716,5023.52002,5048.12012,4991.68018,5042.33008,758372
20170717,5042.33008,5042.99023,4973.58008,4986.47998,515696
20170718,4986.47998,4989.75977,4929.10986,4962.91016,886729
20170719,4962.91016,4984.81982,4925.68994,4935.5498,973201
20170720,4935.5498,5030.20996,4917.43994,5030.20996,720913
20170723,5030.20996,5032.7998,5003.60986,5024.2002,739623
20170724,5024.2002,5041.64014,5004.87012,5016.97021,406750
20170725,5016.97021,5036.24023,4960.33984,5003.3999,594965
20170726,5003.3999,5003.3999,4969.2002,4980.91016,346362
20170727,4980.91016,4980.91016,4925.83008,4936.31982,1157215
20170730,4936.31982,4936.8501,4884.24023,4889.95996,797873
20170731,4889.95996,4895.68994,4852.50977,4878.33008,1095397
20170801,4878.33008,4875.12012,4832.7998,4865.62012,1069481
20170802,4865.62012,4887.89014,4788.4502,4794.0498,1546253
20170803,4794.0498,4842.8999,4794.0498,4822.31982,4259697
20170806,4822.31982,4815.3501,4787.77002,4815.3501,1055212
20170807,4815.3501,4847.10986,4799.4502,4841.52002,1441655
20170808,4841.52002,4908.6001,4836.49023,4907.27979,1552872
20170809,4907.27979,4927.66016,4901.75,4918.52979,1245465
20170810,4918.52979,4920.8999,4871.83008,4874.18018,1078234
20170813,4874.18018,4874.18018,4750.9502,4755.6001,1021898
20170814,4755.6001,4760.97998,4729.02979,4758.79004,660389
20170815,4758.79004,4761.0498,4685.87988,4687.20996,724138
20170816,4687.20996,4728.43994,4679.75,4693.47998,551189
20170817,4693.47998,4726.22021,4693.47998,4721.83984,790806
20170820,4721.83984,4769.12988,4697.18018,4750.12012,722000
20170821,4750.12012,4767.77002,4728.72998,4765.83984,589840
20170822,4765.83984,4782.52002,4739.85986,4774.5,592833
20170823,4774.5,4780.75977,4749.47998,4750.60986,848671
20170824,4750.60986,4759.81006,4726.62988,4731.02002,687060
20170827,4731.02002,4750.99023,4694.37988,4703.25977,615823
20170828,4703.25977,4757.2998,4689.93018,4738.66992,959394
20170829,4738.66992,4742.7002,4711.6499,4715.93018,423945
20170906,4715.93018,4719.12988,4684.7002,4689.8501,361606
20170907,4689.8501,4707.4502,4681.81982,4696.77002,502493
20170910,4696.77002,4714.49023,4695.70996,4703.50977,563764
20170911,4703.50977,4736.7998,4700.25,4731.3501,862203
20170912,4731.3501,4734.27979,4708.41992,4726.72021,647561
20170913,4726.72021,4736.22998,4711.97998,4735.7002,606978
20170914,4735.7002,4743.72998,4715.72021,4734.04004,566905
20170917,4734.04004,4743.75977,4714.75,4731.16016,840657
20170918,4731.16016,4739.54004,4681.14014,4693.06982,619818
20170919,4693.06982,4695.2998,4668.37012,4692.3999,461295
20170920,4692.3999,4742.81982,4664.81982,4720.43994,529553
20170921,4720.43994,4728.56982,4665.97998,4673.70996,394389
20170925,4673.70996,4679.95996,4608.25,4631.27979,500549
20170926,4631.27979,4688.27979,4631.27979,4676.2998,1255144
20170927,4676.2998,4681.7998,4651.64014,4673.8999,1194318
20170928,4673.8999,4677.77979,4660.22021,4675.49023,347280
20171001,4675.49023,4693.89014,4644.87012,4672.39014,344841
20171002,4672.39014,4686.52979,4654.16992,4674.85986,1031519
20171003,4674.85986,4688.39014,4655.25,4668.70996,835942
20171004,4668.70996,4694.7998,4642.74023,4694.7998,728126
20171005,4694.7998,4705.1001,4651.08008,4651.08008,1406475
20171008,4651.08008,4658.54004,4615.62988,4615.62988,640870
20171009,4615.62988,4608.83008,4569.6499,4586.93018,531316
20171010,4586.93018,4587.58984,4537.24023,4557.16016,435111
20171011,4557.16016,4553.93994,4451,4477.3501,586728
20171012,4477.3501,4534.39014,4438.81006,4512.97021,763011
20171015,4512.97021,4534.77979,4495.14014,4501.39014,261461
20171016,4501.39014,4521.2998,4494.7002,4508.85986,750629
20171017,4508.85986,4520.97998,4481.58008,4504.68994,247378
20171018,4504.68994,4505.75977,4476.31982,4476.31982,178150
20171019,4476.31982,4483.16992,4446.47021,4464.66016,377929
20171022,4464.66016,4470.1001,4429.56982,4434.56006,243475
20171023,4434.56006,4463.18994,4393.72021,4408.60986,472521
20171024,4408.60986,4446.3999,4372.12988,4410.5498,2087294
20171025,4410.5498,4410.5498,4334.97021,4390.91992,3387202
20171026,4390.91992,4393.06982,4377.12988,4390.06006,1064732
20171029,4390.06006,4424.77002,4389.6001,4418.37988,661324
20171030,4418.37988,4441.37012,4411.08008,4432.43018,943935
20171031,4432.43018,4461.06982,4394.3501,4398,1761856
20171101,4398,4409.08008,4378.00977,4383.6001,889065
20171102,4383.6001,4396.2998,4344.72998,4387.1001,593465
20171105,4387.1001,4427.37012,4266.81982,4414.7998,1198760
20171106,4414.7998,4440.2998,4307.62988,4434.91016,1767480
20171107,4434.91016,4459.91016,4299.66016,4400.91016,2493967
20171108,4400.91016,4377.10986,4304.72998,4343.81006,1144485
20171109,4343.81006,4345.77002,4303.7002,4343.2998,657946
20171112,4343.2998,4343.2998,4297.8501,4322.20996,499015
20171113,4322.20996,4355.60986,4286.27979,4349.58008,746174
20171114,4349.58008,4407.77979,4347.5,4407.12012,1212822
20171115,4407.12012,4438,4396.1499,4396.1499,752891
20171116,4396.1499,4398.08008,4360.56982,4372.5498,469363
20171119,4372.5498,4372.5498,4318.89014,4327.16992,646441
20171120,4327.16992,4332.02002,4300.66016,4306.6001,952554
20171121,4306.6001,4310.7998,4262.00977,4264.22998,458120
20171122,4264.22998,4298.45996,4264.22998,4298.45996,851963
20171123,4298.45996,4353.02002,4296.31982,4340.22021,815960
20171126,4340.22021,4389.7998,4340.22021,4386.37988,729219
20171127,4386.37988,4398.04004,4353.74023,4377.8501,1052412
20171128,4377.8501,4394.45996,4355.81006,4388.4502,351382
20171129,4388.4502,4401.25977,4359.83008,4373.2998,453985
20171130,4373.2998,4420.1499,4368.56006,4420.1499,309845
20171203,4420.1499,4478.7998,4404.89014,4439.02979,519340
20171204,4439.02979,4457.20996,4421.43018,4432.62012,694185
20171205,4432.62012,4429.22021,4402.12988,4411.9502,385864
20171206,4411.9502,4420.1499,4389.47021,4390,568418
20171207,4390,4440.77002,4387.74023,4429.83984,1062942
20171210,4429.83984,4451.56982,4426.29004,4427.8999,863652
20171211,4427.8999,4443.49023,4421.68018,4438.47021,868062
20171212,4438.47021,4449.41992,4417.97998,4438.24023,994873
20171213,4438.24023,4460.77979,4416.68994,4442.81006,1191634
20171214,4442.81006,4445.08008,4385.31982,4407.14014,1110873
20171217,4407.14014,4428.66992,4397.52002,4419.58984,583937
20171218,4419.58984,4492.79004,4412.0498,4490.79004,1196954
20171219,4490.79004,4510.22998,4459.58008,4470.02002,865519
20171220,4470.02002,4555.47998,4460.06982,4536.83984,2465641
20171221,4536.83984,4544.25977,4520.4502,4526.75,799196
20171224,4526.75,4551.89014,4523.04004,4534.2998,1174426
20171225,4534.2998,4537.56982,4462.72998,4472.00977,682528
20171226,4472.00977,4469,4436.25977,4456.35986,453601
20171227,4456.35986,4475.37012,4431.49023,4439.81982,607420
20171228,4439.81982,4458.47021,4431.02002,4453.18018,434171
20171231,4453.18018,4453.47998,4437.33008,4443.12012,295002
20180101,4443.12012,4458.25,4425.18994,4439.97021,297225
20180102,4439.97021,4470.10986,4432.7002,4447.12988,498315
20180103,4447.12988,4489.60986,4439.72021,4478.33008,904324
20180104,4478.33008,4545.45996,4475.79004,4537.58984,606944
20180107,4537.58984,4584.2002,4536.91992,4578.93018,650112
20180108,4578.93018,4598.27979,4546.10986,4550.18994,518312
20180109,4550.18994,4555.87012,4522.39014,4532.74023,649680
20180110,4532.74023,4545.54004,4526.16016,4545.54004,532570
20180111,4545.54004,4553.12988,4532.29004,4550.72998,811805
20180114,4550.72998,4594.91992,4553,4575.77979,1237973
20180115,4575.77979,4634.87988,4575.77979,4627.68994,1847214
20180116,4627.68994,4655.6499,4633.16016,4649.74023,947909
20180117,4649.74023,4672.16016,4630.22998,4667.37988,479720
20180118,4667.37988,4728.1001,4667.37988,4728.1001,1382261
20180121,4728.1001,4735.25,4705.06982,4729.91016,722964
20180122,4729.91016,4733.35986,4702.43018,4703.56006,907290
20180123,4703.56006,4753.08984,4701.58008,4748.08984,605965
20180124,4748.08984,4757.0498,4726.00977,4745.18994,560137
20180125,4745.18994,4759.27979,4724.18994,4752.3999,770649
20180128,4752.3999,4779.06982,4705.56006,4713.87988,345215
20180129,4713.87988,4721.37012,4692.64014,4696.66016,574606
20180130,4696.66016,4864.25977,4696.66016,4826.43994,2620163
20180131,4826.43994,4917.10986,4813.08984,4914.45996,1457545
20180201,4914.45996,4940.50977,4872.33984,4901.66992,1686656
20180204,4901.66992,4948.83984,4844.08984,4880.29004,1837090
20180205,4880.29004,4884.9502,4785.1499,4816.35986,1528073
20180206,4816.35986,4805,4693.50977,4709.97021,1251887
20180207,4709.97021,4801.54004,4713.37012,4783.64014,1473288
20180208,4783.64014,4796.04004,4758.25,4786.31982,845209
20180211,4786.31982,4829.06006,4743.41016,4766.18994,578237
20180212,4766.18994,4808.41992,4764.3999,4790.64014,665893
20180213,4790.64014,4843.5498,4796.37988,4828.41992,464618
20180214,4828.41992,4892.68018,4828.41992,4856.43018,643286
20180215,4856.43018,4894.2998,4853.14014,4873.91016,903086
20180218,4873.91016,4905.6001,4868.33008,4896.47998,1130995
20180219,4896.47998,4923,4886.31982,4920.68994,610851
20180220,4920.68994,4928.33008,4901.95996,4904.06006,632714
20180221,4904.06006,4971.72998,4907.12988,4956.33984,4106779
20180222,4956.33984,4972.87012,4917.41016,4950.18018,2743975
20180225,4950.18018,4953.58984,4888.72998,4912.77002,865852
20180226,4912.77002,4943.75977,4900.8501,4905.85986,1026656
20180227,4905.85986,4951.54004,4888.97021,4935.1001,1716685
20180228,4935.1001,4951.18994,4891.95996,4951.18994,552630
20180301,4951.18994,4944.37012,4892.12012,4916.2002,840714
20180304,4916.2002,4922.83984,4836.89014,4842.25,587408
20180305,4842.25,4879.6001,4830.83008,4836.29004,615240
20180306,4836.29004,4871.31982,4836.29004,4839.06006,613468
20180307,4839.06006,4860.25,4839.06006,4858,520613
20180308,4858,4924.87988,4858,4885.97021,2558630
20180311,4885.97021,4932.99023,4864.58008,4872.75977,1414741
20180312,4872.75977,4880.66016,4818.27979,4819.79004,1596549
20180313,4819.79004,4937.47998,4824.33984,4899.83984,1034705
20180314,4899.83984,4914.37988,4877.87012,4894.10986,785639
20180315,4894.10986,4909.8501,4848.20996,4861.45996,2095391
20180318,4861.45996,4881.89014,4840.52979,4851.37988,1179630
20180319,4851.37988,4870.18994,4844.06982,4849.43994,1327414
20180320,4849.43994,4868.1001,4837.18018,4867.02979,1632312
20180321,4867.02979,4934.54004,4860.47021,4899.60986,1750881
20180322,4899.60986,4934.89014,4888.08008,4893.91992,1684106
20180325,4893.91992,4936.2998,4850.56006,4855.10986,932024
20180326,4855.10986,4888.74023,4832.7002,4877.14014,2074694
20180327,4877.14014,4886.41992,4860.22998,4874.00977,1044421
20180328,4874.00977,4875.29004,4793.97021,4837.56982,734860
20180329,4837.56982,4880.72021,4808.97021,4861.95996,794136
