Date,Open,High,Low,Close,Vol
20070107,5487.06982,5487.06982,5487.06982,5487.06982,6580192
20070108,5596.75,5596.75,5596.75,5596.75,7384578
20070109,5806,5806,5806,5806,13031949
20070110,5496.87988,5496.87988,5496.87988,5496.87988,8454383
20070113,4957.33984,4957.33984,4957.33984,4957.33984,2547880
20070114,4764.20996,4764.20996,4764.20996,4764.20996,6306893
20070115,5225.66992,5225.66992,5225.66992,5225.66992,12288071
20070116,4875.75977,4875.75977,4875.75977,4875.75977,8198893
20070117,4938.66016,4938.66016,4938.66016,4938.66016,14518570
20070120,4651.02002,4651.02002,4651.02002,4651.02002,4190187
20070121,4657.02002,4657.02002,4657.02002,4657.02002,6645109
20070122,4489.81006,4489.81006,4489.81006,4489.81006,7415838
20070123,4269.81982,4269.81982,4269.81982,4269.81982,13861268
20070124,4028.65991,4028.65991,4028.65991,4028.65991,9247084
20070127,4268.89014,4268.89014,4268.89014,4268.89014,7718929
20070128,4363.08008,4363.08008,4363.08008,4363.08008,8216026
20070129,4442.3999,4442.3999,4442.3999,4442.3999,13200035
20070130,4588.75,4588.75,4588.75,4588.75,8168122
20070131,4546.70996,4546.70996,4546.70996,4546.70996,13919903
20070203,4713.91992,4713.91992,4713.91992,4713.91992,12120610
20070204,4608.99023,4608.99023,4608.99023,4608.99023,10980643
20070205,4598.25,4598.25,4598.25,4598.25,11272135
20070206,4708.5498,4708.5498,4708.5498,4708.5498,10236942
20070207,4996.81006,4996.81006,4996.81006,4996.81006,15437794
20070210,4981,4981,4981,4981,12492483
20070211,5017.66992,5017.66992,5017.66992,5017.66992,15670234
20070212,4881.12988,4881.12988,4881.12988,4881.12988,9853523
20070213,4948.77979,4948.77979,4948.77979,4948.77979,9264337
20070214,4823.29004,4823.29004,4823.29004,4823.29004,3829040
20070217,4948.77979,4948.77979,4948.77979,4948.77979,6668878
20070218,5173.50977,5173.50977,5173.50977,5173.50977,6048325
20070219,5460.83984,5460.83984,5460.83984,5460.83984,6505130
20070220,5470.6499,5470.6499,5470.6499,5470.6499,11337206
20070221,5753.22021,5753.22021,5753.22021,5753.22021,18194408
20070224,5826.5498,5826.5498,5826.5498,5826.5498,15695871
20070225,6066.77979,6066.77979,6066.77979,6066.77979,26902368
20070226,5915.06006,5915.06006,5915.06006,5915.06006,11627850
20070227,5878.7002,5878.7002,5878.7002,5878.7002,13760627
20070228,5653.66016,5653.66016,5653.66016,5653.66016,6369527
20070303,5941.6001,5941.6001,5941.6001,5941.6001,8420805
20070304,6291.81982,6291.81982,6291.81982,6291.81982,17908144
20070305,6846.54004,6846.54004,6846.54004,6846.54004,15520565
20070306,6616.12012,6616.12012,6616.12012,6616.12012,12801960
20070307,7086.77002,7086.77002,7086.77002,7086.77002,13117297
20070310,7526.43018,7526.43018,7526.43018,7526.43018,18193694
20070311,7259.66016,7259.66016,7259.66016,7259.66016,11241469
20070312,7787.83008,7787.83008,7787.83008,7787.83008,13844380
20070313,7635.49023,7635.49023,7635.49023,7635.49023,17155028
20070314,7977.45996,7977.45996,7977.45996,7977.45996,21733556
20070317,7735.99023,7735.99023,7735.99023,7735.99023,12151808
20070318,7872.20996,7872.20996,7872.20996,7872.20996,8703898
20070319,8097.56982,8097.56982,8097.56982,8097.56982,14413401
20070320,8097.25977,8097.25977,8097.25977,8097.25977,12130352
20070321,7908.87988,7908.87988,7908.87988,7908.87988,12356394
20070324,7485.33008,7485.33008,7485.33008,7485.33008,8088493
20070325,7835.24023,7835.24023,7835.24023,7835.24023,14900404
20070326,7076.33984,7076.33984,7076.33984,7076.33984,8477982
20070327,6506.12988,6506.12988,6506.12988,6506.12988,6344067
20070328,6623.0498,6623.0498,6623.0498,6623.0498,10218478
20070331,6524.72998,6524.72998,6524.72998,6524.72998,9819761
20070401,6565.52979,6565.52979,6565.52979,6565.52979,23638464
20070402,5958.02979,5958.02979,5958.02979,5958.02979,13411752
20070403,6061.72998,6061.72998,6061.72998,6061.72998,12853130
20070404,5993.45996,5993.45996,5993.45996,5993.45996,17309982
20070407,6563.97998,6563.97998,6563.97998,6563.97998,9907531
20070408,6683.16992,6683.16992,6683.16992,6683.16992,11447472
20070409,6955.00977,6955.00977,6955.00977,6955.00977,16054038
20070410,6939.81982,6939.81982,6939.81982,6939.81982,25010564
20070411,6825.08008,6825.08008,6825.08008,6825.08008,20679936
20070414,6705.58008,6705.58008,6705.58008,6705.58008,13357670
20070415,6061.72998,6061.72998,6061.72998,6061.72998,9669751
20070416,6009.25977,6009.25977,6009.25977,6009.25977,10362721
20070417,5893.27979,5893.27979,5893.27979,5893.27979,13232851
20070418,5967.22998,5967.22998,5967.22998,5967.22998,10513225
20070421,5873.04004,5873.04004,5873.04004,5873.04004,4732632
20070422,5773.47998,5773.47998,5773.47998,5773.47998,7263285
20070423,5731.43994,5731.43994,5731.43994,5731.43994,13644210
20070424,5380.91016,5380.91016,5380.91016,5380.91016,16455600
20070425,5475.1001,5475.1001,5475.1001,5475.1001,16354730
20070428,5998.52002,5998.52002,5998.52002,5998.52002,8623160
20070429,5920.43994,5920.43994,5920.43994,5920.43994,12292432
20070430,6244.43018,6244.43018,6244.43018,6244.43018,12974449
20070501,6522.25977,6522.25977,6522.25977,6522.25977,20992048
20070502,6510.27979,6510.27979,6510.27979,6510.27979,12046142
20070505,6137.95996,6137.95996,6137.95996,6137.95996,10621672
20070506,6238.4502,6238.4502,6238.4502,6238.4502,16192792
20070507,6615.20996,6615.20996,6615.20996,6615.20996,17534112
20070508,7024.2002,7024.2002,7024.2002,7024.2002,15498029
20070509,7213.50977,7213.50977,7213.50977,7213.50977,14256346
20070512,7564.0498,7564.0498,7564.0498,7564.0498,16398214
20070513,7841.25,7841.25,7841.25,7841.25,14910498
20070514,7689.52979,7689.52979,7689.52979,7689.52979,12714843
20070515,7432.25977,7432.25977,7432.25977,7432.25977,12471481
20070516,7484.72998,7484.72998,7484.72998,7484.72998,8862624
20070519,7646.25977,7646.25977,7646.25977,7646.25977,10853792
20070520,7687.99023,7687.99023,7687.99023,7687.99023,10186635
20070521,7693.97998,7693.97998,7693.97998,7693.97998,7230776
20070522,7709.47021,7709.47021,7709.47021,7709.47021,6689936
20070523,7364.2998,7364.2998,7364.2998,7364.2998,11874336
20070526,7552.37988,7552.37988,7552.37988,7552.37988,11928578
20070527,7374.43018,7374.43018,7374.43018,7374.43018,5754805
20070528,7232.83008,7232.83008,7232.83008,7232.83008,6077341
20070529,6589.29004,6589.29004,6589.29004,6589.29004,7011644
20070530,6594.66016,6594.66016,6594.66016,6594.66016,8236699
20070602,6071.54004,6071.54004,6071.54004,6071.54004,5456813
20070603,6228.62988,6228.62988,6228.62988,6228.62988,8133810
20070604,6202.3999,6202.3999,6202.3999,6202.3999,8039767
