Date,Open,High,Low,Close,Vol
20070107,1443.01001,1443.01001,1443.01001,1443.01001,113731
20070108,1436.07996,1436.07996,1436.07996,1436.07996,53427
20070109,1443.01001,1443.01001,1443.01001,1443.01001,82060
20070110,1418.72998,1418.72998,1418.72998,1418.72998,208994
20070113,1387.51001,1387.51001,1387.51001,1387.51001,213020
20070114,1418.72998,1418.72998,1418.72998,1418.72998,182370
20070115,1418.72998,1418.72998,1418.72998,1418.72998,182999
20070116,1408.32996,1408.32996,1408.32996,1408.32996,130330
20070117,1422.19995,1422.19995,1422.19995,1422.19995,134442
20070120,1415.26001,1415.26001,1415.26001,1415.26001,59586
20070121,1418.72998,1418.72998,1418.72998,1418.72998,78852
20070122,1436.07996,1436.07996,1436.07996,1436.07996,85283
20070123,1422.19995,1422.19995,1422.19995,1422.19995,99638
20070124,1443.01001,1443.01001,1443.01001,1443.01001,197940
20070127,1429.14001,1429.14001,1429.14001,1429.14001,75183
20070128,1429.14001,1429.14001,1429.14001,1429.14001,163146
20070129,1425.67004,1425.67004,1425.67004,1425.67004,43202
20070130,1418.72998,1418.72998,1418.72998,1418.72998,85087
20070131,1456.89001,1456.89001,1456.89001,1456.89001,122123
20070203,1443.01001,1443.01001,1443.01001,1443.01001,86728
20070204,1456.89001,1456.89001,1456.89001,1456.89001,89159
20070205,1512.39001,1512.39001,1512.39001,1512.39001,277327
20070206,1612.98999,1612.98999,1612.98999,1612.98999,1116568
20070207,1619.92004,1619.92004,1619.92004,1619.92004,238682
20070210,1623.39001,1623.39001,1623.39001,1623.39001,225578
20070211,1633.80005,1633.80005,1633.80005,1633.80005,153706
20070212,1637.27002,1637.27002,1637.27002,1637.27002,138094
20070213,1640.73999,1640.73999,1640.73999,1640.73999,156423
20070214,1668.48999,1668.48999,1668.48999,1668.48999,301584
20070217,1678.89001,1678.89001,1678.89001,1678.89001,170288
20070218,1682.35999,1682.35999,1682.35999,1682.35999,158276
20070219,1678.89001,1678.89001,1678.89001,1678.89001,105535
20070220,1658.07996,1658.07996,1658.07996,1658.07996,82092
20070221,1696.23999,1696.23999,1696.23999,1696.23999,394006
20070224,1737.85999,1737.85999,1737.85999,1737.85999,295178
20070225,1803.77002,1803.77002,1803.77002,1803.77002,395973
20070226,1789.89001,1789.89001,1789.89001,1789.89001,298667
20070227,1762.14001,1762.14001,1762.14001,1762.14001,310832
20070228,1751.73999,1751.73999,1751.73999,1751.73999,252798
20070303,1776.02002,1776.02002,1776.02002,1776.02002,489860
20070304,1658.07996,1658.07996,1658.07996,1658.07996,577153
20070305,1644.19995,1644.19995,1644.19995,1644.19995,172835
20070306,1619.92004,1619.92004,1619.92004,1619.92004,264290
20070307,1706.64001,1706.64001,1706.64001,1706.64001,709726
20070310,1741.32996,1741.32996,1741.32996,1741.32996,285967
20070311,1727.45996,1727.45996,1727.45996,1727.45996,204062
20070312,1741.32996,1741.32996,1741.32996,1741.32996,92727
20070313,1734.39001,1734.39001,1734.39001,1734.39001,219458
20070314,1734.39001,1734.39001,1734.39001,1734.39001,46485
20070317,1730.92004,1730.92004,1730.92004,1730.92004,77188
20070318,1730.92004,1730.92004,1730.92004,1730.92004,91272
20070319,1727.45996,1727.45996,1727.45996,1727.45996,51080
20070320,1723.98999,1723.98999,1723.98999,1723.98999,54428
20070321,1727.45996,1727.45996,1727.45996,1727.45996,168126
20070324,1706.64001,1706.64001,1706.64001,1706.64001,56652
20070325,1713.57996,1713.57996,1713.57996,1713.57996,12160
20070326,1665.02002,1665.02002,1665.02002,1665.02002,106239
20070327,1644.19995,1644.19995,1644.19995,1644.19995,42206
20070328,1619.92004,1619.92004,1619.92004,1619.92004,37785
20070331,1567.89001,1567.89001,1567.89001,1567.89001,35531
20070401,1567.89001,1567.89001,1567.89001,1567.89001,240484
20070402,1526.27002,1526.27002,1526.27002,1526.27002,113764
20070403,1519.32996,1519.32996,1519.32996,1519.32996,47167
20070404,1529.72998,1529.72998,1529.72998,1529.72998,188409
20070407,1554.02002,1554.02002,1554.02002,1554.02002,337074
20070408,1571.35999,1571.35999,1571.35999,1571.35999,200568
20070409,1581.77002,1581.77002,1581.77002,1581.77002,187982
20070410,1567.89001,1567.89001,1567.89001,1567.89001,139766
20070411,1560.94995,1560.94995,1560.94995,1560.94995,84035
20070414,1536.67004,1536.67004,1536.67004,1536.67004,234000
20070415,1491.57996,1491.57996,1491.57996,1491.57996,33451
20070416,1477.69995,1477.69995,1477.69995,1477.69995,63880
20070417,1470.77002,1470.77002,1470.77002,1470.77002,99656
