Date,Open,High,Low,Close,Vol
20170109,5028.33984,5028.37012,4893.5,4972.62012,65824284
20170110,4972.62012,4967.83984,4915.06006,4936.31982,40739216
20170111,4936.31982,4973.47021,4868.33008,4869.16992,47869648
20170112,4869.16992,4974.37988,4869.16992,4935.7998,40420880
20170115,4935.7998,4981.02002,4928.10986,4980.93994,43887024
20170116,4980.93994,5009.93018,4921.12988,4933.22021,58322424
20170117,4933.22021,4978.24023,4872.56982,4977.64014,50342512
20170118,4977.64014,5058.25977,4978.16992,5022.8501,69643648
20170119,5022.8501,5062.66016,4975.87012,5027.87988,55435552
20170122,5027.87988,5044.06982,4945.16992,5036.70996,41595776
20170123,5036.70996,5095.77979,5036.70996,5086.49023,48553364
20170124,5086.49023,5158.49023,5086.7002,5154.22998,47064056
20170125,5154.22998,5209.3501,5150.14014,5151.12012,44433872
20170126,5151.12012,5187.8501,5136.12988,5171.5,45060092
20170129,5171.5,5211.52002,5164.83984,5202.81006,30978732
20170130,5202.81006,5251.64014,5195.7998,5218.37012,47251024
20170131,5218.37012,5255.77979,5202.77979,5254.89014,50976592
20170201,5254.89014,5275.72021,5225.43018,5226.12988,51971048
20170202,5226.12988,5249.08984,5218.25977,5227.12988,39268228
20170205,5227.12988,5271.33984,5191.41992,5201.62988,43377140
20170206,5201.62988,5236.89014,5149.52979,5235.72021,57861504
20170207,5235.72021,5278.75,5234.97998,5272.27979,68588360
20170208,5272.27979,5283.7002,5177.06982,5180.16016,79160336
20170209,5180.16016,5196.04004,5140.64014,5190.29004,55810860
20170212,5190.29004,5249.56982,5189.68018,5238.52979,48582464
20170213,5238.52979,5249.25977,5205.95996,5212.7002,41188140
20170214,5212.7002,5232.06982,5192.70996,5230.39014,46591356
20170215,5230.39014,5299.3999,5230.39014,5289.83984,57954752
20170216,5289.83984,5445.56006,5375.97021,5400.39014,47973648
20170219,5400.39014,5447.3501,5380.49023,5392.66992,38828164
20170220,5392.66992,5389.0498,5259.83008,5264.20996,39659088
20170221,5264.20996,5270.75,5168.56006,5241.02979,34372536
20170222,5241.02979,5439.06006,5241.02979,5396.93994,26290322
20170223,5396.93994,5451.22998,5333.45996,5349.00977,28128240
20170226,5349.00977,5388.9502,5319.93018,5321.95996,23331816
20170227,5321.95996,5328.00977,5164.99023,5167.75,23085756
20170228,5167.75,5287.00977,5150.91016,5280.58984,30188924
20170301,5280.58984,5318.14014,5269.70996,5292.75,30994496
20170302,5292.75,5334,5290.75977,5319.22021,19704788
20170305,5319.22021,5321.83984,5261.83984,5267.27979,17157248
20170306,5267.27979,5286.27979,5238.2002,5283.14014,18898474
20170307,5283.14014,5297.22998,5272.62988,5276.56006,23878216
20170308,5276.56006,5283.74023,5231.3501,5244.12012,19681632
20170309,5244.12012,5244.12012,5150.81982,5162.62988,21246506
20170312,5162.62988,5165.12988,5062.74023,5072.24023,17975888
20170313,5072.24023,5143.81006,4996.87988,5001.72021,24690648
20170314,5001.72021,5009.0498,4879.2002,4991.33984,23251696
20170315,4991.33984,5064.66992,4986.93994,5035.60986,18900254
20170316,5035.60986,5114.43018,5040.81982,5114.2002,21044156
20170319,5114.2002,5197.5,5114.62988,5182.08984,30803736
20170320,5182.08984,5208.93994,5166.68018,5180.3999,37524320
20170321,5180.3999,5231.06982,5154.83984,5168.87012,25856734
20170322,5168.87012,5104.77002,5041.06006,5051.3501,24320120
20170323,5051.3501,5122.27979,5051.3501,5122.27979,18580102
20170326,5122.27979,5163,5101.81982,5113.08984,15251822
20170327,5113.08984,5124.41016,5032.2998,5034.74023,15505434
20170328,5034.74023,5058.25,5003.97021,5009.22021,13989043
20170329,5009.22021,5081.66016,5012.52002,5043.08984,13743469
20170330,5043.08984,5075.58984,5043.08984,5057.16992,18200134
20170402,5057.16992,5107.99023,5027,5028.16992,11808350
20170403,5028.16992,5042.41016,5020.3501,5025,12406272
20170404,5025,5032.56982,5009.72998,5026.8501,8600901
20170405,5026.8501,5081.14014,5026.8501,5081.14014,11764714
20170406,5081.14014,5146.47021,5073.06982,5132.74023,9416714
20170409,5132.74023,5154.81982,5117.33008,5142.47021,15337732
20170410,5142.47021,5152.9502,5089.89014,5090.2002,13751030
20170411,5090.2002,5124.33984,5085.75,5090.89014,11530757
20170412,5090.89014,5150.18994,5087.52979,5150.18994,16519156
20170413,5150.18994,5152.72021,5100.43994,5100.66016,25145368
20170416,5100.66016,5101.10986,5010.0498,5021.43994,19525770
20170417,5021.43994,5036.18994,4987.31982,4990.75,15727206
20170418,4990.75,5007.7002,4938.31982,4940.39014,16118469
20170419,4940.39014,4943.16016,4888.39014,4920.85986,13030828
20170420,4920.85986,4920.85986,4831.56006,4834.5,15514713
20170423,4834.5,4936.16016,4834.37988,4912.08984,12425260
20170424,4912.08984,5014.14014,4928.87012,5011.81006,14673451
20170425,5011.81006,5022.1499,4988.3501,5017.85986,15238144
20170426,5017.85986,5031.43994,4990.02002,4995.9502,8396661
20170427,4995.9502,5035.45996,4953.77002,5025.06006,10502493
20170430,5025.06006,5079,5019.16992,5078.18018,8592648
20170501,5078.18018,5166.45996,5075.8999,5141.16016,20932920
20170502,5141.16016,5182.8999,5135.66992,5150.08008,13651852
20170503,5150.08008,5170.68994,5145.22021,5150.04004,11559751
20170504,5150.04004,5158.99023,5074.62988,5118.75,11090159
20170507,5118.75,5123.72021,5048.16016,5078.97998,7740824
20170508,5078.97998,5106.43994,5050.0498,5096.16016,11718876
20170509,5096.16016,5103.16016,5051.93018,5094.1001,24543536
20170510,5094.1001,5107.93018,5078.5498,5092.10986,17087044
20170511,5092.10986,5092.10986,4916.37012,4924.47021,17552276
20170514,4924.47021,5006.87988,4910.1499,4955.02979,14208331
20170515,4955.02979,4982.08008,4951.87988,4978.52979,13971062
20170516,4978.52979,4998.2998,4959.87988,4990.7002,16390064
20170517,4990.7002,5006.52002,4976.75,5005.14014,24372616
20170518,5005.14014,5005.14014,4965.22021,4966.5498,17633420
20170521,4966.5498,5016.08008,4966.5498,4985.2998,9383107
20170522,4985.2998,4998.7998,4980.41992,4982.4502,11541154
20170523,4982.4502,4982.66016,4925.06006,4947.50977,13265484
20170524,4947.50977,4980.25977,4915.20996,4917.56006,8112083
20170525,4917.56006,4926.27979,4886.75,4889.77002,10351759
20170528,4889.77002,4890.39014,4785.68018,4795,8076115
20170529,4795,4820.02002,4761.49023,4819.74023,6253932
20170530,4819.74023,4863.1499,4816.47021,4852.70996,6197902
20170531,4852.70996,4874.50977,4814.41992,4840.7002,8661403
20170601,4840.7002,4842.49023,4801.6001,4806.7002,4504113
20170604,4806.7002,4848.47021,4803.22021,4840.10986,8104306
20170605,4840.10986,4840.75,4787.81982,4828.93018,5585797
20170606,4828.93018,4835.6001,4792,4795.39014,5935027
20170607,4795.39014,4812.50977,4782.04004,4811.75977,4245271
20170608,4811.75977,4811.75977,4747.12012,4752.91992,4656602
20170611,4752.91992,4758.52979,4691.08984,4698.58984,5987453
20170612,4698.58984,4708.14014,4668.91992,4683.02002,4067629
20170613,4683.02002,4721.27002,4682.8999,4711.62012,4681518
20170614,4711.62012,4758.54004,4711.62012,4743.22021,14686494
20170615,4743.22021,4749.1001,4676.2002,4684.22021,5433559
20170618,4684.22021,4688.7002,4657.18994,4664.18994,2936601
20170619,4664.18994,4841.87012,4645.95996,4790.56006,5576376
20170620,4790.56006,4823.81982,4733.1499,4733.1499,3496667
20170621,4733.1499,4990.22998,4766.52002,4972.79004,7459782
20170622,4972.79004,5125.68994,4893.75977,5074.1499,8202687
20170702,5074.1499,5135.37012,5023.43994,5033.81982,7880049
20170703,5033.81982,5098.72998,5028.95996,5084.74023,8780878
20170704,5084.74023,5089.37988,4974.29004,4984.2998,8298884
20170705,4984.2998,4992.49023,4947.47998,4967.68018,7419668
20170706,4967.68018,4970.2998,4922.91992,4931.20996,4326484
20170709,4931.20996,5027.16992,4943.7002,4946.08008,5147455
20170710,4946.08008,4994.31006,4945.25977,4986.04004,5888654
20170711,4986.04004,5019.8999,4975.64014,5017.27002,6698883
20170712,5017.27002,5045.18018,5016.20996,5042.81982,8039891
20170713,5042.81982,5063.06982,5034.27979,5052.91016,7803661
20170716,5052.91016,5104.08984,5052.91016,5093.99023,12714829
20170717,5093.99023,5120.5,5046.18018,5060.3999,9448299
20170718,5060.3999,5076.50977,5026.41992,5043.2998,8001914
20170719,5043.2998,5082.79004,5031.52002,5078.33984,12686684
20170720,5078.33984,5108.74023,5072.50977,5107.45996,9743698
20170723,5107.45996,5156.06982,5086.9502,5089.66016,11863344
20170724,5089.66016,5105.97021,5067.08008,5094.18994,12502155
20170725,5094.18994,5102.29004,5074.81006,5096.00977,7586691
20170726,5096.00977,5109.72998,5074.83008,5076.60986,8458122
20170727,5076.60986,5079.29004,5028.2002,5045.16992,7702897
20170730,5045.16992,5070.3999,5018.0498,5036.7002,11534475
20170731,5036.7002,5045.58984,4969.49023,4979.3501,11120641
20170801,4979.3501,5011.68994,4966.35986,4981.45996,8181071
20170802,4981.45996,4986.39014,4946.31006,4953.93994,10694834
20170803,4953.93994,4955.3999,4920.6499,4932.35986,9942613
20170806,4932.35986,4986.49023,4932.25,4980.33008,10283621
20170807,4980.33008,4992.5498,4951.47998,4958.1499,10965906
20170808,4958.1499,4979.41016,4937.37012,4955.06982,8345393
20170809,4955.06982,5006.43018,4952.37988,4995.02002,16956630
20170810,4995.02002,5017.85986,4970.5,5016.7002,10207591
20170813,5016.7002,5032.60986,4971.00977,4991.0498,16269947
20170814,4991.0498,4999.66992,4945.2002,4971.52002,24644054
20170815,4971.52002,4971.75977,4873.81982,4879.62988,31194120
20170816,4879.62988,4941.93018,4876.33984,4940.31982,19027600
20170817,4940.31982,4963.47998,4930.72021,4942.16016,13596626
