Date,Open,High,Low,Close,Vol
20070107,5018.33984,5018.33984,5018.33984,5018.33984,16499392
20070108,5000.43994,5000.43994,5000.43994,5000.43994,12558581
20070109,5094.49023,5094.49023,5094.49023,5094.49023,15250641
20070110,4888.85986,4888.85986,4888.85986,4888.85986,19519372
20070113,4517.02979,4517.02979,4517.02979,4517.02979,11135654
20070114,4513.04004,4513.04004,4513.04004,4513.04004,12598820
20070115,4791.29004,4791.29004,4791.29004,4791.29004,20981872
20070116,4594.91992,4594.91992,4594.91992,4594.91992,12516839
20070117,4751.85986,4751.85986,4751.85986,4751.85986,19579306
20070120,4796.12988,4796.12988,4796.12988,4796.12988,19935370
20070121,4861.62988,4861.62988,4861.62988,4861.62988,20359762
20070122,4943.1001,4943.1001,4943.1001,4943.1001,24516738
20070123,4824.99023,4824.99023,4824.99023,4824.99023,16659679
20070124,4636.72021,4636.72021,4636.72021,4636.72021,10029705
20070127,4728.18994,4728.18994,4728.18994,4728.18994,15854029
20070128,4877.45996,4877.45996,4877.45996,4877.45996,20604628
20070129,4678.93018,4678.93018,4678.93018,4678.93018,12650259
20070130,4714.08984,4714.08984,4714.08984,4714.08984,7057650
20070131,4761.91992,4761.91992,4761.91992,4761.91992,13545816
20070203,4884.54004,4884.54004,4884.54004,4884.54004,59889760
20070204,4816.87988,4816.87988,4816.87988,4816.87988,39963572
20070205,4789.60986,4789.60986,4789.60986,4789.60986,28032604
20070206,4830.18018,4830.18018,4830.18018,4830.18018,28383668
20070207,4886.9502,4886.9502,4886.9502,4886.9502,29371332
20070210,4941.60986,4941.60986,4941.60986,4941.60986,27326406
20070211,4892.00977,4892.00977,4892.00977,4892.00977,20926820
20070212,4885.74023,4885.74023,4885.74023,4885.74023,22675762
20070213,4882.12988,4882.12988,4882.12988,4882.12988,15354325
20070214,4937,4937,4937,4937,18014760
20070217,5066.83984,5066.83984,5066.83984,5066.83984,20917888
20070218,5103.56006,5103.56006,5103.56006,5103.56006,23323356
20070219,5319.33008,5319.33008,5319.33008,5319.33008,32913968
20070220,5202.27002,5202.27002,5202.27002,5202.27002,21782220
20070221,5336.56006,5336.56006,5336.56006,5336.56006,25744748
20070224,5465.6499,5465.6499,5465.6499,5465.6499,19310274
20070225,5394.41992,5394.41992,5394.41992,5394.41992,23674348
