Date,Open,High,Low,Close,Vol
20170109,4939.58008,4939.58008,4577.04004,4773.41016,1901547
20170110,4773.41016,4969.79004,4622.35986,4833.83984,2829175
20170111,4833.83984,4894.25977,4682.77979,4697.89014,1115008
20170112,4697.89014,4833.83984,4607.25,4788.52002,904279
20170115,4788.52002,4818.72998,4728.1001,4773.41016,875313
20170116,4773.41016,4773.41016,4637.45996,4728.1001,663232
20170117,4728.1001,4712.99023,4531.72021,4712.99023,812655
20170118,4712.99023,4848.93994,4546.83008,4682.77979,2927997
20170119,4682.77979,4939.58008,4622.35986,4803.62988,2505337
20170122,4803.62988,5075.52979,4879.1499,4939.58008,1851557
20170123,4939.58008,5045.31982,4909.37012,4984.89014,1638132
20170124,4984.89014,5015.10986,4954.68018,4954.68018,725939
20170125,4954.68018,4984.89014,4924.47021,4954.68018,902602
20170126,4954.68018,5015.10986,4924.47021,4939.58008,2239919
20170129,4939.58008,4969.79004,4909.37012,4924.47021,734752
20170130,4924.47021,5015.10986,4924.47021,4954.68018,1212513
20170131,4954.68018,4984.89014,4909.37012,4939.58008,624027
20170201,4939.58008,5166.16016,4939.58008,5090.62988,2184128
20170202,5090.62988,5181.27002,5015.10986,5030.20996,3017576
20170205,5030.20996,5060.41992,4864.0498,4864.0498,1538183
20170206,4864.0498,4924.47021,4803.62988,4848.93994,1036841
20170207,4848.93994,4924.47021,4833.83984,4879.1499,568834
20170208,4879.1499,4879.1499,4758.31006,4803.62988,707595
20170209,4803.62988,5030.20996,4758.31006,4833.83984,5427936
20170212,4833.83984,4894.25977,4818.72998,4818.72998,3395889
20170213,4818.72998,4864.0498,4743.2002,4788.52002,1895060
20170214,4788.52002,4864.0498,4773.41016,4864.0498,2529716
20170215,4864.0498,4939.58008,4833.83984,4894.25977,1828589
20170216,4894.25977,4894.25977,4864.0498,4894.25977,758489
20170219,4894.25977,4924.47021,4818.72998,4818.72998,1124093
20170220,4818.72998,4818.72998,4712.99023,4743.2002,956275
20170221,4743.2002,4773.41016,4561.93018,4728.1001,1255284
20170222,4728.1001,4758.31006,4682.77979,4712.99023,581609
20170223,4712.99023,4728.1001,4652.56982,4682.77979,537426
20170226,4682.77979,4682.77979,4622.35986,4652.56982,739812
20170227,4652.56982,4652.56982,4380.66016,4441.08984,1137479
20170228,4441.08984,4441.08984,3972.81006,4199.3999,2552938
20170301,4199.3999,4305.14014,4108.75977,4229.60986,1485793
20170302,4229.60986,4577.04004,4214.5,4350.4502,2786905
20170305,4350.4502,4350.4502,4229.60986,4274.91992,617568
20170306,4274.91992,4290.02979,4169.18018,4274.91992,394057
20170307,4274.91992,4697.89014,4259.81982,4697.89014,5433158
20170308,4697.89014,4803.62988,4486.3999,4516.62012,2501279
20170309,4516.62012,4456.18994,4290.02979,4395.77002,1184721
20170312,4395.77002,4501.50977,4229.60986,4229.60986,1276618
20170313,4229.60986,4380.66016,4093.65991,4123.87012,1001226
20170314,4123.87012,4350.4502,4048.34009,4350.4502,1640303
20170315,4350.4502,4380.66016,4290.02979,4335.3501,1245634
20170316,4335.3501,4441.08984,4320.24023,4350.4502,1443100
20170319,4350.4502,4501.50977,4305.14014,4456.18994,1421921
20170320,4456.18994,4667.66992,4501.50977,4531.72021,1962635
20170321,4531.72021,4561.93018,4350.4502,4395.77002,1241410
20170322,4395.77002,4350.4502,4199.3999,4244.70996,1509914
20170323,4244.70996,4350.4502,4229.60986,4259.81982,1154546
20170326,4259.81982,4305.14014,4214.5,4214.5,691628
20170327,4214.5,4290.02979,4169.18018,4214.5,785588
20170328,4214.5,4274.91992,4199.3999,4244.70996,469116
20170329,4244.70996,4274.91992,4229.60986,4259.81982,351890
20170330,4259.81982,4305.14014,4244.70996,4290.02979,800241
20170402,4290.02979,4355.18994,4271.2998,4306.4502,488071
20170403,4306.4502,4306.95996,4263.3501,4266.16992,503946
20170404,4266.16992,4279.77002,4228.20996,4268.47998,341645
20170405,4268.47998,4287.72021,4246.93018,4268.47998,391055
20170406,4268.47998,4271.2998,4241.29004,4241.29004,330127
20170409,4241.29004,4398.7998,4241.29004,4257.70996,1335751
20170410,4257.70996,4282.08008,4236.16016,4260.52979,400061
20170411,4260.52979,4266.16992,4219.74023,4219.74023,391572
20170412,4219.74023,4285.91992,4208.97021,4268.99023,1037624
20170413,4268.99023,4296.7002,4231.02979,4236.66992,775054
20170416,4236.66992,4416.99023,4234.87012,4347.99023,3377370
20170417,4347.99023,4381.8501,4303.87012,4303.87012,1700910
20170418,4303.87012,4334.3999,4223.58984,4232.0498,782906
20170419,4232.0498,4234.87012,4147.14014,4190.24023,717958
20170420,4190.24023,4184.6001,3934.5,3934.5,1030525
20170423,3934.5,4113.7998,3959.88989,4091.22998,1022891
20170424,4091.22998,4112.77002,4030.68994,4109.43994,443547
20170425,4109.43994,4309.52979,4052.23999,4168.4502,1270908
20170426,4168.4502,4168.4502,4116.87988,4119.70996,332769
20170427,4119.70996,4172.29004,4116.37012,4119.18994,643304
20170430,4119.18994,4186.66016,4054.55005,4135.1001,470193
20170501,4135.1001,4148.7002,4097.12988,4121.5,274331
20170502,4121.5,4175.89014,4118.68018,4135.1001,484408
20170503,4135.1001,4248.49023,4142.54004,4161.27002,626245
20170504,4161.27002,4161.27002,4076.36011,4084.83008,401005
20170507,4084.83008,4084.83008,4002.73999,4078.66992,236185
20170508,4078.66992,4092.27002,4035.06006,4089.44995,143663
20170509,4089.44995,4095.09009,4053.79004,4064.56006,185959
20170510,4064.56006,4126.39014,4053.28003,4123.56982,194988
20170511,4123.56982,4139.97998,4003.52002,4071.5,402275
20170514,4071.5,4071.5,3979.65991,3992.73999,362023
20170515,3992.73999,4218.47021,4001.20996,4207.7002,1862055
20170516,4207.7002,4324.41992,4195.12988,4293.89014,1844759
20170517,4293.89014,4318.25977,4223.08984,4255.41992,866731
20170518,4255.41992,4252.58984,4178.45996,4181.27979,542123
20170521,4181.27979,4286.72021,4181.27979,4275.93994,374150
20170522,4275.93994,4549.14014,4273.12012,4464.24023,1335569
20170523,4464.24023,4547.60986,4271.58984,4311.85986,757129
20170524,4311.85986,4339.56982,4222.8501,4252.85986,454719
20170525,4252.85986,4430.89014,4214.89014,4290.31006,586859
20170528,4290.31006,4330.58984,4113.06006,4164.10986,308102
20170529,4164.10986,4213.35986,4077.90991,4181.04004,231020
20170530,4181.04004,4257.47998,4181.04004,4221.81982,452193
20170531,4221.81982,4279.02979,4199.75977,4226.95996,308890
20170601,4226.95996,4226.95996,4153.8501,4178.22021,286784
20170604,4178.22021,4504.64014,4167.7002,4402.66992,1491267
20170605,4402.66992,4399.8501,4272.1001,4349.43994,925307
20170606,4349.43994,4349.43994,4237.8501,4237.8501,441673
20170607,4237.8501,4266.45996,4222.8501,4266.45996,117135
20170608,4266.45996,4265.04004,4199.89014,4234.12988,127654
20170611,4234.12988,4394.33984,4200.27979,4216.18018,287274
20170612,4216.18018,4234.91016,4171.16016,4177.95996,268123
20170613,4177.95996,4189.25,4092.91992,4098.31006,155416
20170614,4098.31006,4165.52002,4091.25,4141.1499,163022
20170615,4141.1499,4154.62012,3988.53003,3988.53003,877181
20170618,3988.53003,4025.34009,3962.48999,3994.94995,413781
20170619,3994.94995,3999.17993,3929.28003,3977.12012,444075
20170620,3977.12012,4212.3501,3977.12012,4069.59009,1855022
20170621,4069.59009,4192.33984,4038.16992,4108.2002,1083486
20170622,4108.2002,4135.14014,4072.80005,4075.62012,294929
20170702,4075.62012,4464.39014,4075.62012,4446.0498,1708024
20170703,4446.0498,4824.43018,4448.87012,4801.85986,1698085
20170704,4801.85986,5145.72998,4646.77979,4802.24023,2223915
20170705,4802.24023,4946.29004,4687.4502,4749.27002,724162
20170706,4749.27002,5072.10986,4703.3501,4923.58008,1623585
20170709,4923.58008,5359.81006,4902.02979,5303.75977,1801457
20170710,5303.75977,5831.81982,5287.6001,5821.93994,2651161
20170711,5821.93994,6371.93018,5831.81982,6336.66016,2781442
20170712,6336.66016,6871.91016,5712.7998,5728.31006,3656674
20170713,5728.31006,6263.04004,5474.22021,6251.75977,3406269
20170716,6251.75977,6827.91992,6254.58008,6813.81006,989578
20170717,6813.81006,7398.95996,6727.49023,7365.1001,3994692
20170718,7365.1001,7925.87012,6697.87012,6816.8999,4464764
20170719,6816.8999,7218.37012,6180.7002,6638.87012,3458325
20170720,6638.87012,6906.41992,6524.83008,6782.8999,3800024
20170723,6782.8999,6941.2998,6682.6001,6733.6499,1627326
20170724,6733.6499,6851.8999,6663.35986,6805.08008,2429893
20170725,6805.08008,7423.7002,6800.8501,7388.43018,3414494
20170726,7388.43018,8052.83984,7394.06982,8021.7998,3181122
20170727,8021.7998,8684.67969,7461.41016,8372.61035,5262787
20170730,8372.61035,9062.7998,8358.12012,9051.50977,3610236
20170731,9051.50977,9499.7998,8736.62988,9201.33008,3287295
20170801,9201.33008,9416.82031,9052.41016,9207.49023,1815588
20170802,9207.49023,9268.41016,8832.17969,8936.20996,1024623
20170803,8936.20996,9738.75977,8547.94043,9721.83008,2896790
20170806,9721.83008,10291.83008,9753.11035,10037.99023,3446970
20170807,10037.99023,10569,9889.07031,10174.30957,4005577
20170808,10174.30957,10553.70996,10161.71973,10274.59961,3523156
20170809,10274.59961,10500.86035,9541.19043,9753.08008,5928167
20170810,9753.08008,10348.48047,9482.7002,9581.96973,4026017
