Date,Open,High,Low,Close,Vol
20070107,5143.99023,5143.99023,5143.99023,5143.99023,26191200
20070108,5210.3999,5210.3999,5210.3999,5210.3999,25158776
20070109,5327.08008,5327.08008,5327.08008,5327.08008,25082588
20070110,5297.54004,5297.54004,5297.54004,5297.54004,47320472
20070113,4870.27002,4870.27002,4870.27002,4870.27002,28393032
20070114,4714.37012,4714.37012,4714.37012,4714.37012,25099976
20070115,4916.47021,4916.47021,4916.47021,4916.47021,32544276
20070116,4663.37988,4663.37988,4663.37988,4663.37988,14986127
20070117,4828.97998,4828.97998,4828.97998,4828.97998,41856740
20070120,5411.56982,5411.56982,5411.56982,5411.56982,12736144
20070121,5571.8999,5571.8999,5571.8999,5571.8999,11066895
20070122,5642.9502,5642.9502,5642.9502,5642.9502,10705131
20070123,5492.50977,5492.50977,5492.50977,5492.50977,27701464
20070124,5070.25977,5070.25977,5070.25977,5070.25977,18609976
20070127,5158.85986,5158.85986,5158.85986,5158.85986,18781434
20070128,5285.83008,5285.83008,5285.83008,5285.83008,21621092
20070129,5111.81006,5111.81006,5111.81006,5111.81006,29373456
20070130,5183.33984,5183.33984,5183.33984,5183.33984,29770012
20070131,5304.58984,5304.58984,5304.58984,5304.58984,36855152
20070203,5473.97021,5473.97021,5473.97021,5473.97021,25345540
20070204,5326.7998,5326.7998,5326.7998,5326.7998,18059082
20070205,5355.00977,5355.00977,5355.00977,5355.00977,22111038
20070206,5446.68994,5446.68994,5446.68994,5446.68994,30126406
20070207,5470.6001,5470.6001,5470.6001,5470.6001,34816008
20070210,5661.16992,5661.16992,5661.16992,5661.16992,22116136
20070211,5759.37012,5759.37012,5759.37012,5759.37012,26728476
20070212,5698.37988,5698.37988,5698.37988,5698.37988,24940568
20070213,5772.08008,5772.08008,5772.08008,5772.08008,25554392
20070214,5895.12988,5895.12988,5895.12988,5895.12988,18388166
20070217,6036.75977,6036.75977,6036.75977,6036.75977,32425312
20070218,6171.6499,6171.6499,6171.6499,6171.6499,34789360
20070219,6393.47021,6393.47021,6393.47021,6393.47021,40234128
20070220,6216.02979,6216.02979,6216.02979,6216.02979,32930620
20070221,6389.97998,6389.97998,6389.97998,6389.97998,27337760
20070224,6567.14014,6567.14014,6567.14014,6567.14014,35110224
20070225,6607.33984,6607.33984,6607.33984,6607.33984,26839620
20070226,6737.72998,6737.72998,6737.72998,6737.72998,32500680
20070227,6827.33008,6827.33008,6827.33008,6827.33008,37499924
20070228,6669.02002,6669.02002,6669.02002,6669.02002,31175870
20070303,7096.33984,7096.33984,7096.33984,7096.33984,28805244
20070304,7406.06982,7406.06982,7406.06982,7406.06982,37893060
20070305,7786.2998,7786.2998,7786.2998,7786.2998,46519040
20070306,7778.60986,7778.60986,7778.60986,7778.60986,39189148
20070307,7885.68018,7885.68018,7885.68018,7885.68018,27948834
20070310,8037.72021,8037.72021,8037.72021,8037.72021,34802972
20070311,7672.22021,7672.22021,7672.22021,7672.22021,27360984
20070312,7986.8999,7986.8999,7986.8999,7986.8999,33349200
20070313,7608.66016,7608.66016,7608.66016,7608.66016,35029048
20070314,7824.95996,7824.95996,7824.95996,7824.95996,33804240
20070317,7764,7764,7764,7764,29116962
20070318,7922.18018,7922.18018,7922.18018,7922.18018,38911340
20070319,8217.29004,8217.29004,8217.29004,8217.29004,47393944
20070320,8381.44043,8381.44043,8381.44043,8381.44043,54266172
20070321,8209.38965,8209.38965,8209.38965,8209.38965,37443620
20070324,7934.83984,7934.83984,7934.83984,7934.83984,27922676
20070325,7941.72998,7941.72998,7941.72998,7941.72998,28094246
20070326,7178.77002,7178.77002,7178.77002,7178.77002,24430008
20070327,6552.25977,6552.25977,6552.25977,6552.25977,28146236
20070328,6329.89014,6329.89014,6329.89014,6329.89014,35257104
20070331,5776.29004,5776.29004,5776.29004,5776.29004,19094176
20070401,6246.16016,6246.16016,6246.16016,6246.16016,38951876
20070402,5920.45996,5920.45996,5920.45996,5920.45996,32319992
20070403,6030.97021,6030.97021,6030.97021,6030.97021,33093904
20070404,6049.1499,6049.1499,6049.1499,6049.1499,21991728
20070407,6610.77002,6610.77002,6610.77002,6610.77002,36105888
20070408,6576.8501,6576.8501,6576.8501,6576.8501,45047560
20070409,6560.95996,6560.95996,6560.95996,6560.95996,41190664
20070410,6807.50977,6807.50977,6807.50977,6807.50977,44298328
20070411,6678.1499,6678.1499,6678.1499,6678.1499,36403328
20070414,6830.58008,6830.58008,6830.58008,6830.58008,41575448
20070415,6228.6001,6228.6001,6228.6001,6228.6001,27941320
20070416,6182.74023,6182.74023,6182.74023,6182.74023,27895536
20070417,5957.99023,5957.99023,5957.99023,5957.99023,24489392
20070418,5983.08984,5983.08984,5983.08984,5983.08984,21314760
20070421,5922.75,5922.75,5922.75,5922.75,20299830
20070422,5786.1001,5786.1001,5786.1001,5786.1001,26577200
20070423,5772.81006,5772.81006,5772.81006,5772.81006,21046102
20070424,5494.47998,5494.47998,5494.47998,5494.47998,23489484
20070425,5614.8999,5614.8999,5614.8999,5614.8999,26907600
20070428,6082.87012,6082.87012,6082.87012,6082.87012,29075374
20070429,5863.87012,5863.87012,5863.87012,5863.87012,38677648
20070430,5977.68994,5977.68994,5977.68994,5977.68994,24751458
20070501,6039.83008,6039.83008,6039.83008,6039.83008,36587432
20070502,6166.39014,6166.39014,6166.39014,6166.39014,56103184
20070505,5919.99023,5919.99023,5919.99023,5919.99023,33536544
20070506,6013.54004,6013.54004,6013.54004,6013.54004,29950014
20070507,6124.68994,6124.68994,6124.68994,6124.68994,33216300
20070508,6215.47998,6215.47998,6215.47998,6215.47998,35535656
20070509,6103.04004,6103.04004,6103.04004,6103.04004,24068132
20070512,6125.31982,6125.31982,6125.31982,6125.31982,26635864
20070513,6401.72998,6401.72998,6401.72998,6401.72998,34722004
20070514,6365.1499,6365.1499,6365.1499,6365.1499,20860356
20070515,6416.64014,6416.64014,6416.64014,6416.64014,26079472
20070516,6296.52979,6296.52979,6296.52979,6296.52979,21924120
20070519,6400.41016,6400.41016,6400.41016,6400.41016,26764026
20070520,6484.52002,6484.52002,6484.52002,6484.52002,25416670
20070521,6407.7002,6407.7002,6407.7002,6407.7002,21753968
20070522,6401.81982,6401.81982,6401.81982,6401.81982,22202868
20070523,6195.68994,6195.68994,6195.68994,6195.68994,18102732
20070526,6317.25,6317.25,6317.25,6317.25,23521038
20070527,6138.18994,6138.18994,6138.18994,6138.18994,16235324
20070528,6131.60986,6131.60986,6131.60986,6131.60986,22415616
20070529,5765.77979,5765.77979,5765.77979,5765.77979,12702443
20070530,5897.60986,5897.60986,5897.60986,5897.60986,11200714
20070602,5582.43994,5582.43994,5582.43994,5582.43994,9491485
20070603,5648.87012,5648.87012,5648.87012,5648.87012,8255819
20070604,5633.08008,5633.08008,5633.08008,5633.08008,15692187
20070605,5528.02979,5528.02979,5528.02979,5528.02979,15118538
20070606,5574.2998,5574.2998,5574.2998,5574.2998,11424652
20070609,5749.0498,5749.0498,5749.0498,5749.0498,10954278
20070610,5842.8501,5842.8501,5842.8501,5842.8501,15047171
20070611,5486.91016,5486.91016,5486.91016,5486.91016,8696327
20070612,5363.66992,5363.66992,5363.66992,5363.66992,6984550
20070613,5298.75,5298.75,5298.75,5298.75,9790730
20070616,4989.87988,4989.87988,4989.87988,4989.87988,7310293
20070617,4916.68994,4916.68994,4916.68994,4916.68994,7580003
20070618,4809.08984,4809.08984,4809.08984,4809.08984,5007312
20070619,4795.08984,4795.08984,4795.08984,4795.08984,7839159
20070620,4840.91016,4840.91016,4840.91016,4840.91016,7614966
20070623,4934.39014,4934.39014,4934.39014,4934.39014,17262308
20070624,5029.27979,5029.27979,5029.27979,5029.27979,18124386
20070625,4867.91992,4867.91992,4867.91992,4867.91992,8892938
20070626,4865.7998,4865.7998,4865.7998,4865.7998,16116487
20070627,4735.35986,4735.35986,4735.35986,4735.35986,11630029
20070630,4717.24023,4717.24023,4717.24023,4717.24023,7926693
20070701,4691.41016,4691.41016,4691.41016,4691.41016,5062816
20070702,4770.66016,4770.66016,4770.66016,4770.66016,7421490
20070703,4721.43018,4721.43018,4721.43018,4721.43018,4098684
20070704,4877.72998,4877.72998,4877.72998,4877.72998,11897547
20070707,5140.89014,5140.89014,5140.89014,5140.89014,16524360
20070708,5246.10986,5246.10986,5246.10986,5246.10986,20028056
