Date,Open,High,Low,Close,Vol
20070107,4847.27979,4847.27979,4847.27979,4847.27979,5931007
20070108,4881.83984,4881.83984,4881.83984,4881.83984,5120646
20070109,4875.27002,4875.27002,4875.27002,4875.27002,6417686
20070110,4909.77002,4909.77002,4909.77002,4909.77002,9288023
20070113,4447.47998,4447.47998,4447.47998,4447.47998,1582423
20070114,4047.62012,4047.62012,4047.62012,4047.62012,6167707
20070115,4115.45996,4115.45996,4115.45996,4115.45996,9464534
20070116,4098.1499,4098.1499,4098.1499,4098.1499,4771731
20070117,4084.88989,4084.88989,4084.88989,4084.88989,6081373
20070120,4002.51001,4002.51001,4002.51001,4002.51001,3950155
20070121,4025.1001,4025.1001,4025.1001,4025.1001,3830001
20070122,4031.79004,4031.79004,4031.79004,4031.79004,7718326
20070123,3908.21997,3908.21997,3908.21997,3908.21997,2759116
20070124,3662.5,3662.5,3662.5,3662.5,2805763
20070127,3665.20996,3665.20996,3665.20996,3665.20996,4832017
20070128,3981.33008,3981.33008,3981.33008,3981.33008,6130888
20070129,3979.97998,3979.97998,3979.97998,3979.97998,6286726
20070130,3941.5,3941.5,3941.5,3941.5,12164247
20070131,3991.94995,3991.94995,3991.94995,3991.94995,5120311
20070203,4070.40991,4070.40991,4070.40991,4070.40991,6384644
20070204,3988.03003,3988.03003,3988.03003,3988.03003,7853837
20070205,3928.23999,3928.23999,3928.23999,3928.23999,8438552
20070206,3934.87012,3934.87012,3934.87012,3934.87012,3262671
20070207,3934.87012,3934.87012,3934.87012,3934.87012,4399175
20070210,3988.03003,3988.03003,3988.03003,3988.03003,5774569
20070211,3942.8501,3942.8501,3942.8501,3942.8501,3938896
20070212,3940.20996,3940.20996,3940.20996,3940.20996,5405110
20070213,3974.77002,3974.77002,3974.77002,3974.77002,5789761
20070214,3929.59009,3929.59009,3929.59009,3929.59009,2768348
20070217,3948.18994,3948.18994,3948.18994,3948.18994,4069345
20070218,4140.81006,4140.81006,4140.81006,4140.81006,9150909
20070219,4205.93994,4205.93994,4205.93994,4205.93994,9443679
20070220,4106.31982,4106.31982,4106.31982,4106.31982,6649378
20070221,4255.18018,4255.18018,4255.18018,4255.18018,10548681
20070224,4382.66992,4382.66992,4382.66992,4382.66992,8477860
20070225,4293.66016,4293.66016,4293.66016,4293.66016,9279835
20070226,4378.68018,4378.68018,4378.68018,4378.68018,7293921
20070227,4431.83984,4431.83984,4431.83984,4431.83984,9953394
20070228,4292.37988,4292.37988,4292.37988,4292.37988,8820712
20070303,4475.72998,4475.72998,4475.72998,4475.72998,6912733
20070304,4829.06006,4829.06006,4829.06006,4829.06006,10156971
20070305,4911.5,4911.5,4911.5,4911.5,7955760
20070306,4907.64014,4907.64014,4907.64014,4907.64014,10745133
20070307,4950.18018,4950.18018,4950.18018,4950.18018,8865991
20070310,5040.47021,5040.47021,5040.47021,5040.47021,7495502
20070311,4869.02002,4869.02002,4869.02002,4869.02002,6889434
20070312,4975.33984,4975.33984,4975.33984,4975.33984,7176681
20070313,4720.22998,4720.22998,4720.22998,4720.22998,7387018
20070314,4946.06006,4946.06006,4946.06006,4946.06006,6711744
20070317,4817.22021,4817.22021,4817.22021,4817.22021,3832374
20070318,4881,4881,4881,4881,5489873
20070319,4967.35986,4967.35986,4967.35986,4967.35986,6156396
20070320,5077.66992,5077.66992,5077.66992,5077.66992,8371555
20070321,4989.9502,4989.9502,4989.9502,4989.9502,6514471
20070324,5131.99023,5131.99023,5131.99023,5131.99023,6308441
20070325,5376.35986,5376.35986,5376.35986,5376.35986,5629114
20070326,4842.31982,4842.31982,4842.31982,4842.31982,4930377
20070327,4783.75,4783.75,4783.75,4783.75,4170461
20070328,4496.77979,4496.77979,4496.77979,4496.77979,6645108
20070331,4176.6001,4176.6001,4176.6001,4176.6001,3203921
20070401,4383.29004,4383.29004,4383.29004,4383.29004,7117989
20070402,4128.5498,4128.5498,4128.5498,4128.5498,6318282
20070403,4181.93994,4181.93994,4181.93994,4181.93994,5863261
20070404,4238.9502,4238.9502,4238.9502,4238.9502,5426495
20070407,4644.00977,4644.00977,4644.00977,4644.00977,4298871
20070408,4647.41992,4647.41992,4647.41992,4647.41992,8161031
20070409,4612.41016,4612.41016,4612.41016,4612.41016,7885774
20070410,4647.41992,4647.41992,4647.41992,4647.41992,7425725
20070411,4593.3999,4593.3999,4593.3999,4593.3999,5088465
20070414,4358.74023,4358.74023,4358.74023,4358.74023,5165055
20070415,4230.62012,4230.62012,4230.62012,4230.62012,4576326
20070416,4374.95996,4374.95996,4374.95996,4374.95996,3649259
20070417,4140.93994,4140.93994,4140.93994,4140.93994,3088776
20070418,4168.27002,4168.27002,4168.27002,4168.27002,3858124
20070421,4129.62012,4129.62012,4129.62012,4129.62012,3225221
20070422,4153.31982,4153.31982,4153.31982,4153.31982,5579899
20070423,4311.97021,4311.97021,4311.97021,4311.97021,5894210
20070424,4169.97998,4169.97998,4169.97998,4169.97998,5934609
20070425,4213.31982,4213.31982,4213.31982,4213.31982,4862048
20070428,4500.72998,4500.72998,4500.72998,4500.72998,5199407
20070429,4291.68994,4291.68994,4291.68994,4291.68994,5998687
20070430,4402.72021,4402.72021,4402.72021,4402.72021,4463858
20070501,4467.41992,4467.41992,4467.41992,4467.41992,5968832
20070502,4504.79004,4504.79004,4504.79004,4504.79004,12847263
20070505,4279.72998,4279.72998,4279.72998,4279.72998,7864705
20070506,4292.75,4292.75,4292.75,4292.75,3963464
20070507,4356.81006,4356.81006,4356.81006,4356.81006,6181723
20070508,4448.83984,4448.83984,4448.83984,4448.83984,7818165
20070509,4419.16016,4419.16016,4419.16016,4419.16016,7052090
20070512,4350.18994,4350.18994,4350.18994,4350.18994,6799909
20070513,4388.2002,4388.2002,4388.2002,4388.2002,4828424
20070514,4342.50977,4342.50977,4342.50977,4342.50977,3299638
20070515,4334.81982,4334.81982,4334.81982,4334.81982,3264358
20070516,4354.45996,4354.45996,4354.45996,4354.45996,3429697
20070519,4381.1499,4381.1499,4381.1499,4381.1499,3025839
20070520,4445.8501,4445.8501,4445.8501,4445.8501,7639642
20070521,4418.52002,4418.52002,4418.52002,4418.52002,4319098
20070522,4363.85986,4363.85986,4363.85986,4363.85986,3771220
