Date,Open,High,Low,Close,Vol
20170109,4952.0498,4958.85986,4865.79004,4886.89014,35784320
20170110,4886.89014,4886.9502,4827.4502,4844.1001,39179440
20170111,4844.1001,4855.75,4782.31982,4782.66016,46726888
20170112,4782.66016,4823.1499,4782.66016,4809.56006,38033368
20170115,4809.56006,4835.75977,4796.47021,4812.0498,23818452
20170116,4812.0498,4816.25,4735.47021,4744.02979,33892064
20170117,4744.02979,4807.06006,4685.87988,4800.0498,35814120
20170118,4800.0498,4810.99023,4766.95996,4771.77002,34215500
20170119,4771.77002,4783.56006,4744.16992,4758.02002,45615876
20170122,4758.02002,4822.29004,4725.81006,4822.29004,40163456
20170123,4822.29004,4902.12012,4816.9502,4896.49023,56629032
20170124,4896.49023,4974.97998,4896.56006,4964.52002,53112168
20170125,4964.52002,5016.12012,4963.22998,5001.16992,48214864
20170126,5001.16992,5039.2002,4990.04004,5009.1001,39106032
20170129,5009.1001,5049.27002,4993.97998,5039.74023,35148060
20170130,5039.74023,5049.02002,5001.8501,5006.45996,47964944
20170131,5006.45996,5006.45996,4965.72021,4984.25,38731712
20170201,4984.25,5006.62012,4980.22021,4995.02002,29991090
20170202,4995.02002,5036.06982,4985.20996,4997.0498,29125570
20170205,4997.0498,5015.1001,4968.3999,4972.56982,25072872
20170206,4972.56982,5012.02979,4968.7002,5011.77002,24695880
20170207,5011.77002,5017.18018,4979.24023,4993.20996,31575904
20170208,4993.20996,4993.6001,4925.3501,4925.72021,32888050
20170209,4925.72021,4957.4502,4913.1001,4950.27979,24877812
20170212,4950.27979,4995.56006,4950.27979,4973.5,28258836
20170213,4973.5,4995.77979,4967.0498,4984.79004,32468892
20170214,4984.79004,4994.31006,4956.93018,4971.16992,23686050
20170215,4971.16992,4994.43994,4960.20996,4986.64014,21139786
20170216,4986.64014,5044.93994,4986.77002,5024.45996,45278032
20170219,5024.45996,5046.00977,5007.6499,5015.00977,38199224
20170220,5015.00977,5021.02979,4971.68994,4973.25,39162780
20170221,4973.25,4978.22998,4934.35986,4963.7998,28958642
20170222,4963.7998,5025.27002,4963.7998,5001.62988,41749972
20170223,5001.62988,5001.79004,4966.5,4984,32335248
20170226,4984,5013.43994,4984.12988,4991.62012,33160540
20170227,4991.62012,4997.66016,4930.7002,4936.08984,27542780
20170228,4936.08984,4948.70996,4903.50977,4948.45996,27940660
20170301,4948.45996,4958.79004,4927.85986,4945.2002,22106482
20170302,4945.2002,4976.5,4943.20996,4971.10986,33419356
20170305,4971.10986,4974.74023,4936.24023,4937.12012,22496396
20170306,4937.12012,4970.66992,4926.83984,4970.66992,20952084
20170307,4970.66992,4982.91992,4956.9502,4968.14014,26090324
20170308,4968.14014,4974.12012,4946.20996,4947.22998,18877730
20170309,4947.22998,4947.16016,4881.24023,4890.7002,31355620
20170312,4890.7002,4891.41016,4806.8999,4820.08008,17800404
20170313,4820.08008,4836.87012,4800.25977,4813.31982,22532808
20170314,4813.31982,4815.35986,4744.52002,4800.37012,26709416
20170315,4800.37012,4812.33008,4785.06006,4795.62012,21678794
20170316,4795.62012,4864.08008,4784.58984,4853.93018,21108920
20170319,4853.93018,4873.22021,4838.37012,4859.18994,17855188
20170320,4859.18994,4866.99023,4837.35986,4837.35986,20480140
20170321,4837.35986,4856.0498,4808.91992,4817.56982,18524010
20170322,4817.56982,4817.52002,4742.06982,4751.75977,21696720
20170323,4751.75977,4791.62012,4751.75977,4773,18685024
20170326,4773,4812.91992,4773,4787.18994,19993300
