Date,Open,High,Low,Close,Vol
20070107,4945.33008,4945.33008,4945.33008,4945.33008,21359674
20070108,4950.62012,4950.62012,4950.62012,4950.62012,15299617
20070109,4936.00977,4936.00977,4936.00977,4936.00977,25773960
20070110,4815.66992,4815.66992,4815.66992,4815.66992,22781268
20070113,4651.25977,4651.25977,4651.25977,4651.25977,18203590
20070114,4598.8999,4598.8999,4598.8999,4598.8999,18801144
20070115,4687.35986,4687.35986,4687.35986,4687.35986,48081652
20070116,4573.22021,4573.22021,4573.22021,4573.22021,29660676
20070117,4561.72021,4561.72021,4561.72021,4561.72021,38062588
20070120,4583.3501,4583.3501,4583.3501,4583.3501,125868152
20070121,4603.8501,4603.8501,4603.8501,4603.8501,81368200
20070122,4780.43018,4780.43018,4780.43018,4780.43018,63157720
20070123,4683.56982,4683.56982,4683.56982,4683.56982,37855784
20070124,4599.43018,4599.43018,4599.43018,4599.43018,31503240
20070127,4685.66016,4685.66016,4685.66016,4685.66016,33475108
20070128,4760.7002,4760.7002,4760.7002,4760.7002,49339784
20070129,4685.66016,4685.66016,4685.66016,4685.66016,39608548
20070130,4695.08008,4695.08008,4695.08008,4695.08008,18992048
20070131,4778.10986,4778.10986,4778.10986,4778.10986,30927196
20070203,4931.56982,4931.56982,4931.56982,4931.56982,46824472
20070204,4840.6001,4840.6001,4840.6001,4840.6001,29890700
20070205,4883.1499,4883.1499,4883.1499,4883.1499,23774056
20070206,5030.99023,5030.99023,5030.99023,5030.99023,21707736
20070207,5080.56006,5080.56006,5080.56006,5080.56006,21786462
20070210,5106.79004,5106.79004,5106.79004,5106.79004,32768462
20070211,5156.9502,5156.9502,5156.9502,5156.9502,60718784
20070212,5219.95996,5219.95996,5219.95996,5219.95996,27075500
20070213,5288.52979,5288.52979,5288.52979,5288.52979,17609966
20070214,5351.14014,5351.14014,5351.14014,5351.14014,46666024
20070217,5481.52002,5481.52002,5481.52002,5481.52002,45040648
20070218,5470.3999,5470.3999,5470.3999,5470.3999,49714160
