Date,Open,High,Low,Close,Vol
20070107,5067.39014,5067.39014,5067.39014,5067.39014,23996524
20070108,5059.56982,5059.56982,5059.56982,5059.56982,12045448
20070109,5105.75977,5105.75977,5105.75977,5105.75977,25296744
20070110,4948.68018,4948.68018,4948.68018,4948.68018,16392887
20070113,4584.33984,4584.33984,4584.33984,4584.33984,11510563
20070114,4562.18018,4562.18018,4562.18018,4562.18018,11916407
20070115,4740.56006,4740.56006,4740.56006,4740.56006,22780616
20070116,4595.66992,4595.66992,4595.66992,4595.66992,8749523
20070117,4675.25977,4675.25977,4675.25977,4675.25977,25569864
20070120,4622.56006,4622.56006,4622.56006,4622.56006,12972018
20070121,4736.16992,4736.16992,4736.16992,4736.16992,19514042
20070122,4693.81006,4693.81006,4693.81006,4693.81006,12953184
20070123,4599.16992,4599.16992,4599.16992,4599.16992,7318079
20070124,4380.52002,4380.52002,4380.52002,4380.52002,14920296
20070127,4478.10986,4478.10986,4478.10986,4478.10986,15065642
20070128,4490.91992,4490.91992,4490.91992,4490.91992,14692021
20070129,4419.77002,4419.77002,4419.77002,4419.77002,9669412
20070130,4395.75977,4395.75977,4395.75977,4395.75977,5912766
20070131,4433.16016,4433.16016,4433.16016,4433.16016,9757308
20070203,4572.16016,4572.16016,4572.16016,4572.16016,24457428
20070204,4489.18018,4489.18018,4489.18018,4489.18018,13175523
20070205,4479.27979,4479.27979,4479.27979,4479.27979,11419561
20070206,4608.75,4608.75,4608.75,4608.75,24097590
20070207,4546.18018,4546.18018,4546.18018,4546.18018,25399906
20070210,4569.91992,4569.91992,4569.91992,4569.91992,27883168
20070211,4508.43018,4508.43018,4508.43018,4508.43018,13186528
20070212,4462.41992,4462.41992,4462.41992,4462.41992,13423675
20070213,4498.50977,4498.50977,4498.50977,4498.50977,10111299
20070214,4594.25977,4594.25977,4594.25977,4594.25977,36822600
20070217,4672.1001,4672.1001,4672.1001,4672.1001,25607756
20070218,4733.25977,4733.25977,4733.25977,4733.25977,26102252
20070219,4911.2002,4911.2002,4911.2002,4911.2002,49678000
20070220,4807.68994,4807.68994,4807.68994,4807.68994,20446726
20070221,5052.6499,5052.6499,5052.6499,5052.6499,49447356
20070224,5204.87988,5204.87988,5204.87988,5204.87988,47836308
20070225,5178.81006,5178.81006,5178.81006,5178.81006,26745360
20070226,5131.39014,5131.39014,5131.39014,5131.39014,19290296
20070227,5173.93994,5173.93994,5173.93994,5173.93994,38094344
20070228,5025.9502,5025.9502,5025.9502,5025.9502,20609600
20070303,5331.5498,5331.5498,5331.5498,5331.5498,59618980
20070304,5582.25,5582.25,5582.25,5582.25,49218952
20070305,5847.35986,5847.35986,5847.35986,5847.35986,65348604
20070306,6240.12012,6240.12012,6240.12012,6240.12012,59467104
20070307,6204.93994,6204.93994,6204.93994,6204.93994,65245848
20070310,6232.33008,6232.33008,6232.33008,6232.33008,53486484
20070311,5906.2002,5906.2002,5906.2002,5906.2002,37787520
20070312,6059.08984,6059.08984,6059.08984,6059.08984,42232860
20070313,5738.9502,5738.9502,5738.9502,5738.9502,36304320
20070314,5824.5498,5824.5498,5824.5498,5824.5498,25411916
20070317,5901.50977,5901.50977,5901.50977,5901.50977,42834096
20070318,6230.95996,6230.95996,6230.95996,6230.95996,68743768
20070319,6285.33008,6285.33008,6285.33008,6285.33008,45317696
20070320,6327.56982,6327.56982,6327.56982,6327.56982,39528036
20070321,6277.37988,6277.37988,6277.37988,6277.37988,37694496
20070324,6206,6206,6206,6206,35924228
20070325,6325.29004,6325.29004,6325.29004,6325.29004,44861156
20070326,5793.5,5793.5,5793.5,5793.5,59192700
20070327,5549.31006,5549.31006,5549.31006,5549.31006,50119800
20070328,5378.2002,5378.2002,5378.2002,5378.2002,54980496
20070331,5043.64014,5043.64014,5043.64014,5043.64014,25014316
20070401,5328.66016,5328.66016,5328.66016,5328.66016,48877968
20070402,4970.16992,4970.16992,4970.16992,4970.16992,50702120
