Date,Open,High,Low,Close,Vol
20170109,4956.75,5025,4910.52979,4942.8501,9281126
20170110,4942.8501,4969.8999,4848.5498,4854.8999,4761649
20170111,4854.8999,4860.25,4791.64014,4802.74023,4079082
20170112,4802.74023,4845.20996,4791.16992,4821.37012,2775143
20170115,4821.37012,4838.27979,4788.8999,4805.0498,2286492
20170116,4805.0498,4838.72998,4702.43994,4745.3501,3259455
20170117,4745.3501,4881.60986,4695.27002,4881.60986,4554848
20170118,4881.60986,4898.25,4850.52979,4859.43018,4727001
20170119,4859.43018,4858.5,4808.91992,4815.75977,3362541
20170122,4815.75977,4848.52979,4805.12988,4838.06982,4992692
20170123,4838.06982,4928.91016,4839.8999,4928.91016,6824294
20170124,4928.91016,4976.95996,4928.91016,4952.41992,5704979
20170125,4952.41992,5027.41992,4953.64014,5017.91016,7355607
20170126,5017.91016,5116.77002,5017.49023,5043.99023,4330786
20170129,5043.99023,5113.31982,5044.6001,5110.25,3865223
20170130,5110.25,5115.75977,5054.83984,5064.60986,2967739
20170131,5064.60986,5064.2998,4958.43994,5013.83984,2885475
20170201,5013.83984,5067.52979,4965.6499,5062.99023,3073561
20170202,5062.99023,5070.83984,5034.22998,5066.85986,3878875
20170205,5066.85986,5076.6499,5010.3999,5014.35986,1941886
20170206,5014.35986,5122.2998,5009.66016,5121.45996,2062244
20170207,5121.45996,5126.2002,5097.10986,5115.58008,1899660
20170208,5115.58008,5115.58008,5017.60986,5036.5,2113661
20170209,5036.5,5083.95996,5023.93994,5069.12012,2018671
20170212,5069.12012,5168.75,5069.12988,5131.37988,2169392
20170213,5131.37988,5447.8501,5131.99023,5279.43994,2936743
20170214,5279.43994,5367.33008,5202.06006,5246.16016,2113328
20170215,5246.16016,5262.0498,5172.02979,5260.41016,1166013
20170216,5260.41016,5302.58008,5248.00977,5248.62012,1617539
20170219,5248.62012,5293.20996,5230.18018,5230.6001,2513038
20170220,5230.6001,5245.58008,5132.5,5139.27002,4041678
20170221,5139.27002,5235.70996,5093.24023,5188.22021,1987327
20170222,5188.22021,5228.56982,5152.47998,5165.06982,1615714
20170223,5165.06982,5171.50977,5112.06006,5119.06982,1251627
20170226,5119.06982,5171.7002,5113.75977,5124.70996,1295925
20170227,5124.70996,5130.12988,5018.1499,5030.27979,2865981
20170228,5030.27979,5110.2998,5002.6499,5082.97021,1595774
20170301,5082.97021,5082.97021,5028.64014,5040.27002,1469101
20170302,5040.27002,5193.3501,5040.27002,5178.25,3356125
20170305,5178.25,5181.47998,5095.16016,5134.83984,1718858
20170306,5134.83984,5144.5,5097.31982,5128.52002,1461914
20170307,5128.52002,5137.50977,5112.64014,5132.45996,1910512
20170308,5132.45996,5135.43994,5101.06982,5101.06982,2588812
20170309,5101.06982,5100.45996,4984.47998,5004.35986,2113701
20170312,5004.35986,5004.35986,4858.97998,4871.25,1652666
20170313,4871.25,4912.08008,4846.74023,4860.12012,2462310
20170314,4860.12012,4912.18994,4800.25977,4911.3501,3923913
20170315,4911.3501,4943.47998,4877.02002,4914.52002,2503752
20170316,4914.52002,5011.24023,4914.52002,4978.50977,3528691
20170319,4978.50977,5039.16992,4980.33008,5024.9502,4757412
20170320,5024.9502,5089.6499,5022.75,5073.22998,2337939
20170321,5073.22998,5147.50977,5052.93994,5059.2998,5135685
20170322,5059.2998,5061.25,5003.72021,5044.29004,7553604
20170323,5044.29004,5070.2002,5035.62988,5057.72998,9243122
20170326,5057.72998,5119.45996,5057.47021,5092.18018,3297361
20170327,5092.18018,5121.75,5075.06006,5115.3999,3412226
20170328,5115.3999,5169.06982,5096.43994,5099.27002,5212637
20170329,5099.27002,5170.1499,5100.49023,5168.91992,1970581
20170330,5168.91992,5292.37012,5160.16992,5281.93994,1663058
20170402,5281.93994,5310.33008,5201.20996,5250.54004,1862177
20170403,5250.54004,5264.00977,5208.25977,5208.25977,1517749
20170404,5208.25977,5221.77002,5202.62012,5210.2998,1457783
20170405,5210.2998,5295.83984,5212.12988,5295.41992,4902297
20170406,5295.41992,5298.91016,5259.04004,5270.93018,2556976
20170409,5270.93018,5284.75,5240.66992,5244.39014,2538877
20170410,5244.39014,5264.66992,5222.22998,5264.66992,4032465
20170411,5264.66992,5282.3999,5213.2002,5213.2002,2396179
20170412,5213.2002,5238.41992,5150.10986,5199.47021,1463467
20170413,5199.47021,5205.66016,5075.97998,5081.31006,1664297
20170416,5081.31006,5093.8999,4972.25977,5029.25,1296075
20170417,5029.25,5064.87988,5007.41016,5050.12012,1040592
20170418,5050.12012,5069.08984,4983.58008,4986.8999,1262526
20170419,4986.8999,5021.81006,4982.70996,5017.43994,1988058
20170420,5017.43994,5017.43994,4961.20996,4971.06982,1687817
20170423,4971.06982,5285.1001,4977.16016,5278.74023,2065605
20170424,5278.74023,5431.54004,5278.74023,5387.8501,1486808
20170425,5387.8501,5523.37012,5387.8501,5471.75977,5186821
20170426,5471.75977,5514.45996,5407.83984,5433.31982,5918767
20170427,5433.31982,5447.85986,5398.75,5401.87012,2476323
20170430,5401.87012,5495.6001,5385.66992,5490.81006,3586292
20170501,5490.81006,5569.93994,5490.81006,5537.56982,3615217
20170502,5537.56982,5560.64014,5493.27002,5554.33984,6184962
20170503,5554.33984,5556.20996,5511.56982,5523.47998,2613507
