Date,Open,High,Low,Close,Vol
20170109,4970.99023,4970.99023,4874.54004,4957.93994,29233852
20170110,4957.93994,4962.43018,4872.97021,4876.83984,25537076
20170111,4876.83984,4891.33984,4742.33984,4769.5498,31357580
20170112,4769.5498,4819.60986,4747.58984,4770.2002,32291306
20170115,4770.2002,4856.41016,4768.37988,4856.41016,48381100
20170116,4856.41016,4866.31982,4733.58984,4763.68018,38241280
20170117,4763.68018,4842.72021,4712.06006,4827.5,25260418
20170118,4827.5,4850.16016,4771.5498,4826.8999,28992112
20170119,4826.8999,4835.68018,4777.31982,4802.75,22385732
20170122,4802.75,4845.39014,4766.97998,4843.9502,70249952
20170123,4843.9502,4891.64014,4819.04004,4886.95996,71009872
20170124,4886.95996,4919.97021,4876.45996,4881.00977,56776096
20170125,4881.00977,4913.68018,4848.02002,4857.22998,55974916
20170126,4857.22998,4873.97021,4816.04004,4830.25977,36007344
20170129,4830.25977,4887.25977,4812.16016,4870.8501,28156042
20170130,4870.8501,4885.43994,4815.33008,4820.1499,47281512
20170131,4820.1499,4841.33984,4802.41016,4820.77002,31136732
20170201,4820.77002,4828.00977,4803.08008,4814.8501,28958568
20170202,4814.8501,4835.58984,4803.81006,4824.47021,17258132
20170205,4824.47021,4853.72021,4785.0498,4797.56006,16465076
20170206,4797.56006,4800.33984,4758.1001,4784.60986,22676698
20170207,4784.60986,4808.6001,4770.08984,4775.70996,35798812
20170208,4775.70996,4777.7998,4719.52979,4735.5,41183836
20170209,4735.5,4761.4502,4723.83984,4726.33008,19865066
20170212,4726.33008,4771.22021,4723.16016,4737.50977,12623368
20170213,4737.50977,4763.3501,4727.33984,4757.62988,32002556
20170214,4757.62988,4771.83008,4738.83008,4744.70996,31000368
20170215,4744.70996,4824.5,4737.3999,4814.75,37196600
20170216,4814.75,4920.5,4803.95996,4879.02979,40437656
20170219,4879.02979,4910.20996,4863.58008,4893.70996,34225880
20170220,4893.70996,4895.7998,4825.6001,4835.00977,32990832
20170221,4835.00977,4841.83984,4794.7998,4816.25,25097292
20170222,4816.25,4836.99023,4693.66016,4698.97998,21145660
20170223,4698.97998,4742.52979,4696.81006,4724.0498,17352776
20170226,4724.0498,4746.41992,4709.58984,4722.91016,43528912
20170227,4722.91016,4746.25,4691.1001,4695.12988,49295712
20170228,4695.12988,4713.02979,4653.99023,4706.97021,19659442
20170301,4706.97021,4736.74023,4691.16992,4697.4502,12346442
20170302,4697.4502,4754.22021,4692.85986,4754.22021,45395880
20170305,4754.22021,4757.58984,4680.2002,4680.2002,37312720
20170306,4680.2002,4689.91016,4656.58008,4669.6499,21697588
20170307,4669.6499,4705.97021,4666.18994,4685.77979,24283842
20170308,4685.77979,4724.93994,4675.02002,4721.81982,15348455
20170309,4721.81982,4839.83984,4711.97998,4763.72021,41266968
20170312,4763.72021,4764.77002,4654.12988,4672.87012,31873036
20170313,4672.87012,4711.27002,4645.5,4645.81982,28730164
20170314,4645.81982,4682.75,4579.33008,4682.75,30983264
20170315,4682.75,4751.8999,4682.99023,4748.27979,31248820
20170316,4748.27979,4860.1001,4738.68994,4808.29004,14860459
20170319,4808.29004,4854.99023,4781.43018,4823.18994,11673853
20170320,4823.18994,4824.5,4800.8501,4804.1001,23297168
20170321,4804.1001,4843.62988,4763.02002,4765.81982,13447875
20170322,4765.81982,4841.79004,4759.79004,4785.68018,15499578
20170323,4785.68018,4830.24023,4759.08984,4776.43994,8269631
20170326,4776.43994,4805.14014,4747.24023,4796.45996,15106129
20170327,4796.45996,4800.99023,4755.70996,4797.62988,5990892
20170328,4797.62988,4815.83984,4758.3501,4780.41992,7409231
20170329,4780.41992,4821.06006,4780.41992,4817.75,13458507
20170330,4817.75,4851.83984,4782.87988,4839.35986,16170207
20170402,4839.35986,4869.77979,4805.81006,4842.6499,9439752
20170403,4842.6499,4895.97998,4825.24023,4887.45996,11502787
20170404,4887.45996,4921.54004,4850.87012,4902.58008,6515095
20170405,4902.58008,5091.24023,4890.14014,4985.89014,19382128
20170406,4985.89014,5020.02002,4941.9502,4967.02979,16839340
20170409,4967.02979,4993.75977,4951.97998,4953.37012,7421657
20170410,4953.37012,4967.47998,4910.04004,4937.8501,5284152
20170411,4937.8501,4951.12988,4916.8501,4942.68994,6571780
20170412,4942.68994,4962.25,4925.2002,4940.0498,12937205
20170413,4940.0498,4957.99023,4913.58984,4913.66992,9542562
20170416,4913.66992,4907.56982,4857.29004,4879,11953265
20170417,4879,4908.97998,4871.22998,4877.79004,56238488
20170418,4877.79004,4890.83984,4826.97021,4842.77979,41268848
20170419,4842.77979,4842.77979,4800.35986,4820.83008,10348348
20170420,4820.83008,4831.75977,4796.66016,4805.74023,48735632
20170423,4805.74023,4891.89014,4799.62988,4880.3501,67467592
20170424,4880.3501,4889.25977,4827.52979,4877.8501,30408624
20170425,4877.8501,4881.72021,4831.2002,4835.12012,85919496
