Date,Open,High,Low,Close,Vol
20170109,5000,5360.35986,4954.9502,5225.22998,1595350
20170110,5225.22998,5472.97021,5180.18018,5180.18018,3256458
20170111,5180.18018,5315.31982,5135.14014,5270.27002,1112940
20170112,5270.27002,5405.41016,5247.75,5315.31982,1607029
20170115,5315.31982,5337.83984,5247.75,5270.27002,479655
20170116,5270.27002,5450.4502,5202.7002,5337.83984,1943291
20170117,5337.83984,5405.41016,5225.22998,5405.41016,1411722
20170118,5405.41016,5653.1499,5405.41016,5608.10986,4950664
20170119,5608.10986,5653.1499,5337.83984,5382.87988,2859924
20170122,5382.87988,5427.93018,5270.27002,5337.83984,1502511
20170123,5337.83984,5337.83984,5247.75,5292.79004,941815
20170124,5292.79004,5337.83984,5247.75,5315.31982,993705
20170125,5315.31982,5315.31982,5247.75,5270.27002,603570
20170126,5270.27002,5270.27002,5180.18018,5202.7002,386249
20170129,5202.7002,5292.79004,5202.7002,5247.75,331386
20170130,5247.75,5270.27002,5202.7002,5225.22998,375307
20170131,5225.22998,5225.22998,5157.66016,5202.7002,327372
20170201,5202.7002,5202.7002,5180.18018,5202.7002,181803
20170202,5202.7002,5247.75,5180.18018,5225.22998,166161
20170205,5225.22998,5225.22998,5180.18018,5202.7002,292306
20170206,5202.7002,5270.27002,5180.18018,5202.7002,291008
20170207,5202.7002,5315.31982,5180.18018,5270.27002,637437
20170208,5270.27002,5427.93018,5225.22998,5337.83984,1215799
20170209,5337.83984,5450.4502,5337.83984,5405.41016,2752515
20170212,5405.41016,5495.5,5360.35986,5382.87988,1556269
20170213,5382.87988,5427.93018,5337.83984,5405.41016,1075564
20170214,5405.41016,5585.58984,5382.87988,5585.58984,3683802
20170215,5585.58984,5585.58984,5405.41016,5450.4502,2601808
20170216,5450.4502,5472.97021,5405.41016,5405.41016,1730189
20170219,5405.41016,5427.93018,5270.27002,5315.31982,14497725
20170220,5315.31982,5405.41016,5270.27002,5270.27002,8671675
20170221,5270.27002,5810.81006,5270.27002,5810.81006,28291408
20170222,5810.81006,6013.50977,5743.24023,5878.37988,31587280
20170223,5878.37988,6396.3999,5833.33008,6238.74023,34187272
20170226,6238.74023,6824.31982,6283.77979,6824.31982,14807830
20170227,6824.31982,7454.9502,6148.6499,6148.6499,58658504
20170228,6148.6499,6238.74023,5563.06006,5855.85986,40237416
20170301,5855.85986,6418.91992,5900.8999,6418.91992,23716038
20170302,6418.91992,6981.97998,6418.91992,6711.70996,54186808
20170305,6711.70996,6779.27979,6396.3999,6509.00977,30370006
20170306,6509.00977,6599.1001,6306.31006,6351.3501,13700260
20170307,6351.3501,6418.91992,6036.04004,6193.68994,12919790
20170308,6193.68994,6463.95996,6148.6499,6306.31006,23097032
20170309,6306.31006,6644.14014,6328.83008,6418.91992,19986484
20170312,6418.91992,6509.00977,6216.22021,6328.83008,8778377
20170313,6328.83008,6396.3999,5855.85986,5945.9502,13083919
20170314,5945.9502,6171.16992,5765.77002,6126.12988,16562785
20170315,6126.12988,6216.22021,5990.99023,6058.56006,10815161
20170316,6058.56006,6103.6001,5968.47021,6013.50977,4602115
20170319,6013.50977,6103.6001,5945.9502,6058.56006,8575059
20170320,6058.56006,6058.56006,5923.41992,5945.9502,4524312
20170321,5945.9502,6193.68994,5968.47021,6013.50977,14786980
20170322,6013.50977,6013.50977,5855.85986,5878.37988,9194514
20170323,5878.37988,5968.47021,5878.37988,5945.9502,7508170
20170326,5945.9502,5968.47021,5900.8999,5923.41992,3249954
20170327,5923.41992,5900.8999,5810.81006,5855.85986,2509700
20170328,5855.85986,5900.8999,5810.81006,5878.37988,3675965
20170329,5878.37988,5900.8999,5833.33008,5855.85986,1947716
20170330,5855.85986,5855.85986,5810.81006,5833.33008,1540218
20170402,5833.33008,6354.87988,5813.43994,6339.91992,25674388
20170403,6339.91992,6503.27002,6170.62012,6264.70996,30226480
20170404,6264.70996,6309.43018,6085.97021,6125.75,8809386
20170405,6125.75,6259.77002,6106.00977,6219.83984,7486373
20170406,6219.83984,6249.60986,6140.41992,6165.25,5321592
20170409,6165.25,6289.39014,6120.52979,6219.83984,8646354
20170410,6219.83984,6349.50977,6205.02979,6274.87012,8734957
20170411,6274.87012,6309.72021,6190.37012,6195.2998,3162433
20170412,6195.2998,6309.87012,6076.39014,6111.24023,9080793
20170413,6111.24023,6155.95996,6046.77002,6056.64014,3258636
20170416,6056.64014,6215.33984,6021.7998,6091.2002,7638441
20170417,6091.2002,6130.97998,6056.64014,6086.41016,2509433
20170418,6086.41016,6329.75977,6076.54004,6200.52979,14870965
20170419,6200.52979,6354.72998,6170.77002,6230.74023,11221719
20170420,6230.74023,6360.10986,6071.6001,6116.31982,9396849
20170423,6116.31982,6255.41992,6126.18994,6190.9502,3428742
20170424,6190.9502,6280.54004,6166.12012,6250.77002,4263163
20170425,6250.77002,6335.27979,6181.08008,6335.27979,4786593
20170426,6335.27979,6414.8501,6290.56006,6345.2998,7066058
20170427,6345.2998,6846.95996,6390.16992,6662.99023,28052924
20170430,6662.99023,6817.0498,6409.62012,6459.27979,13484643
20170501,6459.27979,6558.74023,6434.4502,6499.06006,5781180
20170502,6499.06006,6499.06006,6359.81982,6404.68018,5726218
20170503,6404.68018,6499.06006,6280.39014,6359.95996,28990328
