Date,Open,High,Low,Close,Vol
20070107,3096.21997,3096.21997,3096.21997,3096.21997,579114
20070108,3058.27002,3058.27002,3058.27002,3058.27002,926978
20070109,3048.05005,3048.05005,3048.05005,3048.05005,568412
20070110,3009.33008,3009.33008,3009.33008,3009.33008,1269285
20070113,2883.6001,2883.6001,2883.6001,2883.6001,1649008
20070114,2880.62988,2880.62988,2880.62988,2880.62988,1643131
20070115,2895.26001,2895.26001,2895.26001,2895.26001,2462987
20070116,2820.03003,2820.03003,2820.03003,2820.03003,1893958
20070117,2782.08008,2782.08008,2782.08008,2782.08008,2015607
20070120,2763.82007,2763.82007,2763.82007,2763.82007,891633
20070121,2782.08008,2782.08008,2782.08008,2782.08008,1154870
20070122,2810.57007,2810.57007,2810.57007,2810.57007,3046247
20070123,2791.54004,2791.54004,2791.54004,2791.54004,1561669
20070124,2679.79004,2679.79004,2679.79004,2679.79004,2886872
20070127,2597.17993,2597.17993,2597.17993,2597.17993,3232214
20070128,2581.12012,2581.12012,2581.12012,2581.12012,2027363
20070129,2567.27002,2567.27002,2567.27002,2567.27002,1533495
20070130,2502.26001,2502.26001,2502.26001,2502.26001,2748583
20070131,2506.65991,2506.65991,2506.65991,2506.65991,2150797
20070203,2500.84009,2500.84009,2500.84009,2500.84009,2926004
20070204,2494.22998,2494.22998,2494.22998,2494.22998,1668788
20070205,2504.45996,2504.45996,2504.45996,2504.45996,2374724
20070206,2561.56006,2561.56006,2561.56006,2561.56006,3763048
20070207,2549.12988,2549.12988,2549.12988,2549.12988,3078484
20070210,2565.18994,2565.18994,2565.18994,2565.18994,1528485
20070211,2587.84009,2587.84009,2587.84009,2587.84009,1466193
20070212,2622.15991,2622.15991,2622.15991,2622.15991,1821971
20070213,2727.42993,2727.42993,2727.42993,2727.42993,4956582
20070214,2813.78003,2813.78003,2813.78003,2813.78003,5169493
20070217,2815.33008,2815.33008,2815.33008,2815.33008,2839104
20070218,2791.8999,2791.8999,2791.8999,2791.8999,2402421
20070219,2818.95996,2818.95996,2818.95996,2818.95996,2708748
20070220,2846.66992,2846.66992,2846.66992,2846.66992,3313360
20070221,2834.23999,2834.23999,2834.23999,2834.23999,3104010
20070224,2842.27002,2842.27002,2842.27002,2842.27002,2530658
20070225,2987.80005,2987.80005,2987.80005,2987.80005,7859818
20070226,2971.73999,2971.73999,2971.73999,2971.73999,4602286
20070227,2900.13989,2900.13989,2900.13989,2900.13989,3071191
20070228,2828.53003,2828.53003,2828.53003,2828.53003,2324417
20070303,2873.18994,2873.18994,2873.18994,2873.18994,2921371
20070304,2951.3999,2951.3999,2951.3999,2951.3999,3663003
20070305,2991.54004,2991.54004,2991.54004,2991.54004,2903629
20070306,2992.19995,2992.19995,2992.19995,2992.19995,3871499
20070307,3039.71997,3039.71997,3039.71997,3039.71997,3925571
20070310,3121.55005,3121.55005,3121.55005,3121.55005,4976655
20070311,3044.77002,3044.77002,3044.77002,3044.77002,2667815
20070312,3049.16992,3049.16992,3049.16992,3049.16992,2885387
20070313,2934.44995,2934.44995,2934.44995,2934.44995,1969583
20070314,2965.13989,2965.13989,2965.13989,2965.13989,1532145
20070317,2947.6499,2947.6499,2947.6499,2947.6499,1550906
20070318,2931.6001,2931.6001,2931.6001,2931.6001,2434710
20070319,2995.29004,2995.29004,2995.29004,2995.29004,5920152
20070320,2966.03003,2966.03003,2966.03003,2966.03003,3097376
20070321,2964.6001,2964.6001,2964.6001,2964.6001,3438352
20070324,2916.42993,2916.42993,2916.42993,2916.42993,3018395
20070325,2883.54004,2883.54004,2883.54004,2883.54004,2056163
20070326,2678.17993,2678.17993,2678.17993,2678.17993,3402674
20070327,2595.57007,2595.57007,2595.57007,2595.57007,3996571
20070328,2576.65991,2576.65991,2576.65991,2576.65991,3098099
20070331,2470.62012,2470.62012,2470.62012,2470.62012,2750880
20070401,2564.97998,2564.97998,2564.97998,2564.97998,2312101
20070402,2519.37012,2519.37012,2519.37012,2519.37012,2153254
20070403,2507.93994,2507.93994,2507.93994,2507.93994,2143971
20070404,2576.09009,2576.09009,2576.09009,2576.09009,2074126
20070407,2662.67993,2662.67993,2662.67993,2662.67993,4271872
20070408,2617.16992,2617.16992,2617.16992,2617.16992,2228553
20070409,2573.92993,2573.92993,2573.92993,2573.92993,1401689
