Date,Open,High,Low,Close,Vol
20170109,4964.08008,4966.1499,4760.72998,4889.7002,7917535
20170110,4889.7002,4899.22998,4763.72021,4777.70996,8544272
20170111,4777.70996,4785.8501,4599.74023,4620.33008,7933234
20170112,4620.33008,4652.25977,4542.31982,4569.43994,5455230
20170115,4569.43994,4580.8999,4500.52979,4536.6499,4000835
20170116,4536.6499,4548.37012,4480.79004,4497.72021,2865062
20170117,4497.72021,4540.79004,4487.58984,4529.72998,4145465
20170118,4529.72998,4562.72021,4473.56006,4532.66016,3977519
20170119,4532.66016,4579.3999,4501.16016,4510.04004,11507397
20170122,4510.04004,4585.20996,4520.43994,4569.2998,7674869
20170123,4569.2998,4637.43018,4571.47021,4632.41992,8504462
20170124,4632.41992,4782.89014,4632.41992,4775.60986,16788588
20170125,4775.60986,4843.45996,4780.06006,4807.29004,8021259
20170126,4807.29004,4834.22021,4779.2998,4793.33984,13508869
20170129,4793.33984,4817.33984,4761.37012,4777.43018,13963410
20170130,4777.43018,4788.5,4706.08984,4713.37012,9027248
20170131,4713.37012,4736.22021,4653.52002,4671.66016,11877084
20170201,4671.66016,4720.25,4655.89014,4680.9502,11213989
20170202,4680.9502,4690.39014,4652.91016,4659,10371278
20170205,4659,4680.77979,4612.68994,4625.85986,8300490
20170206,4625.85986,4633.25,4558.93994,4623.64014,4844322
20170207,4623.64014,4633.25,4593.58008,4613.91016,5197323
20170208,4613.91016,4624.97021,4547.31006,4564.12012,5904938
20170209,4564.12012,4572.37012,4532.77979,4555.35986,3956886
20170212,4555.35986,4599.20996,4542.75977,4558.83008,4268537
20170213,4558.83008,4589.5498,4556.79004,4585.41016,10079965
20170214,4585.41016,4612.54004,4555.3501,4583.68994,8440387
20170215,4583.68994,4594.02002,4561.14014,4564.06982,6120095
20170216,4564.06982,4685.08984,4564.06982,4684.3501,4812406
20170219,4684.3501,4735.16016,4667.10986,4689.77979,8815699
20170220,4689.77979,4687.7002,4630.43994,4645.29004,14816740
20170221,4645.29004,4694.91992,4633.49023,4683.2002,18073908
20170222,4683.2002,4714.77002,4630.0498,4644.79004,8835156
20170223,4644.79004,4644.79004,4592.06006,4617.12012,5496735
20170226,4617.12012,4636.2002,4586,4614.06982,2510182
20170227,4614.06982,4625.12988,4544.74023,4557.87988,5624401
20170228,4557.87988,4583.43994,4529.3501,4575.2998,4285709
20170301,4575.2998,4601.02002,4560.24023,4568.91016,9610315
20170302,4568.91016,4625.33984,4568.91016,4625.33984,10860189
20170305,4625.33984,4625.33984,4587.5498,4611.87012,4821660
20170306,4611.87012,4620.12012,4578.25977,4600.37988,3579738
20170307,4600.37988,4611.12988,4574.27002,4600.68994,3430566
20170308,4600.68994,4611.87012,4565.62988,4595.7998,3708015
20170309,4595.7998,4595.7998,4546.20996,4581.39014,5465830
20170312,4581.39014,4581.39014,4539.81006,4563.20996,3003987
20170313,4563.20996,4575.60986,4534.7998,4548.7998,2944962
20170314,4548.7998,4577.58984,4512.72021,4576.8501,5101303
20170315,4576.8501,4636,4576.8501,4633.81006,7982523
20170316,4633.81006,4680.56006,4633.81006,4671.77002,7480371
20170319,4671.77002,4700.47021,4658.6001,4689.3999,5011254
20170320,4689.3999,4718.12988,4667.62012,4676.2998,3432776
20170321,4676.2998,4690.29004,4652.41016,4657.41992,3544045
20170322,4657.41992,4657.41992,4605.66992,4634.87012,3203207
20170323,4634.87012,4671.62012,4620.29004,4660.68018,6220734
20170326,4660.68018,4705.74023,4660.52979,4678.08008,5003314
20170327,4678.08008,4678.08008,4635.66992,4661.47021,2409595
20170328,4661.47021,4666.47021,4622.37012,4634.83008,3511972
20170329,4634.83008,4676.06982,4634.83008,4658.08984,2952615
20170330,4658.08984,4710.25,4656.75,4701.37988,5151600
20170402,4701.37988,4731.12012,4687.06006,4703.12988,5587798
20170403,4703.12988,4748.25,4703.12988,4737.50977,4695116
20170404,4737.50977,4767.79004,4717.02979,4766.2002,2965207
20170405,4766.2002,4840.52979,4766.2002,4800.87988,3540042
20170406,4800.87988,4876.5498,4797.9502,4853.1499,4189568
20170409,4853.1499,4909.70996,4845.22021,4875.87012,5206292
20170410,4875.87012,4894.22998,4825.62988,4861.75977,5787508
20170411,4861.75977,4876.68018,4732.66992,4732.66992,6880617
20170412,4732.66992,4944.1001,4732.66992,4916.06982,17227612
20170413,4916.06982,4932.66992,4857.75,4882.66016,31612508
20170416,4882.66016,4882.66016,4821.68018,4840.70996,12569775
20170417,4840.70996,4922.31982,4796.43994,4914.1001,28728886
20170418,4914.1001,4933.62012,4845.41016,4847.47998,31060342
20170419,4847.47998,4886.91016,4836.83984,4859.77002,17996860
20170420,4859.77002,4870.47021,4804.27979,4848.75977,11294234
20170423,4848.75977,4894.08984,4817.39014,4833.75,12155594
20170424,4833.75,4781.08008,4714.5,4756.41992,11424403
20170425,4756.41992,4749.41992,4655.0498,4660.8999,5797867
20170426,4660.8999,4692.66016,4646.52979,4649.18994,3203860
20170427,4649.18994,4667.49023,4633.83984,4644.31006,6193146
20170430,4644.31006,4674.6001,4643.08984,4668.97021,5685586
20170501,4668.97021,4723.97021,4672.06982,4688.91016,4655783
20170502,4688.91016,4723.31006,4687.31006,4721.81982,4419331
20170503,4721.81982,4754.89014,4699.00977,4735.89014,6599281
20170504,4735.89014,4741.74023,4690.02002,4690.02002,3294253
20170507,4690.02002,4756.43018,4718.89014,4723.89014,5971083
20170508,4723.89014,4781.54004,4723.89014,4760.99023,10599309
20170509,4760.99023,4796.31006,4749.62012,4796.31006,3884168
20170510,4796.31006,4792.79004,4763.58008,4779.9502,2431662
20170511,4779.9502,4791.37988,4735.2998,4762.43018,3181293
20170514,4762.43018,4719.6499,4675.5498,4710.6499,1602932
20170515,4710.6499,4748,4705.6499,4747.08008,2812637
20170516,4747.08008,4781.91992,4734.8999,4778.7002,5492312
20170517,4778.7002,4798.75977,4774.25,4794.8999,2066957
20170518,4794.8999,4796.97998,4771.62012,4789.3501,1939599
20170521,4789.3501,4865.12012,4789.3501,4814.10986,2482800
20170522,4814.10986,4852.95996,4796.27002,4810.93018,2476583
20170523,4810.93018,4823.04004,4772.83008,4797.6001,3927841
20170524,4797.6001,4803.4502,4727.66016,4727.66016,3904592
20170525,4727.66016,4756.00977,4692.02979,4698.18018,2770736
20170528,4698.18018,4699.02979,4565.83984,4591.27002,4965464
20170529,4591.27002,4653.16992,4587.97021,4651.1001,2377055
20170530,4651.1001,4682.00977,4648.16992,4670.93994,1668847
20170531,4670.93994,4687.3501,4654.58008,4669.50977,1591701
20170601,4669.50977,4700.1001,4666.58008,4679.20996,2277604
20170604,4679.20996,4716.35986,4648.18018,4716.35986,1258555
20170605,4716.35986,4739.75,4660.87988,4737.16992,1396997
20170606,4737.16992,4781.60986,4715.06982,4728.14014,2229978
20170607,4728.14014,4767.97998,4701.77002,4749.75977,2073449
20170608,4749.75977,4751.41992,4721.2998,4722.56006,5233980
20170611,4722.56006,4740.22998,4692.25977,4696.85986,4528207
20170612,4696.85986,4705.72021,4680.64014,4705.72021,2607543
20170613,4705.72021,4707.37988,4690.52979,4692.10986,870687
20170614,4692.10986,4708.37012,4668.74023,4669.81006,2035047
20170615,4669.81006,4694.6001,4651.68994,4671.12988,2522853
20170618,4671.12988,4680.08008,4622.12012,4635.20996,3343073
20170619,4635.20996,4849.81006,4648.37012,4726.43994,4386651
20170620,4726.43994,4780.5498,4674.66016,4681.52002,2818889
