Date,Open,High,Low,Close,Vol
20170109,4937.02979,4937.02979,4801.33008,4840.3501,2657195
20170110,4840.3501,4830.58984,4746.62988,4766.14014,2799364
20170111,4766.14014,4758.72998,4651.43018,4670.93994,1832846
20170112,4670.93994,4736.25977,4670.93994,4694.89014,2617356
20170115,4694.89014,4707.60986,4644.62988,4654.39014,1701107
20170116,4654.39014,4664.14014,4408.41992,4408.41992,4087053
20170117,4408.41992,4484.10986,4336.56006,4474.35986,3788283
20170118,4474.35986,4474.35986,4298.77002,4328.8999,4586698
20170119,4328.8999,4427.93018,4319.14014,4381.5,3702151
20170122,4381.5,4522.52002,4367.31006,4465.47021,3193922
20170123,4465.47021,4601.16992,4465.47021,4591.41992,4362065
20170124,4591.41992,4762.66016,4601.16992,4701.16992,3428652
20170125,4701.16992,4879.20996,4701.16992,4847.6001,3779555
20170126,4847.6001,4982.43018,4860.93018,4881.56006,4091930
20170129,4881.56006,4944.52979,4881.56006,4922.93018,2096425
20170130,4922.93018,4942.43994,4819.45996,4829.20996,1675426
20170131,4829.20996,4888.95996,4778.9502,4869.45996,2542242
20170201,4869.45996,4957.85986,4848.45996,4930.08008,1961313
20170202,4930.08008,4956.37988,4881.56006,4904.02979,1345359
20170205,4904.02979,4912.31006,4854.64014,4859.08984,917008
20170206,4859.08984,4888.95996,4797.6001,4860.56982,1422710
20170207,4860.56982,5067.52002,4860.56982,5038.25,3856162
20170208,5038.25,5166.5498,5011.9502,5104.18994,6113038
20170209,5104.18994,5118.39014,5038.25,5092.9502,2407081
20170212,5092.9502,5192.8501,5092.9502,5180.12988,2905735
20170213,5180.12988,5495.87012,5162.1001,5330.8999,6992602
20170214,5330.8999,5407.45996,5262.62012,5283.60986,2716696
20170215,5283.60986,5432.89014,5220.62988,5413.37988,3262074
20170216,5413.37988,5473.3999,5291.62988,5338.91992,5187698
20170219,5338.91992,5368.18018,5236.06006,5275.08008,3394081
20170220,5275.08008,5328.5498,5199.39014,5234.83008,3655112
20170221,5234.83008,5298.66992,5174.81982,5237.79004,3489090
20170222,5237.79004,5263.22998,5195.81006,5195.81006,1535694
20170223,5195.81006,5231,5153.83008,5180.12988,1178677
20170226,5180.12988,5231.87012,5157.66016,5207.91992,844680
20170227,5207.91992,5292.75,5183.95996,5208.79004,2809974
20170228,5208.79004,5226.81006,5169.77002,5217.06006,1399765
20170301,5217.06006,5235.08984,5178.04004,5201.99023,1153556
20170302,5201.99023,5323.5,5201.99023,5323.5,2224428
20170305,5323.5,5583.0498,5252.25,5301.02002,9393853
20170306,5301.02002,5327.33008,5225.33008,5298.06006,2580854
20170307,5298.06006,5327.33008,5293.62012,5293.62012,1208066
20170308,5293.62012,5313.12988,5265.83008,5283.85986,1028367
20170309,5283.85986,5274.10986,5184.22021,5198.41992,2080440
20170312,5198.41992,5188.66016,5025.18018,5033.4502,1611914
20170313,5033.4502,5048.52002,4908.12012,4921.7002,2806424
20170314,4921.7002,5027.52979,4902.18994,5006.54004,2649096
20170315,5006.54004,5079.25977,5006.54004,5027.52979,1226850
20170316,5027.52979,5089.02002,5008.02002,5047.04004,2165652
20170319,5047.04004,5063.58984,5021.6001,5050.87012,1398195
20170320,5050.87012,5066.5498,5024.56982,5026.0498,897441
20170321,5026.0498,5059.75,4944.43018,4944.43018,1913376
20170322,4944.43018,4944.43018,4834.16992,4907.75977,1511732
20170323,4907.75977,4962.45996,4907.75977,4958.02002,756217
20170326,4958.02002,4998.52002,4934.06006,4935.5498,776188
20170327,4935.5498,4940.85986,4898.87988,4911.58984,924579
20170328,4911.58984,4934.06006,4890.6001,4908.62988,1014384
20170329,4908.62988,4946.16992,4890.6001,4939.37988,1724245
20170330,4939.37988,5017.41992,4937.8999,4996.43018,1964583
20170402,4996.43018,5117.87988,4997.91992,5042.06982,1886570
20170403,5042.06982,5061.56006,5009.16016,5021.89014,901020
20170404,5021.89014,5044.37012,4999.41016,5016.60986,720831
20170405,5016.60986,5152.27979,5016.60986,5144.02002,2073447
20170406,5144.02002,5230.27002,5134.27979,5191.95996,2505215
20170409,5191.95996,5223.37988,5154.45996,5169.35986,1638833
20170410,5169.35986,5215.12012,5166.37988,5185.87012,923833
20170411,5185.87012,5227.8501,5169.35986,5169.35986,1019445
20170412,5169.35986,5218.77979,5169.35986,5197.10986,1007688
20170413,5197.10986,5210.6499,5176.12988,5203.87988,1044594
20170416,5203.87988,5326.14014,5179.22998,5310.43018,2444283
20170417,5310.43018,5321.66992,5250.4502,5286.47021,1641037
20170418,5286.47021,5305.95996,5142.52979,5155.25977,1587494
20170419,5155.25977,5188.97998,5059.27002,5091.49023,1571264
20170420,5091.49023,5010.52002,4935.52002,4989.54004,967841
20170423,4989.54004,5066.72021,4991.02979,5000.77979,756702
20170424,5000.77979,5039.77002,4999.29004,5020.27002,758786
20170425,5020.27002,5059.27002,5002.27002,5013.5,1086173
20170426,5013.5,5052.5,4991.02979,5000.77979,905077
20170427,5000.77979,5020.27002,4952.02979,4991.02979,1173917
20170430,4991.02979,5000.77979,4952.02979,4969.22998,1229513
20170501,4969.22998,5023.93994,4969.22998,4977.49023,1211010
20170502,4977.49023,5212.14014,4978.97998,5176.93018,5412518
20170503,5176.93018,5185.87012,5075.66016,5093.66992,1497357
20170504,5093.66992,5098.14014,5036.66016,5058.45996,777146
20170507,5058.45996,5058.45996,5003.75977,5013.5,852402
20170508,5013.5,5035.97998,4958.7998,4997.79004,1069153
20170509,4997.79004,5078.75977,4981.27979,5051.00977,1106403
20170510,5051.00977,5192.77002,5042.06982,5142.52979,4369222
20170511,5142.52979,5168.7998,5067.6499,5069.14014,1581593
20170514,5069.14014,5099.87988,5024.18994,5043.68018,1002020
20170515,5043.68018,5095.41016,5030.9502,5061.68994,1030341
20170516,5061.68994,5075.91016,5040.7002,5056.41016,570279
20170517,5056.41016,5087.1499,5030.1499,5059.39014,1294410
20170518,5059.39014,5148.62012,5054.91992,5064.66992,1880521
20170521,5064.66992,5165.14014,5057.8999,5057.8999,3592437
20170522,5057.8999,5077.3999,5035.41992,5045.16992,738669
20170523,5045.16992,5057.22021,5001.70996,5037.72021,1113083
20170524,5037.72021,5105.95996,4987.60986,4987.60986,1095111
20170525,4987.60986,5013.06982,4935.89014,4958.37012,1122448
20170528,4958.37012,4958.37012,4863.99023,4865.47998,917917
20170529,4865.47998,4929.93018,4845.97998,4907.4502,886511
20170530,4907.4502,4962.16016,4907.4502,4926.9502,537460
20170531,4926.9502,4956.2002,4881.87012,4899.06982,986344
20170601,4899.06982,4910.31006,4839.08984,4839.08984,1895624
20170604,4839.08984,4870.56982,4771.77002,4857.77979,779749
20170605,4857.77979,4878.18994,4820.62012,4861.5,1016932
20170606,4861.5,4906.06006,4840.68994,4852.39014,758804
20170607,4852.39014,4887.47998,4827.33008,4835.12012,1240510
20170608,4835.12012,4835.12012,4708.45996,4716.25,1336561
20170611,4716.25,4743.5498,4549.5,4589.97998,703407
20170612,4589.97998,4668.89014,4554.89014,4651.7998,989404
20170613,4651.7998,4654.04004,4590.8999,4614.87012,741243
20170614,4614.87012,4790.33984,4614.87012,4707.87988,946806
20170615,4707.87988,4806.85986,4668.89014,4776.58008,1278723
20170618,4776.58008,4954.87012,4776.58008,4947.06982,1500543
20170619,4947.06982,5015.24023,4940.18994,4956.18018,1259239
20170620,4956.18018,5051.60986,4946.31982,4957.66992,1611750
20170621,4957.66992,5262.56982,4957.66992,5250.87988,7813179
20170622,5250.87988,5547.62988,5149.49023,5448.66016,6942631
20170702,5448.66016,5547.50977,5335.3999,5463.56006,2549127
20170703,5463.56006,5576.75,5365.1499,5568.49023,2602502
20170704,5568.49023,5568.49023,5427.54004,5447.04004,1183618
20170705,5447.04004,5466.54004,5350.47021,5391.52979,1049531
20170706,5391.52979,5401.27979,5203.95996,5214.91016,1264831
20170709,5214.91016,5214.91016,5025.68018,5042.6001,2300994
20170710,5042.6001,5120.58008,5038.7002,5073.79004,1532277
20170711,5073.79004,5193.91992,5058.2002,5137.27002,1838464
20170712,5137.27002,5168.87012,5120.18018,5162.04004,995715
20170713,5162.04004,5183.02979,5153.5,5166.68994,775037
20170716,5166.68994,5180.0498,5141.06006,5152.75,655880
20170717,5152.75,5357.91992,5141.06006,5193.97998,1897600
20170718,5193.97998,5269.72998,5171.16016,5186.75977,992628
20170719,5186.75977,5238.37012,5178.95996,5199.02979,1120210
20170720,5199.02979,5233.5498,5186.75977,5198.45996,892943
20170723,5198.45996,5280.16992,5186.75977,5216.68994,928500
20170724,5216.68994,5241.41016,5199.43018,5241.41016,730800
20170725,5241.41016,5279.2002,5223.3999,5235.1001,810212
20170726,5235.1001,5280.97021,5214.10986,5218.00977,1130491
20170727,5218.00977,5231.2002,5199.43018,5215.9502,705864
20170730,5215.9502,5220.41992,5180.4502,5180.4502,538701
20170731,5180.4502,5178.95996,5137.5,5142.89014,561922
20170801,5142.89014,5181.37012,5138.99023,5141.22998,560747
20170802,5141.22998,5170.75977,5140.47998,5159.06006,472076
20170803,5159.06006,5190.43018,5143.81006,5166.29004,775860
20170806,5166.29004,5215.47998,5154.58984,5183.37012,938633
20170807,5183.37012,5226.25977,5174.08008,5202.7002,843467
20170808,5202.7002,5229.25,5170.18994,5170.18994,1335671
20170809,5170.18994,5217.5498,5163.87988,5179.47021,882082
20170810,5179.47021,5191.75,5156.6499,5159.06006,1042646
20170813,5159.06006,5165.93994,5140.31006,5143.47021,658846
20170814,5143.47021,5149.77002,5066.3999,5078.1001,977304
20170815,5078.1001,5101.49023,5043,5066.3999,784900
20170816,5066.3999,5079.58984,4988.41016,5015.70996,875665
20170817,5015.70996,5168.52002,5004.00977,5101.31982,890225
20170820,5101.31982,5162.04004,5100.56982,5102.06982,610046
20170821,5102.06982,5118.58008,5079.00977,5086.81006,1045872
20170822,5086.81006,5119.5,5086.81006,5093.12012,771460
20170823,5093.12012,5122.08008,5054.47021,5076.2002,913680
20170824,5076.2002,5084,4986.68994,5006.93018,813798
