Symbol,Shares,NetIncome,Equity,BookValue
1010,625,3011.24,13186.79,21.09
1020,225,805.2,4697.59,20.87
1030,450,822.18,6769.62,15.04
1040,264.6,438.56,4546.79,17.18
1050,562.5,2711.11,11240.63,19.98
1060,375,2606.93,10424.93,27.79
1080,650,2461.2,10524.59,16.19
1090,900,4807.63,17844.94,19.82
1120,1500,6449.65,23606.11,15.73
1140,300,72.45,3104.1,10.34
2010,3000,27022.27,91154.03,30.38
2020,200,2209.22,6014.33,30.07
2030,6,106.55,572.45,95.4
2040,25,127.51,612.93,24.51
2050,500,1230.02,7156.9,14.31
2060,349.573,661.13,5925.91,16.95
2070,60,121.86,2883.53,48.05
2080,75,139.4,1100.99,14.67
2090,31.666,94.84,447.23,14.12
2100,20,7.54,158.17,7.9
2110,76,282.79,965,12.69
2120,43.2,15.6,820.15,18.98
2130,40,11.77,362.45,9.06
2140,42.875,34.49,520.61,12.14
2150,25,80.38,442.7,17.7
2160,115.5,64.1,1320.16,11.42
2170,69.2,39.44-,650.51,9.4
2180,6.875,14.51,90.15,13.11
2190,40,5.31-,450.63,11.26
2200,31.5,125.58,641.76,20.37
2210,76.5,34.09,921.48,12.04
2220,16.356,20.68,316.62,19.35
2230,63.24,111.77,895.89,14.16
2240,45,206.5,892.28,19.82
2250,450,437.37,3125.62,6.94
2260,187.5,5.11-,2337.28,12.46
2270,32.5,54.39,488.94,15.04
2280,109,667.26,3053.44,28.01
2290,562.5,59.92,5722.51,10.17
2300,24,82.63,381.97,15.91
2310,333.333,593.97,3892.17,11.67
2320,27,96.05,423.27,15.67
2330,141.375,2.16,1416.44,10.01
2340,65,200.05,1111.01,17.09
2350,1500,595.4,15322.51,10.21
2360,15,43.19,195.68,13.04
2370,32,150.13,570.32,17.82
2380,876,442.56-,5952.58,6.79
3010,80,392.16,1840.54,23
3020,135,731.43,2365.38,17.52
3030,102,686.39,2738.58,26.84
3040,45,540.54,1523.38,33.85
3050,140,703.88,2344.46,16.74
3060,105,660.95,2323.51,22.12
3080,86,541.41,2113.69,24.57
3090,90,220.39,1030.72,11.45
4010,69.006,77.65,820.13,11.88
4020,120,172.71,3120.42,26
4030,315,422.57,4659.79,14.79
4040,125,100.76,1488.46,11.9
4050,45,33.51,421.85,9.37
4061,10.9,6.25,116.44,10.68
4070,15,24.59,216.25,14.41
4080,126.388,362.93,3355.57,26.54
4090,150,393,2979.98,19.86
4100,164.816,186.17,3121.72,18.94
4110,18,13.45,188.09,10.44
4130,15,13.48-,122.72,8.18
4140,10.8,7.41,120.56,11.16
4150,100,70.72,1376.58,13.76
4160,10,2.56,91.2,9.12
4170,10.15,2.11,72.77,7.16
4180,38.5,0.83,636.76,16.53
4190,30,276.24,609.1,20.3
4200,25,50.39,295.74,11.82
4210,80,366.53,1401.1,17.51
4220,850,26.28,8482.56,9.97
4230,30,117.31,529.47,17.64
4240,70,217.22,882.08,12.6
4250,671.4,0,0,0
4260,18.3,77.37,302.88,16.55
4270,60,137.43,701.34,11.68
4280,6300,1210.2,51221.42,8.13
4290,8,37.5,154.04,19.25
4300,540,2008.57,11000.25,20.37
5110,4166.593,1552.89,48134.46,11.55
6010,40,112.89,1063.48,26.58
6020,50,2.84-,404.2,8.08
6030,30,53.51,451.27,15.04
6040,20,20.18,380.49,19.02
6050,20,30.66-,190.19,9.5
6060,7.5,3.41,116.95,15.59
6070,20,49.65,430.09,21.5
6080,5,37.01-,56.48,11.29
6090,50,14.27,768.65,15.37
7010,2000,12021.73,35891.88,17.94
7020,500,1379.54,5912.52,11.82
7030,1400,0,0,0
8010,50,524.83,1846.71,36.93
8020,30,22.83-,282.88,9.42
8030,80,6.85,806.5,10.08
8040,10,15.77-,84.23,8.42
8050,10,13.36-,82.76,8.27
8060,20,12.84-,187.15,9.35
8070,20,5.23-,194.76,9.73
8080,10,0,0,0
8090,20,9.00-,191,9.55
8100,10,6.37-,93.62,9.36
8110,10,12.30-,87.69,8.76
8120,22,21.86-,198.13,9
8130,10,1.90-,94.24,9.42
8140,10,0,100,10
8150,10,4.71-,92.17,9.21
8160,20,0,0,0
8170,25,0,0,0
8180,20,0,0,0
