Symbol,Shares,NetIncome,Equity,BookValue,Free float
1010,3000,4352.41,35537.11,11.84,1423.21
1020,400,572.47,6158.05,15.39,356.724
1030,650,1436.48,11852.13,18.23,348.834
1050,1205.357,3516.34,26471.34,21.96,648.034
1060,1500,4266.06,26071.21,17.38,487.609
1080,1000,2875.05,20601.31,20.6,485.825
1090,2000,5005.08,38784.1,19.39,1005.44
1120,1625,6836.17,41896.19,25.78,1185.116
1140,400,864.03,5891.35,14.72,281.618
1150,1500,1264.43,17939.23,11.95,1036.3
1180,2000,8655.15,45213.64,22.6,713.231
1201,35,55.32,488.58,13.95,12.315
1210,27.5,23.91,461.25,16.77,21.433
1211,1168.478,1357.34,26693.23,22.84,394.19
1212,74.117,109.33,1846.29,24.91,41.644
1213,37.5,-29.52,451.07,12.02,37.5
1214,35,436.9,915.41,26.15,22.95
1301,43.875,90.31,503.26,11.47,43.875
1302,50,176.46,759.68,15.19,26.725
1320,51,29.4,803.06,15.74,22.246
1330,53.125,101.17,883.8,16.63,23.449
1810,200,1118.92,2841.28,14.2,115.946
1820,55,196.49,748.79,13.61,16.5
2001,120.6,32.2,1541.27,12.78,120.6
2002,480,774.45,4895.26,10.19,84
2010,3000,23347.11,162532.57,54.17,632.15
2020,416.666,3174.04,7861.7,18.86,147.224
2030,15,20.93,477.5,31.83,15
2040,37.5,310.22,1715.7,45.75,28.891
2060,668.914,1070.55,11626.29,17.38,583.118
2070,120,316.85,3450.53,28.75,77.44
2080,75,152.26,1014.67,13.52,50.541
2090,31.666,21.73,476.54,15.04,27.679
2100,20,0.03,203.02,10.15,20
2110,76,-,-,-,61.752
2120,43.2,15.23,785.03,18.17,31.581
2130,40,6.95,410.3,10.25,39.999
2140,49,-39.28,490.67,10.01,49
2150,30,61.51,616.81,20.56,21.39
2160,115.5,82.62,1518.66,13.14,115.5
2170,69.2,167.38,917.5,13.25,62.265
2180,11.5,24.27,185.23,16.1,11.5
2190,68,78.08,913.1,13.42,58.005
2200,40,-52.35,658.56,16.46,34.352
2210,128.52,-112.48,1227.25,9.54,128.52
2220,28.112,20.75,389.03,13.83,18.142
2230,63.24,283.56,1545.35,24.43,61.34
2240,60,260.34,1742.52,29.04,44.999
2270,32.5,165.42,919.65,28.29,15.665
2280,600,1674.34,10886.85,18.14,202.783
2290,562.5,2477.74,15552.32,27.64,202.513
2300,45,25.07,658.45,14.63,27
2310,366.666,606.23,5968.5,16.27,329.216
2320,42.631,102.39,694.77,16.29,42.631
2330,163.995,750.95,2377.03,14.49,153.544
2340,81.25,200.41,1244.58,15.31,24.254
2350,1500,-44.71,14048.92,9.36,974.997
2360,15,95.95,252.15,16.81,9.228
2370,60,-23.07,480.92,8.01,60
2380,876,681.43,9555.86,10.9,184.702
3001,97.9,147.06,1059.85,10.82,97.9
3002,170,243.2,2061.74,12.12,126.826
3003,189.2,221.75,1986.85,10.5,94.6
3004,180,200.02,2050.56,11.39,158.22
3005,55,-28,522,9.49,27.5
3010,100,645.43,3228.87,32.28,94.206
3020,202.5,670.84,3731.92,18.42,173.279
3040,90,563.61,1973.95,21.93,45.81
3050,140,1045.42,2960.98,21.14,58.551
3060,157.5,801.93,3529.52,22.4,118.851
3080,86,373.55,2260.89,26.28,59.83
3090,90,137.58,1159.01,12.87,73.471
3091,130,60.55,1442.81,11.09,129.7
4001,45,214.78,952.61,21.16,32.544
4002,50,240.12,1027.25,20.54,22.999
4003,30,121.05,517.26,17.24,11.89
4004,47.2,147.12,1273.94,26.99,21.42
4005,44.85,93.56,836.23,18.64,29.096
4006,35,104.75,496.68,14.19,10.5
4007,75,128.95,1319.8,17.59,22.5
4010,100,103.77,1779.27,17.79,35.942
4020,120,276.25,3459.87,28.83,36.771
4030,393.75,533.84,7815.07,19.84,205.753
4050,45,82.05,726.04,16.13,34.148
4061,19.6,-25.72,164.84,8.41,16.68
4070,15,-53.58,140.94,9.39,12.096
4080,126.388,184.78,2608.23,20.63,63.295
4090,150,1214.23,3997.52,26.65,95.409
4100,164.816,312.54,7118.47,43.19,110.086
4110,18,44.01,246.65,13.7,17.999
4140,10.8,2.56,128.76,11.92,10.8
4150,133.333,189.37,1709,12.81,133.292
4160,10,17.42,65.16,6.51,10
4170,10.15,4.83,93.51,9.21,10.15
4180,55,44.43,762.72,13.86,36.533
4190,90,745.36,1360.03,15.11,89.855
4200,40,123.72,580.36,14.5,39.29
4210,80,-39.31,1122.97,14.03,52.56
4220,850,379.68,8215.39,9.66,340.845
4230,60,156.69,970.94,16.18,23.7
4240,210,791.99,2478.16,11.8,106.89
4250,929.4,578.45,9403.32,10.11,549.438
4260,40.666,171.05,786.45,19.33,27.283
4270,60,45.38,911.74,15.19,28.5
4280,3705.882,869.07,32255.99,8.7,185.294
4290,35,86.06,484.95,13.85,27.424
4300,1080,574.7,17567.52,16.26,1078.499
4310,339.3,-28.18,3154.53,9.29,102
5110,4166.593,3606.59,59242.5,14.21,715.804
6001,28.571,90.82,610.74,21.37,12.711
6002,46.2,205.8,677.79,14.67,14.641
6004,82,653.93,1225.71,14.94,24.6
6010,77,107.2,1258.9,16.34,61.598
6020,50,-15.04,329.98,6.59,49.998
6040,45,7.19,355,7.88,43.874
6050,53.537,-46.44,255.18,4.76,20.61
6060,7.5,-2.48,58.93,7.85,7.498
6070,30,107.01,779.91,25.99,28.539
6080,5,-,-,-,5
6090,50,7.86,602.01,12.04,49.396
7010,2000,10959.49,60422.33,30.21,325.078
7020,770,-913,19424,25.22,444.265
7030,583.729,-1269.57,5464,9.36,302.619
7040,157.5,-90.2,664.23,4.21,108.019
8010,100,560.12,2076.38,20.76,53.37
8012,35,9.78,354.86,10.13,10.5
8020,30,-13.71,276.22,9.2,30
8030,100,193.5,1176.07,11.76,36.5
8040,20,15.89,184.78,9.23,7
8050,10,1.25,26.4,2.63,7
8060,20,4.84,168.39,8.41,17.78
8070,20,10.09,246.89,12.34,11
8080,34,17.01,355.73,10.46,12.26
8100,10,18.22,69.96,6.99,6.8
8110,10,0.7,28.98,2.89,6.9
8120,22,-7.96,115.87,5.26,15.034
8130,16.666,30.25,165.55,9.93,7.416
8140,32,-53.1,181.21,5.66,30.2
8150,20,8.93,110.53,5.52,12
8160,20,1.91,63.56,3.17,12.48
8170,27.5,-14.29,239.16,8.69,18.353
8180,25,12.53,333.67,13.34,17.5
8190,49,-80.3,153.36,3.12,32.075
8200,100,10.84,817.43,8.17,89.8
8210,40,301.28,1051.5,26.28,21.1
8230,40,15.58,302.04,7.55,15.2
8240,10,15.71,186.96,18.69,6
8250,45,18.05,207.14,4.6,20.25
8260,20,22.69,208.21,10.41,13
8270,25,17.67,89.99,3.59,11.625
8280,40,-28.11,82.81,2.07,12
8290,55.5,-62.36,279.53,5.03,39.937
8300,10,11.55,68.14,6.81,3.45
8310,32,-73.69,126.26,3.94,25.12
8311,40,-45.18,251.52,6.28,16
8312,20,-29.38,88.41,4.42,6
1310,125,-,-,-,62.5
4130,15,-,-,-,15
2260,438.795,385.38,5817.39,13.25,394.226
8090,20,-,-,-,14.16
8220,20,-,-,-,13.9
2250,450,933.33,6813.45,15.14,378.196
4040,125,102.05,1493.36,11.94,104.535
1040,571.536,1820.91,10741.88,18.79,157.442
1303,45,171.86,619.73,13.77,13.5
8011,17.5,-43.67,120.69,6.89,5.25
2050,533.98,2072.32,9966.17,18.66,400.076
3030,153,1074.08,3209.33,20.97,130.621
