Output/8914-9030-8914Outage2027ModifiedCIM5.out
SEC 2022 PEAK BASE CASE
                    119            120            122            123      
        Time(s) 179141 8914 LV 179151 8915 LV 179171 8917 LV 179181 8918 LV
                      -1 SPEED       -1 SPEED       -1 SPEED       -1 SPEED
     -0.0016666     -0.0089348    -0.00853773    -0.00855317    -0.00826021
     -0.0008333     -0.0089348    -0.00853773    -0.00855317    -0.00826021
              0     -0.0089348    -0.00853773    -0.00855317    -0.00826021
      0.0008333     -0.0089348    -0.00853773    -0.00855317    -0.00826021
      0.0016666     -0.0089348    -0.00853773    -0.00855317    -0.00826021
      0.0024999     -0.0089348    -0.00853773    -0.00855317    -0.00826022
      0.0033332     -0.0089348    -0.00853774    -0.00855317    -0.00826022
      0.0041665     -0.0089348    -0.00853774    -0.00855317    -0.00826022
      0.0049998     -0.0089348    -0.00853774    -0.00855317    -0.00826022
      0.0058331     -0.0089348    -0.00853774    -0.00855318    -0.00826022
      0.0066664     -0.0089348    -0.00853774    -0.00855318    -0.00826022
      0.0074997    -0.00893479    -0.00853775    -0.00855318    -0.00826022
       0.008333    -0.00893479    -0.00853775    -0.00855318    -0.00826023
      0.0091663    -0.00893479    -0.00853775    -0.00855318    -0.00826023
      0.0099996    -0.00893478    -0.00853775    -0.00855318    -0.00826023
      0.0108329    -0.00893478    -0.00853775    -0.00855319    -0.00826023
      0.0116662    -0.00893478    -0.00853775    -0.00855319    -0.00826024
      0.0124995    -0.00893477    -0.00853776    -0.00855319    -0.00826024
      0.0133328    -0.00893477    -0.00853776    -0.00855319    -0.00826024
      0.0141661    -0.00893476    -0.00853776    -0.00855319    -0.00826025
      0.0149994    -0.00893475    -0.00853776    -0.00855319    -0.00826025
      0.0158327    -0.00893475    -0.00853776     -0.0085532    -0.00826025
       0.016666    -0.00893474    -0.00853777     -0.0085532    -0.00826026
      0.0174993    -0.00893474    -0.00853777     -0.0085532    -0.00826026
      0.0183326    -0.00893473    -0.00853777     -0.0085532    -0.00826026
      0.0191659    -0.00893472    -0.00853778    -0.00855321    -0.00826027
      0.0199992    -0.00893472    -0.00853778    -0.00855321    -0.00826027
      0.0208325    -0.00893471    -0.00853778    -0.00855321    -0.00826027
      0.0216658     -0.0089347    -0.00853779    -0.00855321    -0.00826028
      0.0224991    -0.00893469    -0.00853779    -0.00855322    -0.00826028
      0.0233324    -0.00893469    -0.00853779    -0.00855322    -0.00826029
      0.0241657    -0.00893468    -0.00853779    -0.00855322    -0.00826029
       0.024999    -0.00893467     -0.0085378    -0.00855323    -0.00826029
      0.0258323    -0.00893466     -0.0085378    -0.00855323     -0.0082603
      0.0266656    -0.00893466     -0.0085378    -0.00855323     -0.0082603
      0.0274989    -0.00893465     -0.0085378    -0.00855323     -0.0082603
      0.0283322    -0.00893464    -0.00853781    -0.00855324    -0.00826031
      0.0291655    -0.00893463    -0.00853781    -0.00855324    -0.00826031
      0.0299988    -0.00893462    -0.00853781    -0.00855324    -0.00826032
      0.0308321    -0.00893461    -0.00853782    -0.00855325    -0.00826032
      0.0316654     -0.0089346    -0.00853782    -0.00855325    -0.00826033
      0.0324987    -0.00893459    -0.00853783    -0.00855325    -0.00826033
       0.033332    -0.00893458    -0.00853783    -0.00855326    -0.00826033
      0.0341653    -0.00893458    -0.00853783    -0.00855326    -0.00826034
      0.0349986    -0.00893457    -0.00853784    -0.00855326    -0.00826034
      0.0358319    -0.00893456    -0.00853784    -0.00855327    -0.00826035
      0.0366652    -0.00893455    -0.00853784    -0.00855327    -0.00826035
      0.0374985    -0.00893454    -0.00853785    -0.00855327    -0.00826035
      0.0383318    -0.00893453    -0.00853785    -0.00855328    -0.00826036
      0.0391651    -0.00893452    -0.00853786    -0.00855328    -0.00826036
      0.0399984    -0.00893451    -0.00853786    -0.00855329    -0.00826036
      0.0408317     -0.0089345    -0.00853786    -0.00855329    -0.00826037
       0.041665    -0.00893449    -0.00853787    -0.00855329    -0.00826037
      0.0424983    -0.00893448    -0.00853787     -0.0085533    -0.00826037
      0.0433316    -0.00893447    -0.00853787     -0.0085533    -0.00826038
      0.0441649    -0.00893446    -0.00853788     -0.0085533    -0.00826038
      0.0449982    -0.00893445    -0.00853788    -0.00855331    -0.00826038
      0.0458315    -0.00893444    -0.00853789    -0.00855331    -0.00826039
      0.0466648    -0.00893444    -0.00853789    -0.00855331    -0.00826039
      0.0474981    -0.00893443    -0.00853789    -0.00855332    -0.00826039
      0.0483314    -0.00893442     -0.0085379    -0.00855332     -0.0082604
      0.0491647    -0.00893441     -0.0085379    -0.00855333     -0.0082604
       0.049998     -0.0089344     -0.0085379    -0.00855333     -0.0082604
