Output/8914-9030-8914Outage2027ModifiedCIM5.out
SEC 2022 PEAK BASE CASE
                    140            141            142      
        Time(s) 18916 GHAZAL S 179151 8915 LV 179221 8922 LV
                            VC      -1 STCM I      -1 STCM I
     -0.0016666       0.696382       0.773739       0.362547
     -0.0008333       0.696382       0.773739       0.362547
              0       0.696382       0.773739       0.362547
      0.0008333       0.696382       0.773739       0.362547
      0.0016666       0.696382       0.773739       0.362547
      0.0024999       0.696382       0.773739       0.362547
      0.0033332       0.696382       0.773739       0.362547
      0.0041665       0.696382       0.773739       0.362547
      0.0049998       0.696382       0.773739       0.362547
      0.0058331       0.696382       0.773739       0.362547
      0.0066664       0.696382       0.773739       0.362547
      0.0074997       0.696382       0.773739       0.362547
       0.008333       0.696382       0.773739       0.362547
      0.0091663       0.696382       0.773739       0.362547
      0.0099996       0.696382       0.773739       0.362546
      0.0108329       0.696382       0.773739       0.362546
      0.0116662       0.696382       0.773739       0.362546
      0.0124995       0.696381       0.773739       0.362546
      0.0133328       0.696381       0.773739       0.362545
      0.0141661       0.696381       0.773739       0.362545
      0.0149994       0.696381       0.773738       0.362545
      0.0158327       0.696381       0.773738       0.362544
       0.016666       0.696381       0.773738       0.362544
      0.0174993       0.696381       0.773738       0.362543
      0.0183326        0.69638       0.773738       0.362542
      0.0191659        0.69638       0.773737       0.362542
      0.0199992        0.69638       0.773737       0.362541
      0.0208325        0.69638       0.773737        0.36254
      0.0216658        0.69638       0.773736        0.36254
      0.0224991       0.696379       0.773736       0.362539
      0.0233324       0.696379       0.773736       0.362538
      0.0241657       0.696379       0.773735       0.362537
       0.024999       0.696379       0.773735       0.362536
      0.0258323       0.696378       0.773735       0.362535
      0.0266656       0.696378       0.773734       0.362534
      0.0274989       0.696378       0.773734       0.362533
      0.0283322       0.696378       0.773733       0.362532
      0.0291655       0.696377       0.773733       0.362531
      0.0299988       0.696377       0.773733        0.36253
      0.0308321       0.696377       0.773732       0.362529
      0.0316654       0.696376       0.773732       0.362528
      0.0324987       0.696376       0.773731       0.362526
       0.033332       0.696375       0.773731       0.362525
      0.0341653       0.696375        0.77373       0.362524
      0.0349986       0.696375        0.77373       0.362523
      0.0358319       0.696374       0.773729       0.362521
      0.0366652       0.696374       0.773729        0.36252
      0.0374985       0.696374       0.773728       0.362519
      0.0383318       0.696373       0.773728       0.362517
      0.0391651       0.696373       0.773727       0.362516
      0.0399984       0.696373       0.773726       0.362515
      0.0408317       0.696372       0.773726       0.362514
       0.041665       0.696372       0.773725       0.362512
      0.0424983       0.696371       0.773725       0.362511
      0.0433316       0.696371       0.773724        0.36251
      0.0441649        0.69637       0.773724       0.362508
      0.0449982        0.69637       0.773723       0.362507
      0.0458315        0.69637       0.773723       0.362506
      0.0466648       0.696369       0.773722       0.362505
      0.0474981       0.696369       0.773722       0.362504
      0.0483314       0.696368       0.773721       0.362502
      0.0491647       0.696368       0.773721       0.362501
       0.049998       0.696367        0.77372         0.3625
      0.0508313       0.696367        0.77372       0.362499
      0.0516646       0.696366       0.773719       0.362498
      0.0524979       0.696366       0.773719       0.362496
      0.0533312       0.696366       0.773718       0.362495
