Ticker,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1010,22.50,16.00,17.00,18.00,9.60,3.20,2.30,1.30,1.30,1.25,1.40,1.30,1.18,0.70,0.70
1020,0.00,2.50,2.55,3.00,0.60,2.00,0.50,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00
1030,8.00,12.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.50,0.70,0.80,0.80,0.75
1040,27.00,16.50,16.00,16.00,8.35,0.71,0.00,0.75,0.00,0.00,1.00,1.00,1.00,1.00,0.25
1050,14.00,17.50,17.50,20.00,6.50,1.75,0.50,1.00,1.00,1.70,0.00,1.20,0.45,1.00,1.10
1060,17.00,17.00,20.00,20.00,6.50,3.78,3.18,0.83,0.00,0.68,0.65,0.92,1.00,1.45,0.70
1080,11.00,12.00,16.00,9.00,6.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.95,1.00,1.00
1090,23.50,21.50,16.75,10.50,1.70,3.40,1.90,1.65,1.65,1.55,1.65,1.65,1.50,1.15,0.90
1120,28.00,28.00,35.00,50.00,5.00,2.50,1.75,3.00,3.00,2.75,3.25,3.50,2.00,1.25,1.75
1140,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
1150,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50
1180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.35
2001,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,5,12,23,4.5,3.5,3.75,1.25,3,4,5,5,5.5,5.5,5
2020,5,4,8,14,23.5,6,8,12,13,12,13,12,10,6,4.5
2060,2.5,3,5,6,0,1,1,1,0.75,1,1.5,2,1.5,1,0
2170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250,0,0,2.5,4,0,1,0.5,0,0.5,0.5,1,1,1,1,0
2260,0,0,0,0,0,0,0,0,0,0,0,0.5,0.85,0.85,0.5
2290,0,0,0,0,0,0,0,0,0,0,0,1,3.5,2.5,2.5
2310,0,0,0,0,0,0,1,1,1,0,1.75,1.35,1.25,1.25,
2330,0,0,0,0,0,0,0,0.5,1.25,2,2,2,2.5,3,2.9
2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2380,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
3001,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.2,1
3002,0,0,0,0,0,0,0,0,0,0,0.5,1.15,0,1.1,1.1
3003,0,0,0,0,0,0,0,0,0,0,0,1,1.25,1,1
3004,0,0,0,0,0,0,0,0,0,0,0,1.7,2,1.5,0.95
3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,10,12.5,20.5,17,13.2,3.8,4,3,0.25,2,3,3.25,3.5,5.25,4.5
3020,30,30,30,30,30,2,3,3,4,4,3.5,3,3.75,3,1.5
3030,9,12,17,27,9,3.6,5,3.5,3.5,6,8,7,7,5.5,5.75
3040,21,0,21.5,22,23,6.9,7,11,5.25,5,6,6.25,6.5,7.5,5.5
3050,16,20,31.5,26,7,4,5.5,4.5,4.5,5.25,6.5,7,6,5.5,6
3060,7.5,10,17.5,20,15.5,4,5,4,3,2,2.5,7,3.5,4,4.5
3080,15,17,17.5,20,5,4,6,3,3,3.5,3.50,4.00,3.50,2.50,2.50
3090,3.5,5,5,7.5,10,0,4,0.75,1.4,1.35,1.4,1.7,1.8,0.5,0.9
3091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,0,0,0,0,0,0,0,1.5,2.5,3,1,3,3,1.75,2
4002,0,0,0,0,0,0,0,0,1,2,3,1.5,2,2,2
